G,Player 1,Player 2,Player 3,Player 4,Player 5
1,S. Bey,C. Capela,D. Hunter,D. Murray,T. Young
2,S. Bey,C. Capela,D. Hunter,D. Murray,T. Young
3,C. Capela,D. Hunter,J. Johnson,D. Murray,T. Young
4,C. Capela,D. Hunter,J. Johnson,D. Murray,T. Young
5,S. Bey,C. Capela,D. Hunter,D. Murray,T. Young
6,C. Capela,D. Hunter,J. Johnson,D. Murray,T. Young
7,C. Capela,D. Hunter,J. Johnson,D. Murray,T. Young
8,C. Capela,D. Hunter,J. Johnson,D. Murray,T. Young
9,C. Capela,D. Hunter,J. Johnson,D. Murray,T. Young
10,B. Bogdanović,C. Capela,D. Hunter,J. Johnson,D. Murray
11,C. Capela,D. Hunter,J. Johnson,D. Murray,T. Young
12,C. Capela,D. Hunter,J. Johnson,D. Murray,T. Young
13,C. Capela,D. Hunter,J. Johnson,D. Murray,T. Young
14,C. Capela,D. Hunter,J. Johnson,D. Murray,T. Young
15,C. Capela,D. Hunter,J. Johnson,D. Murray,T. Young
16,S. Bey,C. Capela,D. Hunter,D. Murray,T. Young
17,S. Bey,C. Capela,D. Hunter,D. Murray,T. Young
18,S. Bey,C. Capela,D. Hunter,D. Murray,T. Young
19,S. Bey,C. Capela,D. Hunter,D. Murray,T. Young
20,S. Bey,C. Capela,D. Hunter,D. Murray,T. Young
21,S. Bey,B. Bogdanović,C. Capela,D. Hunter,D. Murray
22,S. Bey,C. Capela,G. Mathews,D. Murray,T. Young
23,S. Bey,C. Capela,W. Matthews,D. Murray,T. Young
24,S. Bey,C. Capela,D. Murray,O. Okongwu,T. Young
25,S. Bey,D. Hunter,D. Murray,O. Okongwu,T. Young
26,S. Bey,C. Capela,D. Hunter,D. Murray,T. Young
27,S. Bey,C. Capela,D. Hunter,D. Murray,T. Young
28,S. Bey,C. Capela,G. Mathews,D. Murray,T. Young
29,S. Bey,C. Capela,G. Mathews,D. Murray,T. Young
30,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
31,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
32,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
33,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
34,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
35,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
36,S. Bey,J. Johnson,D. Murray,O. Okongwu,T. Young
37,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
38,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
39,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
40,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
41,S. Bey,B. Bogdanović,C. Capela,J. Johnson,D. Murray
42,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
43,S. Bey,B. Bogdanović,C. Capela,J. Johnson,D. Murray
44,S. Bey,B. Bogdanović,C. Capela,J. Johnson,D. Murray
45,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
46,S. Bey,B. Bogdanović,C. Capela,J. Johnson,T. Young
47,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
48,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
49,C. Capela,J. Johnson,G. Mathews,D. Murray,T. Young
50,S. Bey,J. Johnson,D. Murray,O. Okongwu,T. Young
51,S. Bey,B. Bogdanović,J. Johnson,O. Okongwu,T. Young
52,S. Bey,B. Bogdanović,J. Johnson,O. Okongwu,T. Young
53,S. Bey,J. Johnson,D. Murray,O. Okongwu,T. Young
54,S. Bey,J. Johnson,D. Murray,O. Okongwu,T. Young
55,S. Bey,B. Fernando,J. Johnson,D. Murray,T. Young
56,S. Bey,C. Capela,J. Johnson,D. Murray,T. Young
57,S. Bey,B. Bogdanović,C. Capela,J. Johnson,D. Murray
58,S. Bey,B. Bogdanović,C. Capela,J. Johnson,D. Murray
59,S. Bey,B. Bogdanović,C. Capela,J. Johnson,D. Murray
60,S. Bey,B. Bogdanović,C. Capela,J. Johnson,D. Murray
61,S. Bey,B. Bogdanović,C. Capela,J. Johnson,D. Murray
62,S. Bey,B. Bogdanović,C. Capela,J. Johnson,D. Murray
63,S. Bey,B. Bogdanović,C. Capela,V. Krejci,D. Murray
64,S. Bey,B. Bogdanović,C. Capela,V. Krejci,D. Murray
65,B. Bogdanović,C. Capela,V. Krejci,W. Matthews,D. Murray
66,C. Capela,J. Johnson,V. Krejci,W. Matthews,D. Murray
67,B. Bogdanović,C. Capela,J. Johnson,V. Krejci,D. Murray
68,B. Bogdanović,C. Capela,J. Johnson,V. Krejci,D. Murray
69,B. Bogdanović,C. Capela,D. Hunter,V. Krejci,D. Murray
70,B. Bogdanović,C. Capela,D. Hunter,V. Krejci,D. Murray
71,B. Bogdanović,C. Capela,D. Hunter,V. Krejci,D. Murray
72,B. Bogdanović,C. Capela,D. Hunter,V. Krejci,D. Murray
73,B. Bogdanović,C. Capela,D. Hunter,V. Krejci,D. Murray
74,B. Bogdanović,C. Capela,D. Hunter,V. Krejci,D. Murray
75,B. Bogdanović,C. Capela,D. Hunter,V. Krejci,D. Murray
76,B. Bogdanović,C. Capela,D. Hunter,J. Johnson,D. Murray
77,B. Bogdanović,C. Capela,D. Hunter,J. Johnson,D. Murray
78,B. Bogdanović,C. Capela,D. Hunter,J. Johnson,D. Murray
79,B. Bogdanović,C. Capela,D. Hunter,J. Johnson,D. Murray
80,B. Bogdanović,C. Capela,V. Krejci,G. Mathews,T. Young
81,B. Bogdanović,C. Capela,D. Hunter,D. Murray,T. Young
82,B. Bogdanović,B. Fernando,D. Hunter,D. Murray,T. Young
