G,Player 1,Player 2,Player 3,Player 4,Player 5
1,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
2,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
3,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
4,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
5,J. Brown,J. Holiday,A. Horford,K. Porzingis,J. Tatum
6,J. Brown,J. Holiday,A. Horford,K. Porzingis,J. Tatum
7,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
8,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
9,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
10,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
11,S. Hauser,J. Holiday,A. Horford,J. Tatum,D. White
12,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
13,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
14,J. Brown,S. Hauser,J. Holiday,K. Porzingis,J. Tatum
15,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
16,J. Brown,A. Horford,K. Porzingis,J. Tatum,D. White
17,D. Banton,J. Brown,A. Horford,J. Tatum,D. White
18,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
19,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
20,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
21,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
22,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
23,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
24,J. Brown,J. Holiday,L. Stevens,J. Tatum,D. White
25,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
26,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
27,J. Brown,S. Hauser,J. Holiday,K. Porzingis,D. White
28,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
29,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
30,J. Holiday,A. Horford,K. Porzingis,J. Tatum,D. White
31,J. Brown,S. Hauser,J. Holiday,L. Kornet,D. White
32,J. Brown,A. Horford,K. Porzingis,J. Tatum,D. White
33,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
34,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
35,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
36,J. Brown,J. Holiday,A. Horford,K. Porzingis,D. White
37,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
38,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
39,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
40,J. Holiday,A. Horford,K. Porzingis,J. Tatum,D. White
41,J. Brown,J. Holiday,A. Horford,L. Kornet,J. Tatum
42,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
43,J. Brown,S. Hauser,K. Porzingis,J. Tatum,D. White
44,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
45,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
46,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
47,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
48,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
49,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
50,J. Holiday,A. Horford,K. Porzingis,J. Tatum,D. White
51,J. Brown,A. Horford,K. Porzingis,J. Tatum,D. White
52,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
53,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
54,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
55,S. Hauser,J. Holiday,K. Porzingis,J. Tatum,D. White
56,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
57,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
58,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
59,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
60,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
61,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
62,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
63,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
64,J. Brown,A. Horford,P. Pritchard,J. Tatum,D. White
65,S. Hauser,J. Holiday,L. Kornet,J. Tatum,D. White
66,J. Brown,J. Holiday,A. Horford,J. Tatum,D. White
67,O. Brissett,S. Hauser,J. Holiday,A. Horford,J. Tatum
68,J. Brown,L. Kornet,K. Porzingis,P. Pritchard,D. White
69,J. Brown,A. Horford,K. Porzingis,J. Tatum,D. White
70,J. Brown,K. Porzingis,P. Pritchard,X. Tillman,D. White
71,S. Hauser,A. Horford,L. Kornet,J. Tatum,D. White
72,J. Brown,S. Hauser,A. Horford,K. Porzingis,J. Tatum
73,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
74,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
75,J. Holiday,A. Horford,K. Porzingis,J. Tatum,D. White
76,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
77,S. Hauser,J. Holiday,A. Horford,K. Porzingis,J. Tatum
78,J. Brown,J. Holiday,A. Horford,K. Porzingis,D. White
79,J. Brown,J. Holiday,J. Tatum,X. Tillman,D. White
80,J. Brown,J. Holiday,K. Porzingis,J. Tatum,D. White
81,S. Hauser,L. Kornet,S. Mykhailiuk,P. Pritchard,J. Springer
82,S. Hauser,L. Kornet,S. Mykhailiuk,P. Pritchard,J. Walsh
