G,Player 1,Player 2,Player 3,Player 4,Player 5
1,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,B. Simmons
2,M. Bridges,S. Dinwiddie,D. Finney-Smith,B. Simmons,C. Thomas
3,M. Bridges,S. Dinwiddie,D. Finney-Smith,B. Simmons,C. Thomas
4,M. Bridges,D. Finney-Smith,R. O'Neale,B. Simmons,C. Thomas
5,M. Bridges,S. Dinwiddie,D. Finney-Smith,B. Simmons,C. Thomas
6,M. Bridges,S. Dinwiddie,D. Finney-Smith,R. O'Neale,C. Thomas
7,M. Bridges,S. Dinwiddie,D. Finney-Smith,B. Simmons,C. Thomas
8,M. Bridges,S. Dinwiddie,D. Finney-Smith,R. O'Neale,C. Thomas
9,M. Bridges,S. Dinwiddie,D. Finney-Smith,C. Johnson,R. O'Neale
10,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
11,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
12,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
13,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
14,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
15,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
16,M. Bridges,S. Dinwiddie,D. Finney-Smith,C. Johnson,R. O'Neale
17,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
18,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
19,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
20,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
21,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
22,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
23,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
24,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
25,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
26,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
27,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
28,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
29,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
30,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
31,M. Bridges,R. O'Neale,D. Sharpe,D. Smith,C. Thomas
32,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
33,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
34,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
35,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
36,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
37,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
38,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
39,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
40,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
41,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
42,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
43,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
44,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Johnson
45,M. Bridges,N. Claxton,S. Dinwiddie,D. Finney-Smith,C. Thomas
46,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
47,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
48,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
49,M. Bridges,N. Claxton,S. Dinwiddie,C. Johnson,C. Thomas
50,M. Bridges,N. Claxton,S. Dinwiddie,B. Simmons,C. Thomas
51,M. Bridges,N. Claxton,B. Simmons,C. Thomas,J. Wilson
52,M. Bridges,N. Claxton,D. Finney-Smith,B. Simmons,C. Thomas
53,M. Bridges,N. Claxton,D. Finney-Smith,B. Simmons,C. Thomas
54,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,C. Thomas
55,M. Bridges,N. Claxton,D. Finney-Smith,B. Simmons,C. Thomas
56,M. Bridges,N. Claxton,D. Finney-Smith,B. Simmons,C. Thomas
57,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,C. Thomas
58,M. Bridges,N. Claxton,D. Finney-Smith,C. Johnson,D. Schroder
59,M. Bridges,N. Claxton,D. Finney-Smith,C. Johnson,D. Schroder
60,M. Bridges,N. Claxton,D. Finney-Smith,C. Johnson,D. Schroder
61,M. Bridges,N. Claxton,D. Finney-Smith,C. Johnson,D. Schroder
62,M. Bridges,N. Claxton,D. Finney-Smith,C. Johnson,D. Schroder
63,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,D. Smith
64,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,C. Thomas
65,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,C. Thomas
66,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,C. Thomas
67,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,C. Thomas
68,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,C. Thomas
69,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,C. Thomas
70,M. Bridges,N. Claxton,C. Johnson,D. Schroder,C. Thomas
71,M. Bridges,N. Claxton,C. Johnson,D. Schroder,C. Thomas
72,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,J. Wilson
73,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,C. Thomas
74,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,C. Thomas
75,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,C. Thomas
76,M. Bridges,N. Claxton,D. Finney-Smith,D. Schroder,C. Thomas
