G,Player 1,Player 2,Player 3,Player 4,Player 5
1,D. DeRozan,Z. LaVine,N. Vucevic,C. White,P. Williams
2,D. DeRozan,Z. LaVine,N. Vucevic,C. White,P. Williams
3,D. DeRozan,Z. LaVine,N. Vucevic,C. White,P. Williams
4,D. DeRozan,Z. LaVine,N. Vucevic,C. White,P. Williams
5,D. DeRozan,Z. LaVine,N. Vucevic,C. White,P. Williams
6,T. Craig,D. DeRozan,Z. LaVine,N. Vucevic,C. White
7,T. Craig,D. DeRozan,Z. LaVine,N. Vucevic,C. White
8,T. Craig,D. DeRozan,Z. LaVine,N. Vucevic,C. White
9,T. Craig,D. DeRozan,Z. LaVine,N. Vucevic,C. White
10,T. Craig,D. DeRozan,Z. LaVine,N. Vucevic,C. White
11,T. Craig,D. DeRozan,Z. LaVine,N. Vucevic,C. White
12,T. Craig,Z. LaVine,N. Vucevic,C. White,P. Williams
13,A. Caruso,D. DeRozan,Z. LaVine,N. Vucevic,C. White
14,A. Caruso,D. DeRozan,Z. LaVine,N. Vucevic,C. White
15,A. Caruso,D. DeRozan,Z. LaVine,N. Vucevic,C. White
16,A. Caruso,D. DeRozan,N. Vucevic,C. White,P. Williams
17,A. Caruso,D. DeRozan,Z. LaVine,N. Vucevic,C. White
18,D. DeRozan,Z. LaVine,N. Vucevic,C. White,P. Williams
19,D. DeRozan,Z. LaVine,N. Vucevic,C. White,P. Williams
20,A. Caruso,A. Dosunmu,N. Vucevic,C. White,P. Williams
21,A. Caruso,D. DeRozan,N. Vucevic,C. White,P. Williams
22,A. Caruso,D. DeRozan,N. Vucevic,C. White,P. Williams
23,A. Caruso,D. DeRozan,N. Vucevic,C. White,P. Williams
24,D. DeRozan,A. Dosunmu,N. Vucevic,C. White,P. Williams
25,D. DeRozan,A. Dosunmu,N. Vucevic,C. White,P. Williams
26,A. Caruso,D. DeRozan,N. Vucevic,C. White,P. Williams
27,D. DeRozan,A. Dosunmu,N. Vucevic,C. White,P. Williams
28,D. DeRozan,A. Dosunmu,N. Vucevic,C. White,P. Williams
29,A. Caruso,D. DeRozan,N. Vucevic,C. White,P. Williams
30,A. Caruso,D. DeRozan,N. Vucevic,C. White,P. Williams
31,A. Caruso,D. DeRozan,N. Vucevic,C. White,P. Williams
32,A. Caruso,D. DeRozan,A. Drummond,C. White,P. Williams
33,A. Caruso,D. DeRozan,A. Drummond,C. White,P. Williams
34,A. Caruso,D. DeRozan,A. Drummond,C. White,P. Williams
35,A. Caruso,D. DeRozan,A. Drummond,C. White,P. Williams
36,A. Caruso,D. DeRozan,A. Drummond,C. White,P. Williams
37,D. DeRozan,A. Dosunmu,A. Drummond,D. Terry,C. White
38,A. Caruso,D. DeRozan,A. Drummond,C. White,P. Williams
39,A. Caruso,D. DeRozan,Z. LaVine,N. Vucevic,C. White
40,A. Caruso,D. DeRozan,Z. LaVine,N. Vucevic,C. White
41,A. Caruso,D. DeRozan,Z. LaVine,N. Vucevic,C. White
42,A. Caruso,D. DeRozan,Z. LaVine,N. Vucevic,C. White
43,A. Caruso,D. DeRozan,Z. LaVine,N. Vucevic,C. White
44,A. Caruso,D. DeRozan,N. Vucevic,C. White,P. Williams
45,A. Caruso,D. DeRozan,N. Vucevic,C. White,P. Williams
46,A. Caruso,D. DeRozan,N. Vucevic,C. White,P. Williams
