G,Player 1,Player 2,Player 3,Player 4,Player 5
1,L. Doncic,K. Irving,D. Jones,M. Kleber,G. Williams
2,L. Doncic,K. Irving,D. Jones,D. Lively,G. Williams
3,L. Doncic,J. Green,D. Jones,D. Lively,G. Williams
4,L. Doncic,J. Green,D. Jones,D. Lively,G. Williams
5,L. Doncic,K. Irving,D. Jones,D. Lively,G. Williams
6,L. Doncic,K. Irving,D. Jones,D. Lively,G. Williams
7,L. Doncic,K. Irving,D. Jones,D. Lively,G. Williams
8,L. Doncic,K. Irving,D. Jones,D. Powell,G. Williams
9,L. Doncic,K. Irving,D. Jones,D. Lively,G. Williams
10,L. Doncic,K. Irving,D. Jones,D. Lively,G. Williams
11,L. Doncic,K. Irving,D. Jones,D. Lively,G. Williams
12,L. Doncic,J. Green,D. Jones,D. Lively,G. Williams
13,L. Doncic,K. Irving,D. Jones,D. Lively,G. Williams
14,L. Doncic,K. Irving,D. Jones,D. Lively,G. Williams
15,L. Doncic,K. Irving,D. Jones,D. Lively,G. Williams
16,L. Doncic,R. Holmes,K. Irving,D. Jones,G. Williams
17,L. Doncic,J. Green,K. Irving,D. Lively,G. Williams
18,J. Green,K. Irving,D. Jones,D. Lively,G. Williams
19,S. Curry,L. Doncic,D. Jones,D. Lively,G. Williams
20,L. Doncic,D. Exum,K. Irving,D. Jones,D. Lively
21,L. Doncic,D. Exum,K. Irving,D. Jones,D. Lively
22,S. Curry,L. Doncic,D. Exum,D. Jones,D. Lively
23,S. Curry,L. Doncic,D. Exum,D. Lively,G. Williams
24,L. Doncic,D. Exum,D. Jones,D. Lively,G. Williams
25,L. Doncic,D. Exum,D. Jones,D. Lively,G. Williams
26,L. Doncic,D. Exum,D. Jones,D. Powell,G. Williams
27,L. Doncic,D. Exum,D. Jones,D. Powell,G. Williams
28,T. Hardaway,J. Hardy,D. Jones,M. Morris,G. Williams
29,L. Doncic,D. Exum,T. Hardaway,D. Jones,G. Williams
30,L. Doncic,D. Exum,T. Hardaway,D. Jones,D. Lively
31,L. Doncic,D. Exum,T. Hardaway,D. Jones,D. Lively
32,D. Exum,J. Hardy,D. Jones,D. Lively,G. Williams
33,L. Doncic,D. Exum,J. Hardy,D. Jones,D. Lively
34,L. Doncic,D. Exum,K. Irving,D. Jones,D. Lively
35,L. Doncic,J. Green,K. Irving,D. Jones,D. Lively
36,J. Green,J. Hardy,K. Irving,D. Jones,D. Powell
37,L. Doncic,J. Green,K. Irving,D. Jones,D. Powell
38,L. Doncic,J. Green,K. Irving,D. Jones,D. Powell
39,J. Green,T. Hardaway,K. Irving,D. Jones,D. Powell
40,J. Green,T. Hardaway,K. Irving,D. Jones,D. Powell
41,J. Green,T. Hardaway,K. Irving,M. Kleber,D. Lively
42,L. Doncic,T. Hardaway,K. Irving,D. Jones,D. Lively
43,L. Doncic,J. Green,K. Irving,D. Jones,D. Lively
44,L. Doncic,J. Green,D. Jones,D. Lively,G. Williams
45,L. Doncic,J. Green,D. Jones,D. Lively,G. Williams
46,L. Doncic,J. Green,J. Hardy,D. Lively,G. Williams
47,L. Doncic,J. Green,T. Hardaway,D. Lively,G. Williams
48,J. Green,T. Hardaway,J. Hardy,R. Holmes,G. Williams
49,L. Doncic,J. Green,D. Jones,M. Kleber,G. Williams
50,L. Doncic,J. Green,K. Irving,D. Jones,M. Kleber
51,L. Doncic,J. Green,K. Irving,D. Jones,M. Kleber
52,L. Doncic,J. Green,K. Irving,D. Jones,M. Kleber
53,L. Doncic,J. Green,K. Irving,D. Jones,M. Kleber
54,L. Doncic,D. Gafford,J. Green,K. Irving,P. Washington
55,L. Doncic,D. Gafford,J. Green,K. Irving,P. Washington
56,L. Doncic,J. Green,K. Irving,D. Lively,P. Washington
57,L. Doncic,J. Green,K. Irving,D. Lively,P. Washington
58,L. Doncic,J. Green,K. Irving,D. Lively,P. Washington
59,L. Doncic,J. Green,K. Irving,D. Lively,P. Washington
60,L. Doncic,J. Green,K. Irving,D. Lively,P. Washington
61,L. Doncic,J. Green,K. Irving,D. Lively,P. Washington
62,L. Doncic,J. Green,K. Irving,D. Lively,P. Washington
63,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
64,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
65,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
66,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
67,D. Exum,D. Gafford,K. Irving,D. Jones,P. Washington
68,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
69,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
70,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
71,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
72,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
73,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
74,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
75,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
76,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
77,D. Exum,D. Gafford,K. Irving,D. Jones,P. Washington
78,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
79,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
80,L. Doncic,D. Gafford,K. Irving,D. Jones,P. Washington
81,D. Exum,D. Gafford,T. Hardaway,D. Jones,P. Washington
82,J. Green,T. Hardaway,J. Hardy,D. Powell,O. Prosper
