G,Player 1,Player 2,Player 3,Player 4,Player 5
1,C. Cunningham,J. Duren,K. Hayes,I. Stewart,A. Thompson
2,C. Cunningham,J. Duren,K. Hayes,I. Stewart,A. Thompson
3,C. Cunningham,J. Duren,K. Hayes,I. Stewart,A. Thompson
4,C. Cunningham,J. Duren,K. Hayes,I. Stewart,A. Thompson
5,M. Bagley,C. Cunningham,K. Hayes,I. Stewart,A. Thompson
6,C. Cunningham,J. Duren,K. Hayes,I. Stewart,A. Thompson
7,C. Cunningham,J. Duren,K. Hayes,I. Stewart,A. Thompson
8,M. Bagley,C. Cunningham,K. Hayes,I. Stewart,A. Thompson
9,C. Cunningham,J. Duren,K. Hayes,I. Stewart,A. Thompson
10,C. Cunningham,J. Duren,K. Hayes,I. Stewart,A. Thompson
11,M. Bagley,C. Cunningham,K. Hayes,I. Stewart,A. Thompson
12,M. Bagley,C. Cunningham,K. Hayes,I. Stewart,A. Thompson
13,C. Cunningham,K. Hayes,K. Knox,I. Stewart,A. Thompson
14,C. Cunningham,J. Ivey,K. Knox,I. Stewart,A. Thompson
15,M. Bagley,C. Cunningham,J. Ivey,I. Stewart,A. Thompson
16,M. Bagley,C. Cunningham,J. Ivey,I. Stewart,A. Thompson
17,C. Cunningham,J. Duren,J. Ivey,I. Stewart,A. Thompson
18,C. Cunningham,J. Duren,J. Ivey,I. Stewart,A. Thompson
19,C. Cunningham,J. Duren,K. Hayes,I. Livers,I. Stewart
20,C. Cunningham,J. Duren,K. Hayes,J. Ivey,I. Stewart
21,B. Bogdanović,C. Cunningham,J. Duren,K. Hayes,I. Stewart
22,M. Bagley,B. Bogdanović,C. Cunningham,K. Hayes,I. Stewart
23,B. Bogdanović,C. Cunningham,K. Hayes,I. Stewart,A. Thompson
24,B. Bogdanović,C. Cunningham,K. Hayes,I. Stewart,A. Thompson
25,B. Bogdanović,C. Cunningham,K. Hayes,I. Stewart,A. Thompson
26,M. Bagley,B. Bogdanović,C. Cunningham,K. Hayes,A. Thompson
27,M. Bagley,B. Bogdanović,C. Cunningham,J. Ivey,A. Thompson
28,M. Bagley,B. Bogdanović,C. Cunningham,J. Ivey,I. Stewart
29,B. Bogdanović,C. Cunningham,J. Ivey,I. Stewart,A. Thompson
30,B. Bogdanović,C. Cunningham,J. Duren,J. Ivey,I. Stewart
31,B. Bogdanović,C. Cunningham,J. Duren,J. Ivey,K. Knox
32,B. Bogdanović,C. Cunningham,J. Duren,J. Ivey,K. Knox
33,B. Bogdanović,C. Cunningham,J. Duren,J. Ivey,K. Knox
34,B. Bogdanović,C. Cunningham,J. Duren,J. Ivey,I. Livers
35,B. Bogdanović,C. Cunningham,J. Duren,J. Ivey,I. Livers
36,B. Bogdanović,C. Cunningham,J. Duren,J. Ivey,I. Livers
37,B. Bogdanović,J. Duren,K. Hayes,J. Ivey,I. Livers
38,B. Bogdanović,J. Duren,K. Hayes,J. Ivey,I. Livers
39,J. Duren,K. Hayes,J. Ivey,K. Knox,I. Stewart
40,J. Duren,K. Hayes,J. Ivey,K. Knox,I. Stewart
41,B. Bogdanović,J. Duren,K. Hayes,J. Ivey,I. Stewart
42,B. Bogdanović,J. Duren,K. Hayes,J. Ivey,K. Knox
43,B. Bogdanović,J. Duren,K. Hayes,J. Ivey,K. Knox
44,B. Bogdanović,J. Duren,K. Hayes,J. Ivey,I. Stewart
45,B. Bogdanović,C. Cunningham,J. Duren,J. Ivey,I. Stewart
46,B. Bogdanović,J. Duren,K. Hayes,J. Ivey,I. Stewart
47,B. Bogdanović,C. Cunningham,J. Duren,J. Ivey,M. Muscala
48,B. Bogdanović,C. Cunningham,J. Duren,J. Ivey,K. Knox
49,B. Bogdanović,C. Cunningham,J. Duren,J. Ivey,K. Knox
50,J. Duren,K. Hayes,J. Ivey,M. Muscala,A. Thompson
51,C. Cunningham,J. Duren,J. Ivey,M. Muscala,A. Thompson
52,C. Cunningham,J. Duren,J. Ivey,M. Muscala,A. Thompson
53,C. Cunningham,J. Duren,S. Fontecchio,J. Ivey,A. Thompson
54,C. Cunningham,J. Duren,S. Fontecchio,J. Ivey,A. Thompson
55,C. Cunningham,J. Duren,S. Fontecchio,J. Ivey,A. Thompson
56,C. Cunningham,J. Duren,S. Fontecchio,J. Ivey,A. Thompson
57,C. Cunningham,J. Duren,S. Fontecchio,J. Ivey,A. Thompson
58,C. Cunningham,J. Duren,J. Ivey,I. Stewart,A. Thompson
59,C. Cunningham,J. Duren,J. Ivey,I. Stewart,A. Thompson
60,C. Cunningham,J. Duren,J. Ivey,I. Stewart,A. Thompson
61,C. Cunningham,J. Duren,J. Ivey,I. Stewart,A. Thompson
62,C. Cunningham,J. Duren,J. Ivey,I. Stewart,A. Thompson
63,C. Cunningham,J. Duren,J. Ivey,I. Stewart,A. Thompson
64,C. Cunningham,J. Duren,S. Fontecchio,J. Ivey,I. Stewart
65,C. Cunningham,J. Duren,S. Fontecchio,J. Ivey,I. Stewart
66,C. Cunningham,J. Duren,S. Fontecchio,J. Ivey,I. Stewart
67,C. Cunningham,J. Duren,S. Fontecchio,J. Ivey,I. Stewart
68,J. Duren,J. Ivey,M. Sasser,I. Stewart,S. Umude
69,C. Cunningham,J. Duren,T. Evbuomwan,J. Ivey,S. Umude
70,T. Brown,C. Cunningham,T. Evbuomwan,J. Ivey,J. Wiseman
71,T. Brown,J. Ivey,C. Metu,M. Sasser,J. Wiseman
72,T. Brown,T. Evbuomwan,J. Ivey,M. Sasser,J. Wiseman
73,C. Cunningham,J. Duren,T. Evbuomwan,C. Metu,M. Sasser
74,T. Brown,C. Cunningham,J. Duren,T. Evbuomwan,J. Ivey
75,T. Brown,C. Cunningham,J. Duren,T. Evbuomwan,J. Ivey
76,T. Brown,J. Duren,T. Evbuomwan,J. Ivey,M. Sasser
77,T. Brown,J. Duren,T. Evbuomwan,J. Ivey,M. Sasser
78,T. Brown,J. Ivey,C. Metu,M. Sasser,J. Wiseman
79,T. Brown,J. Duren,J. Ivey,C. Metu,M. Sasser
80,T. Brown,J. Duren,J. Ivey,C. Metu,M. Sasser
81,T. Brown,J. Ivey,C. Metu,M. Sasser,J. Wiseman
82,T. Brown,J. Ivey,C. Metu,M. Sasser,J. Wiseman
