G,Player 1,Player 2,Player 3,Player 4,Player 5
1,S. Curry,K. Looney,C. Paul,K. Thompson,A. Wiggins
2,S. Curry,K. Looney,C. Paul,K. Thompson,A. Wiggins
3,S. Curry,D. Green,K. Looney,K. Thompson,A. Wiggins
4,S. Curry,D. Green,K. Looney,M. Moody,A. Wiggins
5,S. Curry,D. Green,K. Looney,K. Thompson,A. Wiggins
6,S. Curry,D. Green,K. Looney,K. Thompson,A. Wiggins
7,S. Curry,D. Green,K. Looney,K. Thompson,A. Wiggins
8,S. Curry,D. Green,K. Looney,K. Thompson,A. Wiggins
9,S. Curry,K. Looney,D. Šarić,K. Thompson,A. Wiggins
10,S. Curry,D. Green,K. Looney,K. Thompson,A. Wiggins
11,S. Curry,D. Green,K. Looney,K. Thompson,A. Wiggins
12,D. Green,C. Paul,D. Šarić,K. Thompson,A. Wiggins
13,J. Kuminga,C. Paul,D. Šarić,K. Thompson,A. Wiggins
14,S. Curry,K. Looney,C. Paul,K. Thompson,A. Wiggins
15,S. Curry,K. Looney,C. Paul,K. Thompson,A. Wiggins
16,S. Curry,K. Looney,C. Paul,K. Thompson,A. Wiggins
17,S. Curry,K. Looney,M. Moody,K. Thompson,A. Wiggins
18,S. Curry,D. Green,K. Looney,K. Thompson,A. Wiggins
19,S. Curry,D. Green,K. Looney,M. Moody,K. Thompson
20,S. Curry,D. Green,M. Moody,D. Šarić,K. Thompson
21,S. Curry,D. Green,K. Looney,K. Thompson,A. Wiggins
22,S. Curry,D. Green,K. Looney,K. Thompson,A. Wiggins
23,S. Curry,D. Green,K. Looney,K. Thompson,A. Wiggins
24,S. Curry,J. Kuminga,K. Looney,B. Podziemski,K. Thompson
25,S. Curry,J. Kuminga,K. Looney,B. Podziemski,K. Thompson
26,S. Curry,J. Kuminga,K. Looney,B. Podziemski,K. Thompson
27,S. Curry,J. Kuminga,K. Looney,B. Podziemski,K. Thompson
28,S. Curry,J. Kuminga,K. Looney,B. Podziemski,K. Thompson
29,S. Curry,J. Kuminga,K. Looney,B. Podziemski,K. Thompson
30,S. Curry,J. Kuminga,K. Looney,B. Podziemski,K. Thompson
31,S. Curry,J. Kuminga,K. Looney,B. Podziemski,K. Thompson
32,S. Curry,T. Jackson-Davis,J. Kuminga,C. Paul,K. Thompson
33,S. Curry,T. Jackson-Davis,J. Kuminga,C. Paul,K. Thompson
34,S. Curry,J. Kuminga,K. Looney,C. Paul,K. Thompson
35,S. Curry,J. Kuminga,K. Looney,C. Paul,K. Thompson
36,S. Curry,T. Jackson-Davis,J. Kuminga,K. Thompson,A. Wiggins
37,S. Curry,J. Kuminga,K. Looney,B. Podziemski,K. Thompson
38,S. Curry,K. Looney,D. Šarić,K. Thompson,A. Wiggins
39,K. Looney,B. Podziemski,D. Šarić,K. Thompson,A. Wiggins
40,S. Curry,K. Looney,D. Šarić,K. Thompson,A. Wiggins
41,S. Curry,K. Looney,D. Šarić,K. Thompson,A. Wiggins
42,S. Curry,K. Looney,D. Šarić,K. Thompson,A. Wiggins
43,S. Curry,D. Green,J. Kuminga,K. Thompson,A. Wiggins
44,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
45,S. Curry,D. Green,J. Kuminga,K. Thompson,A. Wiggins
46,S. Curry,D. Green,J. Kuminga,K. Thompson,A. Wiggins
47,S. Curry,D. Green,J. Kuminga,B. Podziemski,K. Thompson
48,S. Curry,D. Green,J. Kuminga,K. Thompson,A. Wiggins
49,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
50,S. Curry,D. Green,J. Kuminga,K. Thompson,A. Wiggins
51,S. Curry,D. Green,J. Kuminga,K. Thompson,A. Wiggins
52,S. Curry,D. Green,J. Kuminga,K. Thompson,A. Wiggins
53,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
54,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
55,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
56,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
57,S. Curry,D. Green,J. Kuminga,M. Moody,B. Podziemski
58,S. Curry,D. Green,J. Kuminga,M. Moody,B. Podziemski
59,S. Curry,D. Green,J. Kuminga,M. Moody,K. Thompson
60,S. Curry,D. Green,J. Kuminga,M. Moody,K. Thompson
61,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
62,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
63,D. Green,T. Jackson-Davis,J. Kuminga,C. Paul,B. Podziemski
64,D. Green,J. Kuminga,C. Paul,K. Thompson,A. Wiggins
65,T. Jackson-Davis,J. Kuminga,C. Paul,K. Thompson,A. Wiggins
66,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
67,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
68,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
69,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
70,S. Curry,D. Green,J. Kuminga,B. Podziemski,A. Wiggins
71,S. Curry,D. Green,J. Kuminga,K. Thompson,A. Wiggins
72,S. Curry,D. Green,T. Jackson-Davis,K. Thompson,A. Wiggins
73,S. Curry,D. Green,T. Jackson-Davis,C. Paul,A. Wiggins
74,S. Curry,D. Green,T. Jackson-Davis,K. Thompson,A. Wiggins
75,S. Curry,D. Green,T. Jackson-Davis,K. Thompson,A. Wiggins
76,S. Curry,D. Green,T. Jackson-Davis,K. Thompson,A. Wiggins
77,S. Curry,D. Green,T. Jackson-Davis,M. Moody,K. Thompson
78,D. Green,T. Jackson-Davis,C. Paul,B. Podziemski,K. Thompson
79,S. Curry,D. Green,T. Jackson-Davis,K. Thompson,A. Wiggins
80,S. Curry,T. Jackson-Davis,J. Kuminga,C. Paul,A. Wiggins
81,S. Curry,D. Green,T. Jackson-Davis,K. Thompson,A. Wiggins
82,T. Jackson-Davis,J. Kuminga,C. Paul,K. Thompson,A. Wiggins
