G,Player 1,Player 2,Player 3,Player 4,Player 5
1,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
2,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
3,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
4,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
5,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
6,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
7,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
8,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
9,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
10,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
11,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
12,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
13,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
14,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
15,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
16,D. Brooks,J. Green,A. Holiday,A. Sengun,J. Smith
17,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
18,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
19,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
20,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
21,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
22,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
23,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
24,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
25,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
26,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
27,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
28,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
29,J. Green,A. Sengun,J. Smith,J. Tate,F. VanVleet
30,J. Green,J. Green,A. Sengun,J. Tate,F. VanVleet
31,J. Green,A. Sengun,J. Smith,J. Tate,F. VanVleet
32,J. Green,A. Sengun,J. Smith,J. Tate,F. VanVleet
33,J. Green,A. Sengun,J. Smith,J. Tate,F. VanVleet
34,J. Green,A. Sengun,J. Smith,J. Tate,F. VanVleet
35,J. Green,A. Sengun,J. Smith,J. Tate,F. VanVleet
36,J. Green,A. Sengun,J. Smith,J. Tate,F. VanVleet
37,J. Green,A. Sengun,J. Smith,J. Tate,F. VanVleet
38,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
39,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
40,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
41,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
42,D. Brooks,J. Green,A. Sengun,A. Thompson,C. Whitmore
43,D. Brooks,J. Green,J. Green,A. Sengun,F. VanVleet
44,D. Brooks,J. Green,J. Green,A. Sengun,F. VanVleet
45,D. Brooks,J. Green,J. Green,A. Sengun,F. VanVleet
46,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
47,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
48,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
49,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
50,D. Brooks,J. Green,A. Sengun,J. Smith,A. Thompson
51,D. Brooks,J. Green,A. Sengun,J. Smith,A. Thompson
52,D. Brooks,J. Green,J. Green,J. Smith,A. Thompson
53,D. Brooks,J. Green,A. Sengun,J. Smith,A. Thompson
54,D. Brooks,J. Green,A. Sengun,J. Smith,A. Thompson
55,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
56,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
57,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
58,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
59,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
60,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
61,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
62,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
63,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
64,D. Brooks,J. Green,A. Sengun,J. Smith,F. VanVleet
65,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
66,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
67,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
68,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
69,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
70,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
71,D. Brooks,J. Green,J. Landale,A. Thompson,F. VanVleet
72,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
73,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
74,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
75,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
76,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
77,D. Brooks,J. Green,J. Green,J. Smith,F. VanVleet
78,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
79,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
80,D. Brooks,J. Green,J. Smith,A. Thompson,F. VanVleet
81,D. Brooks,J. Green,J. Landale,J. Smith,A. Thompson
82,J. Green,J. Landale,J. Smith,A. Thompson,C. Whitmore
