G,Player 1,Player 2,Player 3,Player 4,Player 5
1,B. Brown,T. Haliburton,B. Mathurin,O. Toppin,M. Turner
2,B. Brown,T. Haliburton,B. Mathurin,O. Toppin,M. Turner
3,B. Brown,T. Haliburton,B. Mathurin,O. Toppin,M. Turner
4,B. Brown,B. Mathurin,A. Nembhard,O. Toppin,M. Turner
5,B. Brown,T. Haliburton,B. Mathurin,O. Toppin,M. Turner
6,B. Brown,T. Haliburton,B. Mathurin,O. Toppin,M. Turner
7,B. Brown,T. Haliburton,B. Mathurin,O. Toppin,M. Turner
8,B. Brown,T. Haliburton,B. Mathurin,O. Toppin,M. Turner
9,B. Brown,T. Haliburton,B. Mathurin,O. Toppin,M. Turner
10,B. Brown,T. Haliburton,B. Mathurin,O. Toppin,M. Turner
11,B. Brown,T. Haliburton,B. Mathurin,O. Toppin,M. Turner
12,B. Brown,T. Haliburton,B. Mathurin,O. Toppin,M. Turner
13,B. Brown,T. Haliburton,B. Hield,A. Nesmith,M. Turner
14,B. Brown,T. Haliburton,B. Hield,O. Toppin,M. Turner
15,B. Brown,T. Haliburton,B. Hield,O. Toppin,M. Turner
16,B. Brown,T. Haliburton,B. Hield,O. Toppin,M. Turner
17,B. Brown,T. Haliburton,B. Hield,O. Toppin,M. Turner
18,B. Brown,B. Hield,A. Nembhard,O. Toppin,M. Turner
19,B. Brown,T. Haliburton,B. Hield,O. Toppin,M. Turner
20,B. Brown,T. Haliburton,B. Hield,O. Toppin,M. Turner
21,B. Brown,T. Haliburton,B. Hield,O. Toppin,M. Turner
22,B. Brown,T. Haliburton,B. Hield,O. Toppin,M. Turner
23,B. Brown,T. Haliburton,B. Hield,O. Toppin,M. Turner
24,B. Brown,B. Hield,T. McConnell,O. Toppin,M. Turner
25,B. Brown,T. Haliburton,B. Hield,I. Jackson,O. Toppin
26,B. Brown,T. Haliburton,B. Hield,O. Toppin,M. Turner
27,B. Brown,T. Haliburton,B. Hield,O. Toppin,M. Turner
