G,Player 1,Player 2,Player 3,Player 4,Player 5
1,R. Covington,P. George,K. Leonard,R. Westbrook,I. Zubac
2,R. Covington,P. George,K. Leonard,R. Westbrook,I. Zubac
3,R. Covington,P. George,K. Leonard,R. Westbrook,I. Zubac
4,P. George,B. Hyland,K. Leonard,R. Westbrook,I. Zubac
5,P. George,B. Hyland,K. Leonard,R. Westbrook,I. Zubac
6,P. George,J. Harden,K. Leonard,R. Westbrook,I. Zubac
7,P. George,J. Harden,K. Leonard,R. Westbrook,I. Zubac
8,P. George,J. Harden,K. Leonard,R. Westbrook,I. Zubac
9,P. George,J. Harden,K. Leonard,R. Westbrook,I. Zubac
10,P. George,J. Harden,K. Leonard,R. Westbrook,I. Zubac
11,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
12,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
13,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
14,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
15,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
16,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
17,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
18,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
19,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
20,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
21,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
22,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
23,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
24,A. Coffey,J. Harden,K. Leonard,T. Mann,I. Zubac
25,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
26,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
27,A. Coffey,J. Harden,K. Leonard,T. Mann,I. Zubac
28,A. Coffey,P. George,J. Harden,T. Mann,I. Zubac
29,A. Coffey,P. George,J. Harden,T. Mann,I. Zubac
30,A. Coffey,P. George,J. Harden,T. Mann,I. Zubac
31,A. Coffey,P. George,J. Harden,T. Mann,I. Zubac
32,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
33,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
34,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
35,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
36,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
37,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
38,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
39,P. George,J. Harden,K. Leonard,T. Mann,D. Theis
40,P. George,J. Harden,K. Leonard,T. Mann,M. Plumlee
41,P. George,J. Harden,K. Leonard,T. Mann,M. Plumlee
42,P. George,J. Harden,K. Leonard,T. Mann,M. Plumlee
43,P. George,J. Harden,K. Leonard,T. Mann,M. Plumlee
44,P. George,J. Harden,K. Leonard,T. Mann,M. Plumlee
45,P. George,J. Harden,K. Leonard,T. Mann,M. Plumlee
46,A. Coffey,J. Harden,K. Leonard,T. Mann,M. Plumlee
47,P. George,J. Harden,K. Leonard,T. Mann,M. Plumlee
48,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
49,P. George,J. Harden,K. Leonard,T. Mann,M. Plumlee
50,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
51,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
52,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
53,A. Coffey,P. George,J. Harden,T. Mann,I. Zubac
54,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
55,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
56,J. Harden,K. Leonard,T. Mann,N. Powell,I. Zubac
57,A. Coffey,J. Harden,K. Leonard,T. Mann,D. Theis
58,P. George,J. Harden,K. Leonard,T. Mann,D. Theis
59,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
60,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
61,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
62,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
63,A. Coffey,J. Harden,T. Mann,P. Tucker,I. Zubac
64,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
65,P. George,B. Hyland,K. Leonard,T. Mann,I. Zubac
66,P. George,B. Hyland,K. Leonard,T. Mann,I. Zubac
67,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
68,A. Coffey,P. George,J. Harden,K. Leonard,I. Zubac
69,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
70,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
71,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
72,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
73,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
74,P. George,J. Harden,K. Leonard,T. Mann,I. Zubac
75,P. George,J. Harden,T. Mann,N. Powell,I. Zubac
76,P. George,J. Harden,T. Mann,P. Tucker,I. Zubac
77,P. George,J. Harden,T. Mann,P. Tucker,I. Zubac
78,P. George,J. Harden,T. Mann,P. Tucker,I. Zubac
79,P. George,T. Mann,N. Powell,R. Westbrook,I. Zubac
80,A. Coffey,B. Hyland,T. Mann,M. Plumlee,P. Tucker
81,P. George,J. Harden,T. Mann,P. Tucker,I. Zubac
82,A. Coffey,T. Mann,X. Moon,M. Plumlee,P. Tucker
