G,Player 1,Player 2,Player 3,Player 4,Player 5
1,A. Davis,L. James,T. Prince,A. Reaves,D. Russell
2,A. Davis,L. James,T. Prince,A. Reaves,D. Russell
3,A. Davis,L. James,T. Prince,A. Reaves,D. Russell
4,A. Davis,L. James,T. Prince,A. Reaves,D. Russell
5,A. Davis,L. James,A. Reaves,C. Reddish,D. Russell
6,A. Davis,L. James,A. Reaves,C. Reddish,D. Russell
7,A. Davis,L. James,T. Prince,A. Reaves,D. Russell
8,L. James,T. Prince,A. Reaves,D. Russell,C. Wood
9,A. Davis,L. James,T. Prince,C. Reddish,D. Russell
10,A. Davis,R. Hachimura,T. Prince,C. Reddish,D. Russell
11,A. Davis,L. James,T. Prince,C. Reddish,D. Russell
12,A. Davis,L. James,T. Prince,C. Reddish,D. Russell
13,A. Davis,L. James,T. Prince,C. Reddish,D. Russell
14,A. Davis,L. James,T. Prince,C. Reddish,D. Russell
15,A. Davis,L. James,T. Prince,C. Reddish,D. Russell
16,M. Christie,A. Davis,L. James,T. Prince,D. Russell
17,M. Christie,A. Davis,L. James,T. Prince,D. Russell
18,M. Christie,A. Davis,L. James,T. Prince,D. Russell
19,M. Christie,A. Davis,L. James,T. Prince,D. Russell
20,M. Christie,A. Davis,L. James,T. Prince,D. Russell
21,A. Davis,L. James,T. Prince,C. Reddish,D. Russell
22,A. Davis,L. James,T. Prince,C. Reddish,D. Russell
23,A. Davis,L. James,T. Prince,C. Reddish,D. Russell
24,A. Davis,L. James,T. Prince,C. Reddish,D. Russell
25,A. Davis,R. Hachimura,T. Prince,C. Reddish,D. Russell
26,M. Christie,J. Hayes,L. James,T. Prince,A. Reaves
27,A. Davis,L. James,T. Prince,C. Reddish,D. Russell
28,A. Davis,L. James,T. Prince,C. Reddish,D. Russell
29,A. Davis,R. Hachimura,T. Prince,C. Reddish,D. Russell
30,A. Davis,L. James,T. Prince,C. Reddish,J. Vanderbilt
31,A. Davis,L. James,T. Prince,C. Reddish,J. Vanderbilt
32,A. Davis,R. Hachimura,L. James,T. Prince,J. Vanderbilt
33,A. Davis,L. James,T. Prince,C. Reddish,J. Vanderbilt
34,A. Davis,R. Hachimura,L. James,T. Prince,J. Vanderbilt
35,A. Davis,L. James,T. Prince,A. Reaves,C. Reddish
36,A. Davis,L. James,T. Prince,A. Reaves,C. Reddish
37,A. Davis,L. James,T. Prince,A. Reaves,C. Reddish
38,A. Davis,L. James,T. Prince,A. Reaves,C. Reddish
39,A. Davis,L. James,T. Prince,A. Reaves,C. Reddish
40,A. Davis,T. Prince,A. Reaves,C. Reddish,D. Russell
41,A. Davis,L. James,T. Prince,A. Reaves,D. Russell
42,A. Davis,L. James,T. Prince,A. Reaves,D. Russell
43,A. Davis,L. James,T. Prince,A. Reaves,D. Russell
44,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
45,A. Davis,R. Hachimura,T. Prince,A. Reaves,D. Russell
46,A. Davis,L. James,T. Prince,A. Reaves,D. Russell
47,A. Davis,L. James,T. Prince,A. Reaves,D. Russell
48,A. Davis,L. James,T. Prince,A. Reaves,D. Russell
49,J. Hayes,L. James,T. Prince,A. Reaves,D. Russell
50,J. Hayes,T. Prince,A. Reaves,D. Russell,J. Vanderbilt
51,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
52,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
53,M. Christie,A. Davis,R. Hachimura,L. James,A. Reaves
54,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
55,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
56,A. Davis,R. Hachimura,T. Prince,A. Reaves,D. Russell
57,A. Davis,R. Hachimura,T. Prince,A. Reaves,D. Russell
58,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
59,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
60,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
61,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
62,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
63,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
64,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
65,A. Davis,S. Dinwiddie,R. Hachimura,A. Reaves,D. Russell
66,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
67,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
68,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
69,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
70,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
71,A. Davis,S. Dinwiddie,R. Hachimura,L. James,A. Reaves
72,A. Davis,S. Dinwiddie,R. Hachimura,A. Reaves,D. Russell
73,R. Hachimura,J. Hayes,L. James,A. Reaves,D. Russell
74,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
75,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
76,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
77,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
78,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
79,A. Davis,S. Dinwiddie,R. Hachimura,A. Reaves,D. Russell
80,R. Hachimura,J. Hayes,L. James,A. Reaves,D. Russell
81,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
82,A. Davis,R. Hachimura,L. James,A. Reaves,D. Russell
