G,Player 1,Player 2,Player 3,Player 4,Player 5
1,D. Bane,J. Jackson,M. Smart,X. Tillman,Z. Williams
2,D. Bane,J. Jackson,M. Smart,X. Tillman,Z. Williams
3,D. Bane,J. Jackson,M. Smart,X. Tillman,Z. Williams
4,D. Bane,J. Jackson,M. Smart,X. Tillman,Z. Williams
5,D. Bane,J. Jackson,M. Smart,X. Tillman,Z. Williams
6,D. Bane,J. Jackson,D. Roddy,M. Smart,Z. Williams
7,D. Bane,B. Biyombo,J. Jackson,M. Smart,Z. Williams
8,D. Bane,B. Biyombo,J. Jackson,M. Smart,Z. Williams
9,D. Bane,B. Biyombo,J. Gilyard,J. Jackson,M. Smart
10,D. Bane,B. Biyombo,J. Gilyard,J. Jackson,M. Smart
11,D. Bane,B. Biyombo,J. Gilyard,J. Jackson,M. Smart
12,D. Bane,B. Biyombo,J. Gilyard,J. Jackson,J. Konchar
13,S. Aldama,D. Bane,B. Biyombo,J. Jackson,J. Konchar
14,S. Aldama,D. Bane,B. Biyombo,J. Gilyard,J. Jackson
15,S. Aldama,D. Bane,B. Biyombo,J. Gilyard,J. Jackson
16,S. Aldama,D. Bane,B. Biyombo,J. Gilyard,J. Jackson
17,D. Bane,B. Biyombo,J. Jackson,D. Roddy,D. Rose
18,D. Bane,B. Biyombo,J. Jackson,D. Roddy,D. Rose
19,D. Bane,B. Biyombo,J. Jackson,J. Nowell,D. Roddy
20,D. Bane,B. Biyombo,J. Jackson,D. Roddy,D. Rose
21,D. Bane,B. Biyombo,J. Jackson,D. Roddy,D. Rose
22,S. Aldama,D. Bane,J. Jackson,D. Roddy,D. Rose
23,B. Biyombo,J. Jackson,D. Roddy,D. Rose,V. Williams
24,D. Bane,B. Biyombo,J. Jackson,D. Rose,V. Williams
25,D. Bane,J. Gilyard,J. Jackson,X. Tillman,V. Williams
26,D. Bane,B. Biyombo,J. Jackson,J. Morant,V. Williams
27,D. Bane,B. Biyombo,J. Jackson,J. Morant,V. Williams
28,D. Bane,B. Biyombo,J. Jackson,J. Morant,V. Williams
29,D. Bane,B. Biyombo,J. Jackson,J. Morant,M. Smart
30,D. Bane,B. Biyombo,J. Jackson,M. Smart,V. Williams
31,D. Bane,B. Biyombo,J. Jackson,J. Morant,M. Smart
32,D. Bane,B. Biyombo,J. Jackson,J. Morant,M. Smart
33,D. Bane,B. Biyombo,J. Jackson,J. Morant,M. Smart
34,D. Bane,J. Jackson,J. Morant,M. Smart,X. Tillman
35,D. Bane,B. Biyombo,J. Jackson,J. Morant,M. Smart
36,D. Bane,J. Jackson,L. Kennard,M. Smart,X. Tillman
37,D. Bane,B. Biyombo,L. Kennard,M. Smart,V. Williams
38,D. Bane,J. Jackson,L. Kennard,X. Tillman,V. Williams
39,J. Gilyard,L. Kennard,D. Roddy,X. Tillman,V. Williams
40,J. Jackson,L. Kennard,X. Tillman,V. Williams,Z. Williams
41,J. Jackson,L. Kennard,J. Konchar,X. Tillman,V. Williams
42,S. Aldama,J. Jackson,L. Kennard,J. Konchar,V. Williams
43,S. Aldama,J. Jackson,L. Kennard,J. Konchar,V. Williams
44,J. Gilyard,J. Jackson,J. Konchar,D. Roddy,V. Williams
45,S. Aldama,J. Jackson,L. Kennard,J. Konchar,V. Williams
46,S. Aldama,J. Jackson,J. Konchar,D. Roddy,V. Williams
47,S. Aldama,J. Jackson,S. Pippen ,D. Roddy,X. Tillman
48,S. Aldama,J. Jackson,J. Konchar,S. Pippen ,V. Williams
49,S. Aldama,J. Gilyard,J. Jackson,J. Konchar,V. Williams
50,J. Gilyard,G. Jackson,T. Jemison,L. Kennard,D. Roddy
51,S. Aldama,J. Gilyard,T. Jemison,J. Konchar,V. Williams
52,S. Aldama,J. Jackson,J. Konchar,S. Pippen ,V. Williams
53,S. Aldama,J. Gilyard,J. Jackson,J. Konchar,V. Williams
54,S. Aldama,J. Jackson,J. Konchar,S. Pippen ,V. Williams
55,S. Aldama,J. Jackson,L. Kennard,J. Konchar,V. Williams
56,S. Aldama,J. Goodwin,T. Jemison,V. Williams,Z. Williams
57,S. Aldama,J. Jackson,L. Kennard,V. Williams,Z. Williams
58,S. Aldama,J. Jackson,L. Kennard,V. Williams,Z. Williams
59,S. Aldama,J. Goodwin,J. Jackson,V. Williams,Z. Williams
60,S. Aldama,J. Goodwin,T. Jemison,V. Williams,Z. Williams
61,S. Aldama,J. Goodwin,L. Stevens,V. Williams,Z. Williams
62,S. Aldama,T. Jemison,L. Kennard,J. Konchar,V. Williams
63,S. Aldama,J. Jackson,L. Kennard,J. Konchar,V. Williams
64,S. Aldama,J. Goodwin,J. Jackson,J. Konchar,V. Williams
65,S. Aldama,G. Jackson,J. Jackson,L. Kennard,J. LaRavia
66,S. Aldama,J. Goodwin,T. Jemison,L. Kennard,J. Konchar
67,G. Jackson,T. Jemison,L. Kennard,J. Konchar,S. Pippen
68,S. Aldama,D. Bane,G. Jackson,J. Jackson,L. Kennard
69,S. Aldama,D. Bane,G. Jackson,J. Jackson,J. Konchar
70,S. Aldama,D. Bane,G. Jackson,J. Jackson,J. Konchar
71,S. Aldama,J. Goodwin,G. Jackson,J. Jackson,J. Konchar
72,S. Aldama,D. Bane,G. Jackson,J. Jackson,S. Pippen
73,S. Aldama,D. Bane,G. Jackson,J. Jackson,S. Pippen
74,G. Jackson,J. Jackson,L. Kennard,J. LaRavia,S. Pippen
75,S. Aldama,G. Jackson,J. Jackson,L. Kennard,S. Pippen
76,G. Jackson,J. Jackson,T. Jemison,L. Kennard,S. Pippen
77,J. Goodwin,G. Jackson,T. Jemison,J. LaRavia,S. Pippen
78,J. Goodwin,G. Jackson,T. Jemison,M. Pereira,S. Pippen
79,B. Clarke,J. Goodwin,G. Jackson,T. Jemison,S. Pippen
80,G. Jackson,T. Jemison,J. LaRavia,S. Pippen ,L. Stevens
81,J. Goodwin,G. Jackson,T. Jemison,J. LaRavia,S. Pippen
82,J. Goodwin,G. Jackson,T. Jemison,J. LaRavia,S. Pippen
