G,Player 1,Player 2,Player 3,Player 4,Player 5
1,B. Adebayo,J. Butler,T. Herro,K. Love,K. Lowry
2,B. Adebayo,J. Butler,T. Herro,K. Love,K. Lowry
3,B. Adebayo,T. Herro,J. Jaquez,N. Jovic,K. Lowry
4,T. Bryant,J. Butler,T. Herro,K. Love,K. Lowry
5,B. Adebayo,J. Butler,T. Herro,J. Jaquez,K. Lowry
6,B. Adebayo,J. Butler,T. Herro,H. Highsmith,K. Lowry
7,B. Adebayo,J. Butler,T. Herro,H. Highsmith,K. Lowry
8,B. Adebayo,J. Butler,T. Herro,H. Highsmith,K. Lowry
9,B. Adebayo,H. Highsmith,J. Jaquez,K. Lowry,D. Robinson
10,B. Adebayo,J. Butler,H. Highsmith,J. Richardson,D. Robinson
11,B. Adebayo,J. Butler,H. Highsmith,K. Lowry,D. Robinson
12,B. Adebayo,J. Butler,H. Highsmith,K. Lowry,D. Robinson
13,B. Adebayo,J. Butler,H. Highsmith,K. Lowry,D. Robinson
14,B. Adebayo,J. Butler,H. Highsmith,K. Lowry,D. Robinson
15,T. Bryant,J. Butler,H. Highsmith,K. Lowry,D. Robinson
16,B. Adebayo,J. Butler,H. Highsmith,K. Lowry,J. Richardson
17,T. Bryant,H. Highsmith,J. Jaquez,K. Lowry,J. Richardson
18,B. Adebayo,K. Love,K. Lowry,J. Richardson,D. Robinson
19,B. Adebayo,J. Butler,H. Highsmith,K. Lowry,D. Robinson
20,J. Butler,H. Highsmith,K. Lowry,D. Robinson,O. Robinson
21,J. Butler,K. Lowry,C. Martin,D. Robinson,O. Robinson
22,J. Butler,K. Lowry,C. Martin,D. Robinson,O. Robinson
23,J. Butler,K. Lowry,C. Martin,D. Robinson,O. Robinson
24,J. Butler,K. Lowry,C. Martin,D. Robinson,O. Robinson
25,J. Butler,K. Lowry,C. Martin,D. Robinson,O. Robinson
26,J. Butler,K. Lowry,C. Martin,D. Robinson,O. Robinson
27,B. Adebayo,J. Butler,T. Herro,K. Love,C. Martin
28,B. Adebayo,T. Herro,J. Jaquez,K. Lowry,C. Martin
29,B. Adebayo,T. Herro,J. Jaquez,K. Lowry,C. Martin
30,B. Adebayo,T. Herro,J. Jaquez,K. Lowry,C. Martin
31,B. Adebayo,R. Hampton,T. Herro,H. Highsmith,J. Jaquez
32,B. Adebayo,J. Butler,R. Hampton,T. Herro,N. Jovic
33,B. Adebayo,J. Cain,T. Herro,J. Jaquez,K. Lowry
34,B. Adebayo,T. Herro,J. Jaquez,N. Jovic,K. Lowry
35,B. Adebayo,T. Herro,J. Jaquez,N. Jovic,K. Lowry
36,B. Adebayo,T. Herro,J. Jaquez,N. Jovic,K. Lowry
37,B. Adebayo,T. Herro,H. Highsmith,J. Jaquez,N. Jovic
38,B. Adebayo,H. Highsmith,J. Jaquez,N. Jovic,D. Robinson
39,B. Adebayo,T. Herro,J. Jaquez,N. Jovic,K. Lowry
40,B. Adebayo,J. Butler,T. Herro,N. Jovic,K. Lowry
41,B. Adebayo,J. Butler,T. Herro,N. Jovic,K. Lowry
42,B. Adebayo,J. Butler,T. Herro,N. Jovic,C. Martin
43,B. Adebayo,J. Butler,T. Herro,N. Jovic,C. Martin
44,B. Adebayo,J. Butler,T. Herro,H. Highsmith,J. Richardson
45,B. Adebayo,J. Butler,T. Herro,H. Highsmith,T. Rozier
46,B. Adebayo,J. Butler,T. Herro,H. Highsmith,T. Rozier
47,B. Adebayo,J. Butler,T. Herro,H. Highsmith,T. Rozier
48,B. Adebayo,J. Butler,T. Herro,H. Highsmith,T. Rozier
49,B. Adebayo,J. Butler,T. Herro,H. Highsmith,T. Rozier
50,B. Adebayo,J. Butler,H. Highsmith,J. Richardson,T. Rozier
51,B. Adebayo,J. Butler,T. Herro,C. Martin,T. Rozier
52,B. Adebayo,J. Butler,T. Herro,C. Martin,T. Rozier
53,B. Adebayo,T. Herro,J. Jaquez,C. Martin,T. Rozier
54,B. Adebayo,T. Herro,N. Jovic,C. Martin,D. Robinson
55,B. Adebayo,T. Herro,N. Jovic,C. Martin,D. Robinson
56,B. Adebayo,J. Butler,T. Herro,N. Jovic,C. Martin
57,B. Adebayo,J. Jaquez,C. Martin,D. Robinson,D. Wright
58,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
59,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
60,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
61,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
62,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
63,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
64,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
65,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
66,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
67,B. Adebayo,H. Highsmith,J. Jaquez,D. Robinson,T. Rozier
68,B. Adebayo,H. Highsmith,J. Jaquez,D. Robinson,T. Rozier
69,T. Bryant,J. Butler,N. Jovic,P. Mills,T. Rozier
70,B. Adebayo,J. Butler,N. Jovic,P. Mills,T. Rozier
71,B. Adebayo,J. Butler,N. Jovic,P. Mills,T. Rozier
72,B. Adebayo,J. Jaquez,N. Jovic,P. Mills,T. Rozier
73,B. Adebayo,J. Butler,N. Jovic,P. Mills,T. Rozier
74,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
75,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
76,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
77,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
78,B. Adebayo,J. Butler,N. Jovic,D. Robinson,T. Rozier
79,B. Adebayo,J. Butler,T. Herro,N. Jovic,C. Martin
80,B. Adebayo,J. Butler,T. Herro,N. Jovic,C. Martin
81,B. Adebayo,J. Butler,T. Herro,N. Jovic,C. Martin
82,B. Adebayo,J. Butler,T. Herro,N. Jovic,C. Martin
