G,Player 1,Player 2,Player 3,Player 4,Player 5
1,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
2,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
3,J. Hawkins,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
4,J. Hawkins,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
5,J. Hawkins,H. Jones,C. McCollum,M. Ryan,J. Valanciunas
6,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
7,J. Hawkins,B. Ingram,H. Jones,J. Valanciunas,Z. Williamson
8,D. Daniels,J. Hawkins,B. Ingram,J. Robinson-Earl,J. Valanciunas
9,D. Daniels,J. Hawkins,B. Ingram,J. Valanciunas,Z. Williamson
10,D. Daniels,J. Hawkins,B. Ingram,J. Valanciunas,Z. Williamson
11,D. Daniels,B. Ingram,H. Jones,J. Valanciunas,Z. Williamson
12,D. Daniels,B. Ingram,H. Jones,J. Valanciunas,Z. Williamson
13,D. Daniels,J. Hawkins,B. Ingram,H. Jones,J. Valanciunas
14,D. Daniels,B. Ingram,H. Jones,J. Valanciunas,Z. Williamson
15,D. Daniels,B. Ingram,H. Jones,J. Valanciunas,Z. Williamson
16,D. Daniels,B. Ingram,H. Jones,J. Valanciunas,Z. Williamson
17,D. Daniels,J. Hawkins,B. Ingram,H. Jones,J. Valanciunas
18,D. Daniels,B. Ingram,H. Jones,J. Valanciunas,Z. Williamson
19,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
20,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
21,D. Daniels,B. Ingram,H. Jones,J. Valanciunas,Z. Williamson
22,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
23,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
24,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
25,D. Daniels,B. Ingram,H. Jones,C. McCollum,J. Valanciunas
26,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
27,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
28,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
29,B. Ingram,H. Jones,C. McCollum,T. Murphy,J. Valanciunas
30,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
31,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
32,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
33,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
34,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
35,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
36,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
37,B. Ingram,H. Jones,C. McCollum,T. Murphy,J. Valanciunas
38,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
39,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
40,D. Daniels,J. Hawkins,H. Jones,N. Marshall,J. Valanciunas
41,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
42,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
43,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
44,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
45,B. Ingram,H. Jones,C. McCollum,T. Murphy,J. Valanciunas
46,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
47,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
48,D. Daniels,B. Ingram,C. McCollum,T. Murphy,J. Valanciunas
49,B. Ingram,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
50,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
51,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
52,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
53,B. Ingram,H. Jones,C. McCollum,T. Murphy,J. Valanciunas
54,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
55,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
56,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
57,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
58,B. Ingram,H. Jones,T. Murphy,J. Valanciunas,Z. Williamson
59,B. Ingram,H. Jones,T. Murphy,J. Valanciunas,Z. Williamson
60,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
61,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
62,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
63,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
64,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
65,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
66,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
67,B. Ingram,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
68,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
69,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
70,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
71,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
72,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
73,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
74,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
75,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
76,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
77,D. Daniels,H. Jones,C. McCollum,T. Murphy,J. Valanciunas
78,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
79,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
80,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
81,H. Jones,C. McCollum,T. Murphy,J. Valanciunas,Z. Williamson
82,B. Ingram,H. Jones,C. McCollum,J. Valanciunas,Z. Williamson
