G,Player 1,Player 2,Player 3,Player 4,Player 5
1,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
2,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
3,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
4,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
5,J. Brunson,Q. Grimes,J. Hart,J. Randle,M. Robinson
6,J. Brunson,Q. Grimes,J. Hart,J. Randle,M. Robinson
7,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
8,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
9,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
10,J. Brunson,Q. Grimes,J. Hart,J. Randle,M. Robinson
11,J. Brunson,Q. Grimes,J. Hart,J. Randle,M. Robinson
12,J. Brunson,D. DiVincenzo,J. Hart,J. Randle,M. Robinson
13,R. Barrett,J. Brunson,D. DiVincenzo,J. Randle,M. Robinson
14,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
15,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
16,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
17,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
18,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
19,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
20,R. Barrett,J. Brunson,Q. Grimes,J. Randle,M. Robinson
21,R. Barrett,J. Brunson,D. DiVincenzo,J. Randle,M. Robinson
22,R. Barrett,J. Brunson,D. DiVincenzo,J. Randle,J. Sims
23,R. Barrett,J. Brunson,D. DiVincenzo,J. Randle,J. Sims
24,R. Barrett,J. Brunson,D. DiVincenzo,J. Randle,J. Sims
25,R. Barrett,J. Brunson,D. DiVincenzo,J. Randle,J. Sims
26,R. Barrett,J. Brunson,D. DiVincenzo,J. Randle,J. Sims
27,R. Barrett,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
28,R. Barrett,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
29,R. Barrett,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
30,R. Barrett,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
31,R. Barrett,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
32,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein,J. Randle
33,O. Anunoby,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
34,O. Anunoby,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
35,O. Anunoby,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
36,O. Anunoby,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
37,O. Anunoby,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
38,O. Anunoby,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
39,O. Anunoby,D. DiVincenzo,I. Hartenstein,M. McBride,J. Randle
40,O. Anunoby,D. DiVincenzo,I. Hartenstein,M. McBride,J. Randle
41,O. Anunoby,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
42,O. Anunoby,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
43,O. Anunoby,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
44,O. Anunoby,J. Brunson,D. DiVincenzo,J. Randle,J. Sims
45,O. Anunoby,J. Brunson,D. DiVincenzo,J. Randle,J. Sims
46,O. Anunoby,J. Brunson,D. DiVincenzo,I. Hartenstein,J. Randle
47,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
48,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
49,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
50,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
51,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
52,P. Achiuwa,D. DiVincenzo,J. Hart,I. Hartenstein,M. McBride
53,P. Achiuwa,J. Brunson,D. DiVincenzo,T. Gibson,J. Hart
54,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,J. Sims
55,P. Achiuwa,J. Brunson,A. Burks,J. Hart,J. Sims
56,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
57,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
58,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
59,P. Achiuwa,D. DiVincenzo,J. Hart,M. McBride,J. Sims
60,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
61,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
62,P. Achiuwa,D. DiVincenzo,J. Hart,I. Hartenstein,M. McBride
63,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
64,P. Achiuwa,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
65,O. Anunoby,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
66,O. Anunoby,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
67,O. Anunoby,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein
68,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein,M. McBride
69,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein,M. McBride
70,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein,M. McBride
71,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein,M. McBride
72,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein,M. McBride
73,J. Brunson,D. DiVincenzo,J. Hart,I. Hartenstein,M. McBride
