G,Player 1,Player 2,Player 3,Player 4,Player 5
1,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
2,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
3,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
4,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
5,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
6,L. Dort,J. Giddey,C. Holmgren,C. Wallace,J. Williams
7,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
8,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
9,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
10,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
11,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
12,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
13,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
14,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,C. Wallace
15,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,C. Wallace
16,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,C. Wallace
17,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
18,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
19,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
20,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
21,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
22,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,C. Wallace,J. Williams
23,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
24,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
25,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
26,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
27,L. Dort,S. Gilgeous-Alexander,C. Holmgren,C. Wallace,J. Williams
28,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
29,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
30,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
31,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
32,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
33,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
34,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
35,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
36,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
37,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
38,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
39,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
40,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
41,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,C. Wallace,J. Williams
42,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
43,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
44,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
45,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
46,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
47,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
48,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,K. Williams
49,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,C. Wallace
50,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,C. Wallace
51,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
52,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
53,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
54,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
55,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
56,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
57,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
58,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
59,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
60,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
61,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
62,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
63,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
64,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
65,L. Dort,J. Giddey,S. Gilgeous-Alexander,G. Hayward,C. Holmgren
66,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
67,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
68,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
69,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
70,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
71,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
72,L. Dort,J. Giddey,C. Holmgren,C. Wallace,J. Williams
73,L. Dort,J. Giddey,C. Holmgren,A. Wiggins,J. Williams
74,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
75,L. Dort,J. Giddey,C. Holmgren,A. Wiggins,J. Williams
76,L. Dort,J. Giddey,C. Holmgren,C. Wallace,A. Wiggins
77,L. Dort,J. Giddey,G. Hayward,C. Holmgren,I. Joe
78,L. Dort,J. Giddey,C. Holmgren,C. Wallace,A. Wiggins
79,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
80,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,C. Wallace,J. Williams
81,L. Dort,S. Gilgeous-Alexander,G. Hayward,C. Holmgren,J. Williams
82,L. Dort,J. Giddey,S. Gilgeous-Alexander,C. Holmgren,J. Williams
