G,Player 1,Player 2,Player 3,Player 4,Player 5
1,P. Banchero,W. Carter,M. Fultz,J. Suggs,F. Wagner
2,P. Banchero,W. Carter,M. Fultz,J. Suggs,F. Wagner
3,P. Banchero,W. Carter,M. Fultz,J. Suggs,F. Wagner
4,P. Banchero,W. Carter,M. Fultz,J. Suggs,F. Wagner
5,P. Banchero,W. Carter,G. Harris,J. Suggs,F. Wagner
6,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
7,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
8,P. Banchero,G. Bitadze,M. Fultz,J. Suggs,F. Wagner
9,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
10,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
11,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
12,P. Banchero,G. Bitadze,A. Black,G. Harris,F. Wagner
13,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
14,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
15,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
16,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
17,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
18,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
19,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
20,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
21,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
22,P. Banchero,G. Bitadze,A. Black,G. Harris,F. Wagner
23,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
24,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
25,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
26,P. Banchero,A. Black,W. Carter,J. Suggs,F. Wagner
27,P. Banchero,A. Black,W. Carter,G. Harris,F. Wagner
28,P. Banchero,A. Black,W. Carter,G. Harris,F. Wagner
29,P. Banchero,A. Black,W. Carter,J. Suggs,F. Wagner
30,P. Banchero,A. Black,W. Carter,J. Suggs,F. Wagner
31,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
32,P. Banchero,G. Bitadze,A. Black,J. Suggs,F. Wagner
