G,Player 1,Player 2,Player 3,Player 4,Player 5
1,J. Embiid,T. Harris,T. Maxey,D. Melton,P. Tucker
2,J. Embiid,T. Harris,T. Maxey,D. Melton,P. Tucker
3,J. Embiid,T. Harris,T. Maxey,D. Melton,P. Tucker
4,J. Embiid,T. Harris,T. Maxey,D. Melton,K. Oubre
5,J. Embiid,T. Harris,T. Maxey,D. Melton,K. Oubre
6,J. Embiid,T. Harris,T. Maxey,D. Melton,K. Oubre
7,J. Embiid,T. Harris,T. Maxey,D. Melton,K. Oubre
8,J. Embiid,T. Harris,T. Maxey,D. Melton,K. Oubre
9,N. Batum,J. Embiid,T. Harris,T. Maxey,D. Melton
10,R. Covington,J. Embiid,T. Harris,T. Maxey,D. Melton
11,R. Covington,J. Embiid,T. Harris,T. Maxey,D. Melton
12,R. Covington,J. Embiid,T. Harris,T. Maxey,D. Melton
13,N. Batum,J. Embiid,T. Harris,T. Maxey,D. Melton
14,N. Batum,J. Embiid,T. Harris,T. Maxey,D. Melton
15,N. Batum,T. Harris,T. Maxey,D. Melton,M. Morris
16,N. Batum,J. Embiid,T. Harris,T. Maxey,D. Melton
17,N. Batum,J. Embiid,T. Harris,T. Maxey,D. Melton
18,N. Batum,T. Harris,T. Maxey,D. Melton,M. Morris
19,P. Beverley,T. Harris,D. Melton,M. Morris,P. Reed
20,N. Batum,J. Embiid,T. Harris,T. Maxey,D. Melton
21,N. Batum,J. Embiid,T. Harris,T. Maxey,D. Melton
22,N. Batum,J. Embiid,T. Harris,T. Maxey,D. Melton
23,N. Batum,J. Embiid,T. Harris,T. Maxey,D. Melton
24,N. Batum,J. Embiid,T. Harris,T. Maxey,D. Melton
25,N. Batum,J. Embiid,T. Harris,T. Maxey,D. Melton
26,N. Batum,J. Embiid,T. Harris,T. Maxey,D. Melton
27,J. Embiid,T. Harris,T. Maxey,D. Melton,K. Oubre
28,J. Embiid,T. Harris,T. Maxey,M. Morris,K. Oubre
29,T. Harris,T. Maxey,D. Melton,K. Oubre,P. Reed
30,T. Harris,T. Maxey,D. Melton,K. Oubre,P. Reed
31,T. Harris,T. Maxey,D. Melton,K. Oubre,P. Reed
32,T. Harris,T. Maxey,D. Melton,K. Oubre,P. Reed
33,N. Batum,J. Embiid,T. Harris,T. Maxey,K. Oubre
34,N. Batum,J. Embiid,T. Harris,T. Maxey,K. Oubre
35,N. Batum,T. Maxey,M. Morris,K. Oubre,P. Reed
36,N. Batum,T. Harris,T. Maxey,D. Melton,P. Reed
37,N. Batum,T. Harris,T. Maxey,D. Melton,P. Reed
38,N. Batum,J. Embiid,T. Harris,T. Maxey,K. Oubre
39,N. Batum,J. Embiid,T. Harris,T. Maxey,K. Oubre
40,N. Batum,J. Embiid,T. Harris,T. Maxey,K. Oubre
41,N. Batum,J. Embiid,T. Harris,T. Maxey,K. Oubre
42,N. Batum,J. Embiid,T. Harris,T. Maxey,K. Oubre
43,N. Batum,P. Beverley,J. Embiid,T. Maxey,K. Oubre
44,N. Batum,P. Beverley,M. Morris,K. Oubre,P. Reed
45,N. Batum,P. Beverley,T. Harris,K. Oubre,P. Reed
46,P. Beverley,J. Embiid,T. Harris,D. House,K. Oubre
47,T. Harris,D. House,T. Maxey,K. Oubre,P. Reed
48,D. House,T. Maxey,M. Morris,K. Oubre,P. Reed
49,T. Harris,D. House,T. Maxey,K. Oubre,P. Reed
50,T. Harris,T. Maxey,K. Oubre,P. Reed,J. Springer
51,T. Harris,B. Hield,K. Oubre,C. Payne,P. Reed
52,T. Harris,B. Hield,T. Maxey,K. Oubre,P. Reed
53,B. Hield,K. Martin,T. Maxey,K. Oubre,P. Reed
54,B. Hield,K. Martin,T. Maxey,K. Oubre,P. Reed
55,N. Batum,T. Harris,B. Hield,T. Maxey,P. Reed
56,T. Harris,B. Hield,T. Maxey,K. Oubre,P. Reed
57,N. Batum,T. Harris,B. Hield,T. Maxey,P. Reed
58,T. Harris,B. Hield,T. Maxey,K. Oubre,P. Reed
59,M. Bamba,T. Harris,B. Hield,K. Lowry,T. Maxey
60,M. Bamba,T. Harris,B. Hield,K. Lowry,T. Maxey
61,M. Bamba,T. Harris,B. Hield,K. Lowry,C. Payne
62,N. Batum,T. Harris,B. Hield,C. Payne,P. Reed
63,M. Bamba,T. Harris,B. Hield,K. Lowry,K. Oubre
64,M. Bamba,T. Harris,K. Lowry,K. Oubre,C. Payne
65,M. Bamba,T. Harris,K. Lowry,T. Maxey,K. Oubre
66,M. Bamba,T. Harris,K. Lowry,T. Maxey,K. Oubre
67,M. Bamba,N. Batum,K. Lowry,T. Maxey,K. Oubre
68,M. Bamba,N. Batum,K. Lowry,T. Maxey,K. Oubre
69,M. Bamba,N. Batum,K. Lowry,T. Maxey,K. Oubre
70,M. Bamba,T. Harris,K. Lowry,T. Maxey,K. Oubre
71,M. Bamba,T. Harris,B. Hield,T. Maxey,K. Oubre
72,M. Bamba,N. Batum,T. Harris,K. Lowry,T. Maxey
73,M. Bamba,T. Harris,K. Lowry,T. Maxey,K. Oubre
74,M. Bamba,T. Harris,K. Lowry,T. Maxey,K. Oubre
75,M. Bamba,T. Harris,K. Lowry,K. Oubre,C. Payne
76,J. Embiid,T. Harris,K. Lowry,K. Oubre,C. Payne
77,N. Batum,J. Embiid,K. Lowry,T. Maxey,K. Oubre
78,N. Batum,J. Embiid,K. Lowry,T. Maxey,K. Oubre
79,N. Batum,T. Maxey,K. Oubre,C. Payne,P. Reed
80,N. Batum,J. Embiid,T. Harris,K. Oubre,C. Payne
81,J. Embiid,T. Harris,K. Lowry,T. Maxey,K. Oubre
82,M. Bamba,T. Harris,K. Lowry,T. Maxey,K. Oubre
