G,Player 1,Player 2,Player 3,Player 4,Player 5
1,G. Allen,D. Booker,K. Durant,J. Nurkic,J. Okogie
2,G. Allen,K. Durant,E. Gordon,J. Nurkic,J. Okogie
3,G. Allen,K. Durant,E. Gordon,J. Nurkic,J. Okogie
4,G. Allen,K. Durant,E. Gordon,J. Nurkic,J. Okogie
5,G. Allen,D. Booker,K. Durant,J. Nurkic,J. Okogie
6,G. Allen,K. Bates-Diop,K. Durant,E. Gordon,J. Nurkic
7,G. Allen,K. Bates-Diop,K. Durant,E. Gordon,J. Nurkic
8,G. Allen,K. Bates-Diop,B. Beal,K. Durant,J. Nurkic
9,G. Allen,K. Bates-Diop,B. Beal,K. Durant,J. Nurkic
10,G. Allen,B. Beal,K. Durant,J. Nurkic,J. Okogie
11,G. Allen,D. Booker,K. Durant,E. Gordon,J. Nurkic
12,G. Allen,D. Booker,K. Durant,E. Gordon,J. Nurkic
13,G. Allen,D. Booker,K. Durant,E. Gordon,J. Nurkic
14,G. Allen,D. Booker,K. Durant,E. Gordon,J. Nurkic
15,G. Allen,D. Booker,K. Durant,E. Gordon,J. Nurkic
16,G. Allen,K. Bates-Diop,D. Booker,E. Gordon,J. Nurkic
17,K. Bates-Diop,D. Booker,E. Gordon,J. Nurkic,J. Okogie
18,D. Booker,K. Durant,E. Gordon,J. Nurkic,J. Okogie
19,G. Allen,K. Bates-Diop,K. Durant,E. Gordon,J. Nurkic
20,G. Allen,D. Booker,K. Durant,J. Nurkic,J. Okogie
21,G. Allen,D. Booker,K. Durant,E. Gordon,J. Nurkic
22,K. Bates-Diop,D. Booker,E. Gordon,J. Nurkic,J. Okogie
23,B. Beal,D. Booker,C. Metu,J. Nurkic,J. Okogie
24,B. Beal,D. Booker,K. Durant,C. Metu,J. Nurkic
25,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
26,G. Allen,D. Booker,K. Durant,N. Little,J. Nurkic
27,G. Allen,D. Booker,K. Durant,N. Little,J. Nurkic
28,G. Allen,D. Booker,K. Durant,D. Eubanks,E. Gordon
29,G. Allen,D. Booker,K. Durant,D. Eubanks,E. Gordon
30,G. Allen,D. Booker,K. Durant,E. Gordon,J. Nurkic
31,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
32,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
33,G. Allen,B. Beal,D. Booker,C. Metu,J. Nurkic
34,G. Allen,B. Beal,D. Booker,C. Metu,J. Nurkic
35,G. Allen,B. Beal,D. Booker,C. Metu,J. Nurkic
36,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
37,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
38,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
39,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
40,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
41,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
42,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
43,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
44,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
45,G. Allen,B. Beal,D. Booker,K. Durant,J. Nurkic
