G,Player 1,Player 2,Player 3,Player 4,Player 5
1,D. Ayton,J. Grant,S. Henderson,A. Simons,M. Thybulle
2,D. Ayton,J. Grant,S. Henderson,S. Sharpe,M. Thybulle
3,D. Ayton,J. Grant,S. Henderson,S. Sharpe,M. Thybulle
4,D. Ayton,J. Grant,S. Henderson,S. Sharpe,M. Thybulle
5,D. Ayton,J. Grant,S. Henderson,S. Sharpe,M. Thybulle
6,D. Ayton,M. Brogdon,J. Grant,S. Sharpe,M. Thybulle
7,D. Ayton,M. Brogdon,J. Grant,S. Sharpe,M. Thybulle
8,D. Ayton,M. Brogdon,J. Grant,S. Sharpe,M. Thybulle
9,D. Ayton,J. Grant,S. Mays,S. Sharpe,M. Thybulle
10,D. Ayton,T. Camara,J. Grant,S. Mays,S. Sharpe
11,D. Ayton,T. Camara,J. Grant,S. Mays,S. Sharpe
12,D. Ayton,T. Camara,J. Grant,S. Mays,S. Sharpe
13,D. Ayton,T. Camara,J. Grant,S. Mays,S. Sharpe
14,D. Ayton,M. Brogdon,T. Camara,J. Grant,S. Sharpe
15,M. Brogdon,T. Camara,J. Grant,D. Reath,S. Sharpe
16,D. Ayton,M. Brogdon,T. Camara,J. Grant,S. Sharpe
17,D. Ayton,M. Brogdon,T. Camara,J. Grant,S. Sharpe
18,D. Ayton,M. Brogdon,T. Camara,J. Grant,S. Sharpe
19,D. Ayton,M. Brogdon,T. Camara,J. Grant,S. Sharpe
20,M. Brogdon,T. Camara,D. Reath,S. Sharpe,A. Simons
21,T. Camara,D. Reath,S. Sharpe,A. Simons,M. Thybulle
22,T. Camara,D. Reath,S. Sharpe,A. Simons,M. Thybulle
23,D. Ayton,T. Camara,S. Sharpe,A. Simons,M. Thybulle
24,D. Ayton,T. Camara,J. Grant,S. Sharpe,A. Simons
25,D. Ayton,T. Camara,J. Grant,S. Sharpe,A. Simons
26,D. Ayton,T. Camara,J. Grant,S. Sharpe,A. Simons
27,D. Ayton,M. Brogdon,T. Camara,J. Grant,A. Simons
28,D. Ayton,M. Brogdon,T. Camara,J. Grant,A. Simons
29,M. Brogdon,M. Brown,T. Camara,J. Grant,A. Simons
30,M. Brogdon,M. Brown,T. Camara,J. Grant,S. Henderson
31,M. Brogdon,M. Brown,T. Camara,J. Grant,S. Henderson
32,M. Brogdon,M. Brown,J. Grant,S. Henderson,M. Thybulle
33,I. Badji,T. Camara,J. Grant,S. Henderson,A. Simons
34,T. Camara,J. Grant,S. Henderson,D. Reath,A. Simons
35,T. Camara,J. Grant,S. Henderson,D. Reath,A. Simons
36,T. Camara,J. Grant,S. Henderson,D. Reath,A. Simons
37,T. Camara,J. Grant,S. Henderson,D. Reath,A. Simons
38,T. Camara,J. Grant,S. Henderson,D. Reath,A. Simons
39,T. Camara,S. Henderson,D. Reath,A. Simons,J. Walker
40,M. Brogdon,J. Grant,D. Reath,A. Simons,J. Walker
41,D. Ayton,M. Brogdon,J. Grant,M. Thybulle,J. Walker
42,D. Ayton,M. Brogdon,J. Grant,A. Simons,J. Walker
43,D. Ayton,M. Brogdon,J. Grant,A. Simons,J. Walker
44,D. Ayton,M. Brogdon,J. Grant,A. Simons,J. Walker
45,D. Ayton,J. Grant,A. Simons,M. Thybulle,J. Walker
46,D. Ayton,M. Brogdon,J. Grant,A. Simons,J. Walker
47,D. Ayton,M. Brogdon,J. Grant,A. Simons,J. Walker
48,D. Ayton,M. Brogdon,J. Grant,A. Simons,J. Walker
49,D. Ayton,M. Brogdon,T. Camara,A. Simons,J. Walker
50,D. Ayton,K. Murray,A. Simons,M. Thybulle,J. Walker
51,T. Camara,J. Grant,A. Simons,M. Thybulle,J. Walker
52,D. Ayton,J. Grant,A. Hagans,M. Thybulle,J. Walker
53,D. Ayton,T. Camara,J. Grant,A. Simons,M. Thybulle
54,D. Ayton,T. Camara,J. Grant,S. Henderson,A. Simons
55,D. Ayton,T. Camara,J. Grant,K. Murray,A. Simons
56,D. Ayton,T. Camara,J. Grant,K. Murray,A. Simons
57,D. Ayton,T. Camara,J. Grant,K. Murray,A. Simons
58,T. Camara,J. Grant,K. Murray,D. Reath,A. Simons
59,T. Camara,J. Grant,K. Murray,D. Reath,A. Simons
60,D. Banton,K. Murray,D. Reath,A. Simons,J. Walker
61,D. Banton,J. Grant,K. Murray,D. Reath,A. Simons
62,D. Banton,T. Camara,K. Murray,D. Reath,A. Simons
63,D. Ayton,D. Banton,T. Camara,K. Murray,A. Simons
64,D. Ayton,J. Grant,S. Henderson,K. Murray,A. Simons
65,D. Ayton,D. Banton,T. Camara,K. Murray,A. Simons
66,D. Ayton,D. Banton,T. Camara,S. Henderson,K. Murray
67,D. Ayton,D. Banton,T. Camara,K. Murray,A. Simons
68,D. Ayton,T. Camara,S. Henderson,K. Murray,A. Simons
69,D. Ayton,T. Camara,S. Henderson,K. Murray,A. Simons
70,T. Camara,S. Henderson,K. Murray,D. Reath,A. Simons
71,T. Camara,S. Henderson,K. Murray,D. Reath,R. Rupert
72,T. Camara,S. Henderson,K. Murray,D. Reath,R. Rupert
73,T. Camara,S. Henderson,K. Murray,D. Reath,R. Rupert
74,D. Ayton,S. Henderson,K. Murray,R. Rupert,J. Walker
75,D. Ayton,S. Henderson,K. Murray,R. Rupert,J. Walker
76,D. Ayton,S. Henderson,K. Murray,R. Rupert,J. Walker
77,D. Ayton,S. Henderson,K. Murray,R. Rupert,J. Walker
78,D. Ayton,S. Henderson,K. Murray,R. Rupert,J. Walker
79,D. Ayton,S. Henderson,K. Murray,R. Rupert,J. Walker
80,D. Ayton,S. Henderson,K. Murray,R. Rupert,J. Walker
81,D. Ayton,S. Henderson,K. Murray,R. Rupert,J. Walker
82,D. Banton,M. Brown,J. Minaya,K. Murray,R. Rupert
