G,Player 1,Player 2,Player 3,Player 4,Player 5
1,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
2,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
3,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
4,H. Barnes,K. Huerter,D. Mitchell,K. Murray,D. Sabonis
5,H. Barnes,K. Huerter,D. Mitchell,K. Murray,D. Sabonis
6,H. Barnes,K. Huerter,D. Mitchell,K. Murray,D. Sabonis
7,H. Barnes,K. Ellis,K. Huerter,K. Murray,D. Sabonis
8,H. Barnes,K. Ellis,K. Huerter,K. Murray,D. Sabonis
9,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
10,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
11,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
12,H. Barnes,C. Duarte,D. Fox,K. Murray,D. Sabonis
13,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
14,H. Barnes,C. Duarte,D. Fox,K. Huerter,D. Sabonis
15,H. Barnes,C. Duarte,D. Fox,K. Huerter,D. Sabonis
16,H. Barnes,C. Duarte,D. Fox,K. Huerter,D. Sabonis
17,H. Barnes,C. Duarte,D. Fox,K. Huerter,D. Sabonis
18,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
19,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
20,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
21,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
22,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
23,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
24,H. Barnes,K. Ellis,K. Huerter,K. Murray,D. Sabonis
25,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
26,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
27,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
28,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
29,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
30,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
31,H. Barnes,C. Duarte,D. Fox,K. Murray,D. Sabonis
32,H. Barnes,C. Duarte,D. Fox,K. Murray,D. Sabonis
33,H. Barnes,C. Duarte,D. Fox,K. Murray,D. Sabonis
34,H. Barnes,C. Duarte,D. Fox,K. Murray,D. Sabonis
35,H. Barnes,C. Duarte,D. Fox,K. Murray,D. Sabonis
36,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
37,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
38,H. Barnes,C. Duarte,D. Fox,K. Murray,D. Sabonis
39,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
40,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
41,H. Barnes,D. Fox,K. Huerter,K. Murray,D. Sabonis
