G,Player 1,Player 2,Player 3,Player 4,Player 5
1,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
2,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
3,S. Barnes,J. Poeltl,D. Schroder,P. Siakam,G. Trent
4,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
5,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
6,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
7,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
8,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
9,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
10,S. Barnes,J. Poeltl,O. Porter,D. Schroder,P. Siakam
11,S. Barnes,G. Dick,J. Poeltl,D. Schroder,P. Siakam
12,S. Barnes,J. Poeltl,D. Schroder,P. Siakam,G. Trent
13,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
14,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
15,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
16,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
17,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
18,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
19,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
20,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
21,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
22,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
23,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
24,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
25,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
26,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
27,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
28,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
29,O. Anunoby,S. Barnes,J. Poeltl,D. Schroder,P. Siakam
30,O. Anunoby,S. Barnes,J. Poeltl,P. Siakam,G. Trent
31,O. Anunoby,S. Barnes,J. Poeltl,P. Siakam,G. Trent
32,S. Barnes,J. Poeltl,D. Schroder,P. Siakam,G. Trent
33,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,P. Siakam
34,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,P. Siakam
35,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,P. Siakam
36,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,P. Siakam
37,S. Barnes,R. Barrett,I. Quickley,P. Siakam,T. Young
38,S. Barnes,R. Barrett,I. Quickley,D. Schroder,T. Young
39,S. Barnes,R. Barrett,I. Quickley,P. Siakam,T. Young
40,S. Barnes,R. Barrett,J. Porter,I. Quickley,P. Siakam
41,S. Barnes,R. Barrett,J. Porter,I. Quickley,G. Trent
42,S. Barnes,R. Barrett,J. Porter,I. Quickley,G. Trent
43,S. Barnes,R. Barrett,J. Porter,I. Quickley,G. Trent
44,S. Barnes,R. Barrett,J. Porter,I. Quickley,G. Trent
45,S. Barnes,R. Barrett,B. Brown,G. Trent,T. Young
46,S. Barnes,B. Brown,D. Schroder,G. Trent,T. Young
47,S. Barnes,B. Brown,D. Schroder,G. Trent,T. Young
48,S. Barnes,B. Brown,J. Poeltl,I. Quickley,G. Trent
49,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,G. Trent
50,S. Barnes,B. Brown,J. Poeltl,I. Quickley,G. Trent
51,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,G. Trent
52,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,G. Trent
53,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,G. Trent
54,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,G. Trent
55,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,G. Trent
56,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,G. Trent
57,S. Barnes,J. Nwora,J. Poeltl,I. Quickley,G. Trent
58,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,G. Trent
59,S. Barnes,R. Barrett,J. Poeltl,I. Quickley,G. Trent
