G,Player 1,Player 2,Player 3,Player 4,Player 5
1,J. Clarkson,J. Collins,T. Horton-Tucker,W. Kessler,L. Markkanen
2,J. Clarkson,J. Collins,T. Horton-Tucker,W. Kessler,L. Markkanen
3,J. Clarkson,J. Collins,T. Horton-Tucker,W. Kessler,L. Markkanen
4,J. Clarkson,J. Collins,T. Horton-Tucker,W. Kessler,L. Markkanen
5,J. Clarkson,J. Collins,T. Horton-Tucker,W. Kessler,L. Markkanen
6,J. Clarkson,J. Collins,T. Horton-Tucker,W. Kessler,L. Markkanen
7,J. Clarkson,J. Collins,T. Horton-Tucker,W. Kessler,L. Markkanen
8,J. Clarkson,J. Collins,T. Horton-Tucker,W. Kessler,L. Markkanen
9,O. Agbaji,J. Clarkson,J. Collins,K. George,L. Markkanen
10,O. Agbaji,J. Clarkson,J. Collins,K. George,L. Markkanen
11,O. Agbaji,J. Clarkson,J. Collins,K. George,L. Markkanen
12,O. Agbaji,J. Clarkson,J. Collins,K. George,L. Markkanen
13,O. Agbaji,J. Clarkson,J. Collins,K. George,L. Markkanen
14,O. Agbaji,J. Clarkson,J. Collins,K. George,L. Markkanen
15,J. Clarkson,J. Collins,K. George,L. Markkanen,K. Olynyk
16,J. Collins,K. Dunn,S. Fontecchio,K. George,O. Yurtseven
17,J. Clarkson,J. Collins,S. Fontecchio,K. George,O. Yurtseven
18,J. Clarkson,J. Collins,S. Fontecchio,K. George,O. Yurtseven
19,O. Agbaji,J. Collins,S. Fontecchio,K. George,O. Yurtseven
20,O. Agbaji,J. Collins,S. Fontecchio,K. George,O. Yurtseven
21,O. Agbaji,J. Collins,S. Fontecchio,K. George,O. Yurtseven
22,J. Clarkson,J. Collins,S. Fontecchio,K. George,W. Kessler
23,O. Agbaji,J. Clarkson,S. Fontecchio,K. George,K. Olynyk
24,S. Fontecchio,K. George,L. Markkanen,K. Olynyk,C. Sexton
25,S. Fontecchio,T. Horton-Tucker,W. Kessler,K. Olynyk,C. Sexton
26,K. Dunn,S. Fontecchio,L. Markkanen,K. Olynyk,C. Sexton
27,S. Fontecchio,T. Horton-Tucker,W. Kessler,L. Markkanen,C. Sexton
28,S. Fontecchio,T. Horton-Tucker,W. Kessler,L. Markkanen,C. Sexton
29,J. Collins,K. Dunn,S. Fontecchio,K. Olynyk,C. Sexton
30,J. Collins,K. Dunn,L. Markkanen,K. Olynyk,C. Sexton
31,J. Collins,K. Dunn,L. Markkanen,K. Olynyk,C. Sexton
32,J. Collins,K. Dunn,W. Kessler,L. Markkanen,C. Sexton
33,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
34,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
35,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
36,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
37,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
38,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
39,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
40,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
41,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
42,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
43,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
44,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
45,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
46,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
47,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
48,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
49,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
50,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
51,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
52,J. Collins,K. Dunn,S. Fontecchio,L. Markkanen,C. Sexton
