G,Player 1,Player 2,Player 3,Player 4,Player 5
1,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
2,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
3,D. Avdija,B. Coulibaly,T. Jones,K. Kuzma,J. Poole
4,D. Avdija,T. Jones,K. Kuzma,M. Muscala,J. Poole
5,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
6,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
7,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
8,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
9,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
10,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
11,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
12,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
13,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
14,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
15,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
16,D. Avdija,D. Gafford,T. Jones,C. Kispert,K. Kuzma
17,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
18,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
19,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
20,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
21,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
22,D. Avdija,T. Jones,K. Kuzma,M. Muscala,J. Poole
23,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
24,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
25,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
26,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
27,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
28,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
29,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
30,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
31,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
32,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
33,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
34,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
35,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
36,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
37,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
38,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
39,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
40,D. Avdija,M. Bagley,T. Jones,K. Kuzma,J. Poole
41,D. Avdija,M. Bagley,T. Jones,K. Kuzma,J. Poole
42,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
43,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
44,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
45,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
46,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
47,D. Avdija,B. Coulibaly,D. Gafford,T. Jones,K. Kuzma
48,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
49,D. Avdija,B. Coulibaly,D. Gafford,T. Jones,J. Poole
50,D. Avdija,D. Gafford,T. Jones,K. Kuzma,J. Poole
51,D. Avdija,B. Coulibaly,T. Jones,K. Kuzma,J. Poole
52,D. Avdija,M. Bagley,T. Jones,K. Kuzma,J. Poole
53,D. Avdija,M. Bagley,T. Jones,K. Kuzma,J. Poole
54,D. Avdija,M. Bagley,B. Coulibaly,T. Jones,J. Poole
55,D. Avdija,M. Bagley,B. Coulibaly,T. Jones,K. Kuzma
56,M. Bagley,B. Coulibaly,T. Jones,K. Kuzma,L. Shamet
57,M. Bagley,B. Coulibaly,T. Jones,K. Kuzma,L. Shamet
58,M. Bagley,T. Jones,C. Kispert,K. Kuzma,L. Shamet
59,D. Avdija,M. Bagley,T. Jones,K. Kuzma,L. Shamet
60,D. Avdija,M. Bagley,T. Jones,K. Kuzma,L. Shamet
61,D. Avdija,M. Bagley,B. Coulibaly,T. Jones,K. Kuzma
62,D. Avdija,B. Coulibaly,T. Jones,C. Kispert,K. Kuzma
63,D. Avdija,B. Coulibaly,R. Holmes,T. Jones,K. Kuzma
64,D. Avdija,B. Coulibaly,T. Jones,C. Kispert,K. Kuzma
65,D. Avdija,B. Coulibaly,T. Jones,C. Kispert,K. Kuzma
66,D. Avdija,B. Coulibaly,T. Jones,C. Kispert,K. Kuzma
67,B. Coulibaly,R. Holmes,C. Kispert,K. Kuzma,J. Poole
68,P. Baldwin,J. Champagnie,R. Holmes,C. Kispert,J. Poole
69,P. Baldwin,J. Davis,R. Holmes,C. Kispert,J. Poole
70,D. Avdija,R. Holmes,C. Kispert,K. Kuzma,J. Poole
71,D. Avdija,R. Holmes,C. Kispert,K. Kuzma,J. Poole
72,P. Baldwin,J. Davis,R. Holmes,C. Kispert,J. Poole
73,D. Avdija,R. Holmes,C. Kispert,K. Kuzma,J. Poole
74,D. Avdija,M. Bagley,C. Kispert,K. Kuzma,J. Poole
75,D. Avdija,M. Bagley,P. Baldwin,C. Kispert,J. Poole
76,D. Avdija,M. Bagley,A. Gill,C. Kispert,J. Poole
77,D. Avdija,C. Kispert,K. Kuzma,J. Poole,T. Vukcevic
78,D. Avdija,J. Davis,C. Kispert,J. Poole,T. Vukcevic
79,D. Avdija,J. Davis,C. Kispert,J. Poole,T. Vukcevic
80,D. Avdija,P. Baldwin,A. Gill,C. Kispert,J. Poole
81,D. Avdija,P. Baldwin,J. Davis,C. Kispert,T. Vukcevic
82,D. Avdija,P. Baldwin,J. Davis,A. Gill,C. Kispert
