G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,@,Charlotte Hornets,L,,110,116,0,1,S. Bey · C. Capela · D. Hunter · D. Murray · T. Young
2,2023-10-27,,,Box Score,,New York Knicks,L,,120,126,0,2,S. Bey · C. Capela · D. Hunter · D. Murray · T. Young
3,2023-10-29,,,Box Score,@,Milwaukee Bucks,W,,127,110,1,2,C. Capela · D. Hunter · J. Johnson · D. Murray · T. Young
4,2023-10-30,,,Box Score,,Minnesota Timberwolves,W,,127,113,2,2,C. Capela · D. Hunter · J. Johnson · D. Murray · T. Young
5,2023-11-01,,,Box Score,,Washington Wizards,W,,130,121,3,2,S. Bey · C. Capela · D. Hunter · D. Murray · T. Young
6,2023-11-04,,,Box Score,@,New Orleans Pelicans,W,,123,105,4,2,C. Capela · D. Hunter · J. Johnson · D. Murray · T. Young
7,2023-11-06,,,Box Score,@,Oklahoma City Thunder,L,,117,126,4,3,C. Capela · D. Hunter · J. Johnson · D. Murray · T. Young
8,2023-11-09,,,Box Score,@,Orlando Magic,W,,120,119,5,3,C. Capela · D. Hunter · J. Johnson · D. Murray · T. Young
9,2023-11-11,,,Box Score,,Miami Heat,L,,109,117,5,4,C. Capela · D. Hunter · J. Johnson · D. Murray · T. Young
10,2023-11-14,,,Box Score,@,Detroit Pistons,W,,126,120,6,4,B. Bogdanović · C. Capela · D. Hunter · J. Johnson · D. Murray
11,2023-11-15,,,Box Score,,New York Knicks,L,,114,116,6,5,C. Capela · D. Hunter · J. Johnson · D. Murray · T. Young
12,2023-11-17,,,Box Score,,Philadelphia 76ers,L,,116,126,6,6,C. Capela · D. Hunter · J. Johnson · D. Murray · T. Young
13,2023-11-21,,,Box Score,,Indiana Pacers,L,,152,157,6,7,C. Capela · D. Hunter · J. Johnson · D. Murray · T. Young
14,2023-11-22,,,Box Score,,Brooklyn Nets,W,OT,147,145,7,7,C. Capela · D. Hunter · J. Johnson · D. Murray · T. Young
15,2023-11-25,,,Box Score,@,Washington Wizards,W,,136,108,8,7,C. Capela · D. Hunter · J. Johnson · D. Murray · T. Young
16,2023-11-26,,,Box Score,@,Boston Celtics,L,,103,113,8,8,S. Bey · C. Capela · D. Hunter · D. Murray · T. Young
17,2023-11-28,,,Box Score,@,Cleveland Cavaliers,L,,105,128,8,9,S. Bey · C. Capela · D. Hunter · D. Murray · T. Young
