G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,@,New York Knicks,W,,108,104,1,0,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
2,2023-10-27,,,Box Score,,Miami Heat,W,,119,111,2,0,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
3,2023-10-30,,,Box Score,@,Washington Wizards,W,,126,107,3,0,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
4,2023-11-01,,,Box Score,,Indiana Pacers,W,,155,104,4,0,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
5,2023-11-04,,,Box Score,@,Brooklyn Nets,W,,124,114,5,0,J. Brown · J. Holiday · A. Horford · K. Porziņģis · J. Tatum
6,2023-11-06,,,Box Score,@,Minnesota Timberwolves,L,OT,109,114,5,1,J. Brown · J. Holiday · A. Horford · K. Porziņģis · J. Tatum
7,2023-11-08,,,Box Score,@,Philadelphia 76ers,L,,103,106,5,2,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
8,2023-11-10,,,Box Score,,Brooklyn Nets,W,,121,107,6,2,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
9,2023-11-11,,,Box Score,,Toronto Raptors,W,,117,94,7,2,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
10,2023-11-13,,,Box Score,,New York Knicks,W,,114,98,8,2,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
11,2023-11-15,,,Box Score,@,Philadelphia 76ers,W,,117,107,9,2,S. Hauser · J. Holiday · A. Horford · J. Tatum · D. White
12,2023-11-17,,,Box Score,@,Toronto Raptors,W,,108,105,10,2,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
13,2023-11-19,,,Box Score,@,Memphis Grizzlies,W,,102,100,11,2,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
14,2023-11-20,,,Box Score,@,Charlotte Hornets,L,OT,118,121,11,3,J. Brown · S. Hauser · J. Holiday · K. Porziņģis · J. Tatum
15,2023-11-22,,,Box Score,,Milwaukee Bucks,W,,119,116,12,3,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
16,2023-11-24,,,Box Score,@,Orlando Magic,L,,96,113,12,4,J. Brown · A. Horford · K. Porziņģis · J. Tatum · D. White
17,2023-11-26,,,Box Score,,Atlanta Hawks,W,,113,103,13,4,D. Banton · J. Brown · A. Horford · J. Tatum · D. White
18,2023-11-28,,,Box Score,,Chicago Bulls,W,,124,97,14,4,J. Brown · J. Holiday · A. Horford · J. Tatum · D. White
19,2023-12-01,,,Box Score,,Philadelphia 76ers,W,,125,119,15,4,J. Brown · J. Holiday · A. Horford · J. Tatum · D. White
20,2023-12-04,,,Box Score,@,Indiana Pacers,L,,112,122,15,5,J. Brown · J. Holiday · A. Horford · J. Tatum · D. White
21,2023-12-08,,,Box Score,,New York Knicks,W,,133,123,16,5,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
22,2023-12-12,,,Box Score,,Cleveland Cavaliers,W,,120,113,17,5,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
23,2023-12-14,,,Box Score,,Cleveland Cavaliers,W,,116,107,18,5,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
24,2023-12-15,,,Box Score,,Orlando Magic,W,,128,111,19,5,J. Brown · J. Holiday · L. Stevens · J. Tatum · D. White
25,2023-12-17,,,Box Score,,Orlando Magic,W,,114,97,20,5,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
26,2023-12-19,,,Box Score,@,Golden State Warriors,L,OT,126,132,20,6,J. Brown · J. Holiday · A. Horford · J. Tatum · D. White
27,2023-12-20,,,Box Score,@,Sacramento Kings,W,,144,119,21,6,J. Brown · S. Hauser · J. Holiday · K. Porziņģis · D. White
28,2023-12-23,,,Box Score,@,Los Angeles Clippers,W,,145,108,22,6,J. Brown · J. Holiday · A. Horford · J. Tatum · D. White
29,2023-12-25,,,Box Score,@,Los Angeles Lakers,W,,126,115,23,6,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
30,2023-12-28,,,Box Score,,Detroit Pistons,W,OT,128,122,24,6,J. Holiday · A. Horford · K. Porziņģis · J. Tatum · D. White
31,2023-12-29,,,Box Score,,Toronto Raptors,W,,120,118,25,6,J. Brown · S. Hauser · J. Holiday · L. Kornet · D. White
