G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,,Cleveland Cavaliers,L,,113,114,0,1,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · B. Simmons
2,2023-10-27,,,Box Score,@,Dallas Mavericks,L,,120,125,0,2,M. Bridges · S. Dinwiddie · D. Finney-Smith · B. Simmons · C. Thomas
3,2023-10-30,,,Box Score,@,Charlotte Hornets,W,,133,121,1,2,M. Bridges · S. Dinwiddie · D. Finney-Smith · B. Simmons · C. Thomas
4,2023-11-01,,,Box Score,@,Miami Heat,W,,109,105,2,2,M. Bridges · D. Finney-Smith · R. O'Neale · B. Simmons · C. Thomas
5,2023-11-03,,,Box Score,@,Chicago Bulls,W,,109,107,3,2,M. Bridges · S. Dinwiddie · D. Finney-Smith · B. Simmons · C. Thomas
6,2023-11-04,,,Box Score,,Boston Celtics,L,,114,124,3,3,M. Bridges · S. Dinwiddie · D. Finney-Smith · R. O'Neale · C. Thomas
7,2023-11-06,,,Box Score,,Milwaukee Bucks,L,,125,129,3,4,M. Bridges · S. Dinwiddie · D. Finney-Smith · B. Simmons · C. Thomas
8,2023-11-08,,,Box Score,,Los Angeles Clippers,W,,100,93,4,4,M. Bridges · S. Dinwiddie · D. Finney-Smith · R. O'Neale · C. Thomas
9,2023-11-10,,,Box Score,@,Boston Celtics,L,,107,121,4,5,M. Bridges · S. Dinwiddie · D. Finney-Smith · C. Johnson · R. O'Neale
10,2023-11-12,,,Box Score,,Washington Wizards,W,,102,94,5,5,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
11,2023-11-14,,,Box Score,,Orlando Magic,W,,124,104,6,5,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
12,2023-11-16,,,Box Score,@,Miami Heat,L,,115,122,6,6,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
13,2023-11-19,,,Box Score,,Philadelphia 76ers,L,,99,121,6,7,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
14,2023-11-22,,,Box Score,@,Atlanta Hawks,L,OT,145,147,6,8,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
15,2023-11-25,,,Box Score,,Miami Heat,W,,112,97,7,8,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
16,2023-11-26,,,Box Score,,Chicago Bulls,W,,118,109,8,8,M. Bridges · S. Dinwiddie · D. Finney-Smith · C. Johnson · R. O'Neale
17,2023-11-28,,,Box Score,,Toronto Raptors,W,,115,103,9,8,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
18,2023-11-30,,,Box Score,,Charlotte Hornets,L,,128,129,9,9,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
19,2023-12-02,,,Box Score,,Orlando Magic,W,,129,101,10,9,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · C. Thomas
20,2023-12-06,,,Box Score,@,Atlanta Hawks,W,,114,113,11,9,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · C. Thomas
21,2023-12-08,,,Box Score,,Washington Wizards,W,,124,97,12,9,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · C. Thomas
22,2023-12-11,,,Box Score,@,Sacramento Kings,L,,118,131,12,10,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · C. Thomas
23,2023-12-13,,,Box Score,@,Phoenix Suns,W,,116,112,13,10,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · C. Thomas
24,2023-12-14,,,Box Score,@,Denver Nuggets,L,,101,124,13,11,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · C. Thomas
