G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,,Oklahoma City Thunder,L,,104,124,0,1,D. DeRozan · Z. LaVine · N. Vučević · C. White · P. Williams
2,2023-10-27,,,Box Score,,Toronto Raptors,W,OT,104,103,1,1,D. DeRozan · Z. LaVine · N. Vučević · C. White · P. Williams
3,2023-10-28,,,Box Score,@,Detroit Pistons,L,,102,118,1,2,D. DeRozan · Z. LaVine · N. Vučević · C. White · P. Williams
4,2023-10-30,,,Box Score,@,Indiana Pacers,W,,112,105,2,2,D. DeRozan · Z. LaVine · N. Vučević · C. White · P. Williams
5,2023-11-01,,,Box Score,@,Dallas Mavericks,L,,105,114,2,3,D. DeRozan · Z. LaVine · N. Vučević · C. White · P. Williams
6,2023-11-03,,,Box Score,,Brooklyn Nets,L,,107,109,2,4,T. Craig · D. DeRozan · Z. LaVine · N. Vučević · C. White
7,2023-11-04,,,Box Score,@,Denver Nuggets,L,,101,123,2,5,T. Craig · D. DeRozan · Z. LaVine · N. Vučević · C. White
8,2023-11-06,,,Box Score,,Utah Jazz,W,,130,113,3,5,T. Craig · D. DeRozan · Z. LaVine · N. Vučević · C. White
9,2023-11-08,,,Box Score,,Phoenix Suns,L,OT,115,116,3,6,T. Craig · D. DeRozan · Z. LaVine · N. Vučević · C. White
10,2023-11-12,,,Box Score,,Detroit Pistons,W,,119,108,4,6,T. Craig · D. DeRozan · Z. LaVine · N. Vučević · C. White
11,2023-11-13,,,Box Score,@,Milwaukee Bucks,L,,109,118,4,7,T. Craig · D. DeRozan · Z. LaVine · N. Vučević · C. White
12,2023-11-15,,,Box Score,,Orlando Magic,L,,94,96,4,8,T. Craig · Z. LaVine · N. Vučević · C. White · P. Williams
13,2023-11-17,,,Box Score,,Orlando Magic,L,,97,103,4,9,A. Caruso · D. DeRozan · Z. LaVine · N. Vučević · C. White
14,2023-11-18,,,Box Score,,Miami Heat,W,,102,97,5,9,A. Caruso · D. DeRozan · Z. LaVine · N. Vučević · C. White
15,2023-11-20,,,Box Score,,Miami Heat,L,,100,118,5,10,A. Caruso · D. DeRozan · Z. LaVine · N. Vučević · C. White
16,2023-11-22,,,Box Score,@,Oklahoma City Thunder,L,,102,116,5,11,A. Caruso · D. DeRozan · N. Vučević · C. White · P. Williams
17,2023-11-24,,,Box Score,@,Toronto Raptors,L,,108,121,5,12,A. Caruso · D. DeRozan · Z. LaVine · N. Vučević · C. White
18,2023-11-26,,,Box Score,@,Brooklyn Nets,L,,109,118,5,13,D. DeRozan · Z. LaVine · N. Vučević · C. White · P. Williams
19,2023-11-28,,,Box Score,@,Boston Celtics,L,,97,124,5,14,D. DeRozan · Z. LaVine · N. Vučević · C. White · P. Williams
20,2023-11-30,,,Box Score,,Milwaukee Bucks,W,OT,120,113,6,14,A. Caruso · A. Dosunmu · N. Vučević · C. White · P. Williams
21,2023-12-02,,,Box Score,,New Orleans Pelicans,W,,124,118,7,14,A. Caruso · D. DeRozan · N. Vučević · C. White · P. Williams
22,2023-12-06,,,Box Score,,Charlotte Hornets,W,,111,100,8,14,A. Caruso · D. DeRozan · N. Vučević · C. White · P. Williams
23,2023-12-08,,,Box Score,@,San Antonio Spurs,W,,121,112,9,14,A. Caruso · D. DeRozan · N. Vučević · C. White · P. Williams
24,2023-12-11,,,Box Score,@,Milwaukee Bucks,L,OT,129,133,9,15,D. DeRozan · A. Dosunmu · N. Vučević · C. White · P. Williams
25,2023-12-12,,,Box Score,,Denver Nuggets,L,,106,114,9,16,D. DeRozan · A. Dosunmu · N. Vučević · C. White · P. Williams
26,2023-12-14,,,Box Score,@,Miami Heat,W,,124,116,10,16,A. Caruso · D. DeRozan · N. Vučević · C. White · P. Williams
27,2023-12-16,,,Box Score,@,Miami Heat,L,,116,118,10,17,D. DeRozan · A. Dosunmu · N. Vučević · C. White · P. Williams
28,2023-12-18,,,Box Score,@,Philadelphia 76ers,W,,108,104,11,17,D. DeRozan · A. Dosunmu · N. Vučević · C. White · P. Williams
29,2023-12-20,,,Box Score,,Los Angeles Lakers,W,,124,108,12,17,A. Caruso · D. DeRozan · N. Vučević · C. White · P. Williams
30,2023-12-21,,,Box Score,,San Antonio Spurs,W,,114,95,13,17,A. Caruso · D. DeRozan · N. Vučević · C. White · P. Williams
31,2023-12-23,,,Box Score,,Cleveland Cavaliers,L,,95,109,13,18,A. Caruso · D. DeRozan · N. Vučević · C. White · P. Williams
32,2023-12-26,,,Box Score,,Atlanta Hawks,W,,118,113,14,18,A. Caruso · D. DeRozan · A. Drummond · C. White · P. Williams
33,2023-12-28,,,Box Score,,Indiana Pacers,L,,104,120,14,19,A. Caruso · D. DeRozan · A. Drummond · C. White · P. Williams
34,2023-12-30,,,Box Score,,Philadelphia 76ers,W,,105,92,15,19,A. Caruso · D. DeRozan · A. Drummond · C. White · P. Williams
