G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,,Atlanta Hawks,W,,116,110,1,0,L. Ball · G. Hayward · T. Rozier · P. Washington · M. Williams
2,2023-10-27,,,Box Score,,Detroit Pistons,L,,99,111,1,1,L. Ball · G. Hayward · T. Rozier · P. Washington · M. Williams
3,2023-10-30,,,Box Score,,Brooklyn Nets,L,,121,133,1,2,L. Ball · G. Hayward · T. Rozier · P. Washington · M. Williams
4,2023-11-01,,,Box Score,@,Houston Rockets,L,,119,128,1,3,L. Ball · G. Hayward · T. Rozier · P. Washington · M. Williams
5,2023-11-04,,,Box Score,@,Indiana Pacers,W,,125,124,2,3,L. Ball · G. Hayward · T. Rozier · P. Washington · M. Williams
6,2023-11-05,,,Box Score,@,Dallas Mavericks,L,,118,124,2,4,L. Ball · G. Hayward · B. Miller · P. Washington · M. Williams
7,2023-11-08,,,Box Score,,Washington Wizards,L,,116,132,2,5,L. Ball · G. Hayward · B. Miller · P. Washington · M. Williams
8,2023-11-10,,,Box Score,@,Washington Wizards,W,,124,117,3,5,L. Ball · G. Hayward · B. Miller · P. Washington · M. Williams
9,2023-11-12,,,Box Score,@,New York Knicks,L,,107,129,3,6,L. Ball · G. Hayward · B. Miller · P. Washington · M. Williams
10,2023-11-14,,,Box Score,,Miami Heat,L,,105,111,3,7,L. Ball · T. Maledon · J. Thor · P. Washington · M. Williams
11,2023-11-17,,,Box Score,,Milwaukee Bucks,L,,99,130,3,8,L. Ball · G. Hayward · B. Miller · P. Washington · M. Williams
12,2023-11-18,,,Box Score,,New York Knicks,L,,108,122,3,9,L. Ball · G. Hayward · B. Miller · P. Washington · M. Williams
13,2023-11-20,,,Box Score,,Boston Celtics,W,OT,121,118,4,9,L. Ball · M. Bridges · G. Hayward · B. Miller · M. Williams
14,2023-11-22,,,Box Score,,Washington Wizards,W,,117,114,5,9,L. Ball · M. Bridges · G. Hayward · B. Miller · M. Williams
15,2023-11-26,,,Box Score,@,Orlando Magic,L,,117,130,5,10,L. Ball · M. Bridges · G. Hayward · T. Rozier · M. Williams
16,2023-11-28,,,Box Score,@,New York Knicks,L,,91,115,5,11,M. Bridges · G. Hayward · B. Miller · T. Rozier · M. Williams
17,2023-11-30,,,Box Score,@,Brooklyn Nets,W,,129,128,6,11,M. Bridges · G. Hayward · B. McGowens · T. Rozier · M. Williams
18,2023-12-02,,,Box Score,,Minnesota Timberwolves,L,,117,123,6,12,M. Bridges · G. Hayward · B. Miller · T. Rozier · M. Williams
19,2023-12-06,,,Box Score,@,Chicago Bulls,L,,100,111,6,13,M. Bridges · G. Hayward · B. Miller · N. Richards · T. Rozier
20,2023-12-08,,,Box Score,,Toronto Raptors,W,,119,116,7,13,M. Bridges · G. Hayward · B. Miller · T. Rozier · M. Williams
21,2023-12-11,,,Box Score,,Miami Heat,L,,114,116,7,14,M. Bridges · G. Hayward · B. Miller · N. Richards · T. Rozier
22,2023-12-13,,,Box Score,@,Miami Heat,L,,104,115,7,15,M. Bridges · G. Hayward · B. Miller · N. Richards · T. Rozier
23,2023-12-15,,,Box Score,,New Orleans Pelicans,L,,107,112,7,16,M. Bridges · G. Hayward · B. Miller · N. Richards · T. Rozier
24,2023-12-16,,,Box Score,,Philadelphia 76ers,L,,82,135,7,17,M. Bridges · B. McGowens · B. Miller · N. Richards · T. Rozier
25,2023-12-18,,,Box Score,@,Toronto Raptors,L,,99,114,7,18,B. McGowens · B. Miller · N. Richards · T. Rozier · P. Washington
26,2023-12-20,,,Box Score,@,Indiana Pacers,L,,113,144,7,19,M. Bridges · G. Hayward · B. Miller · N. Richards · T. Rozier
27,2023-12-23,,,Box Score,,Denver Nuggets,L,,95,102,7,20,M. Bridges · G. Hayward · B. Miller · N. Richards · I. Smith
28,2023-12-26,,,Box Score,@,Los Angeles Clippers,L,,104,113,7,21,M. Bridges · G. Hayward · B. McGowens · N. Richards · T. Rozier
29,2023-12-28,,,Box Score,@,Los Angeles Lakers,L,,112,133,7,22,M. Bridges · B. McGowens · B. Miller · N. Richards · T. Rozier
30,2023-12-29,,,Box Score,@,Phoenix Suns,L,,119,133,7,23,M. Bridges · B. McGowens · B. Miller · N. Richards · T. Rozier
31,2024-01-01,,,Box Score,@,Denver Nuggets,L,,93,111,7,24,M. Bridges · B. McGowens · B. Miller · N. Richards · I. Smith
32,2024-01-02,,,Box Score,@,Sacramento Kings,W,,111,104,8,24,M. Bridges · C. Martin · B. McGowens · N. Richards · T. Rozier
33,2024-01-05,,,Box Score,@,Chicago Bulls,L,,91,104,8,25,M. Bridges · C. Martin · B. Miller · N. Richards · T. Rozier
34,2024-01-08,,,Box Score,,Chicago Bulls,L,OT,112,119,8,26,M. Bridges · B. McGowens · B. Miller · N. Richards · T. Rozier
35,2024-01-10,,,Box Score,,Sacramento Kings,L,,98,123,8,27,M. Bridges · B. McGowens · B. Miller · N. Richards · T. Rozier
36,2024-01-12,,,Box Score,@,San Antonio Spurs,L,,99,135,8,28,L. Ball · M. Bridges · B. Miller · N. Richards · T. Rozier
37,2024-01-14,,,Box Score,@,Miami Heat,L,,87,104,8,29,L. Ball · M. Bridges · C. Martin · N. Richards · T. Rozier
38,2024-01-17,,,Box Score,@,New Orleans Pelicans,L,,112,132,8,30,L. Ball · M. Bridges · C. Martin · N. Richards · T. Rozier
39,2024-01-19,,,Box Score,,San Antonio Spurs,W,,124,120,9,30,L. Ball · M. Bridges · B. Miller · T. Rozier · P. Washington
40,2024-01-20,,,Box Score,,Philadelphia 76ers,L,,89,97,9,31,M. Bridges · C. Martin · B. Miller · T. Rozier · P. Washington
41,2024-01-22,,,Box Score,@,Minnesota Timberwolves,W,,128,125,10,31,L. Ball · M. Bridges · B. Miller · T. Rozier · P. Washington
42,2024-01-24,,,Box Score,@,Detroit Pistons,L,,106,113,10,32,L. Ball · M. Bridges · C. Martin · B. Miller · N. Richards
43,2024-01-26,,,Box Score,,Houston Rockets,L,,104,138,10,33,L. Ball · M. Bridges · C. Martin · B. Miller · N. Richards
44,2024-01-27,,,Box Score,,Utah Jazz,L,,122,134,10,34,M. Bridges · C. Martin · B. Miller · N. Richards · I. Smith
45,2024-01-29,,,Box Score,,New York Knicks,L,,92,113,10,35,M. Bridges · C. Martin · B. Miller · N. Richards · P. Washington
46,2024-01-31,,,Box Score,,Chicago Bulls,L,,110,117,10,36,M. Bridges · C. Martin · B. McGowens · B. Miller · N. Richards
47,2024-02-02,,,Box Score,@,Oklahoma City Thunder,L,,106,126,10,37,M. Bridges · C. Martin · B. McGowens · B. Miller · N. Richards
48,2024-02-04,,,Box Score,,Indiana Pacers,L,,99,115,10,38,M. Bridges · B. McGowens · B. Miller · N. Richards · I. Smith
49,2024-02-05,,,Box Score,,Los Angeles Lakers,L,,118,124,10,39,L. Black · M. Bridges · B. Miller · N. Richards · I. Smith
50,2024-02-07,,,Box Score,,Toronto Raptors,L,,117,123,10,40,L. Black · M. Bridges · C. Martin · B. Miller · N. Richards
51,2024-02-09,,,Box Score,@,Milwaukee Bucks,L,,84,120,10,41,L. Black · M. Bridges · C. Martin · B. Miller · N. Richards
52,2024-02-10,,,Box Score,,Memphis Grizzlies,W,,115,106,11,41,M. Bridges · T. Mann · C. Martin · B. Miller · N. Richards
53,2024-02-12,,,Box Score,,Indiana Pacers,W,,111,102,12,41,M. Bridges · T. Mann · C. Martin · B. Miller · N. Richards
54,2024-02-14,,,Box Score,,Atlanta Hawks,W,,122,99,13,41,M. Bridges · T. Mann · C. Martin · B. Miller · N. Richards
55,2024-02-22,,,Box Score,@,Utah Jazz,W,,115,107,14,41,M. Bridges · T. Mann · C. Martin · B. Miller · N. Richards
56,2024-02-23,,,Box Score,@,Golden State Warriors,L,,84,97,14,42,M. Bridges · T. Mann · C. Martin · B. Miller · N. Richards
57,2024-02-25,,,Box Score,@,Portland Trail Blazers,W,,93,80,15,42,M. Bridges · T. Mann · C. Martin · B. Miller · N. Richards
