G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,@,Brooklyn Nets,W,,114,113,1,0,D. Garland · D. Mitchell · E. Mobley · I. Okoro · M. Strus
2,2023-10-27,,,Box Score,,Oklahoma City Thunder,L,,105,108,1,1,D. Mitchell · E. Mobley · I. Okoro · M. Strus · D. Wade
3,2023-10-28,,,Box Score,,Indiana Pacers,L,,113,125,1,2,C. LeVert · E. Mobley · I. Okoro · M. Strus · D. Wade
4,2023-10-31,,,Box Score,,New York Knicks,L,,91,109,1,3,D. Mitchell · E. Mobley · I. Okoro · M. Strus · D. Wade
5,2023-11-01,,,Box Score,@,New York Knicks,W,,95,89,2,3,D. Mitchell · E. Mobley · G. Niang · I. Okoro · M. Strus
6,2023-11-03,,,Box Score,@,Indiana Pacers,L,,116,121,2,4,J. Allen · D. Garland · D. Mitchell · E. Mobley · M. Strus
7,2023-11-05,,,Box Score,,Golden State Warriors,W,,115,104,3,4,J. Allen · D. Garland · D. Mitchell · E. Mobley · M. Strus
8,2023-11-08,,,Box Score,@,Oklahoma City Thunder,L,,120,128,3,5,J. Allen · D. Garland · D. Mitchell · E. Mobley · M. Strus
9,2023-11-11,,,Box Score,@,Golden State Warriors,W,,118,110,4,5,J. Allen · D. Garland · D. Mitchell · E. Mobley · M. Strus
10,2023-11-13,,,Box Score,@,Sacramento Kings,L,,120,132,4,6,J. Allen · D. Garland · D. Mitchell · E. Mobley · M. Strus
11,2023-11-15,,,Box Score,@,Portland Trail Blazers,W,,109,95,5,6,J. Allen · D. Mitchell · E. Mobley · M. Strus · D. Wade
12,2023-11-17,,,Box Score,,Detroit Pistons,W,,108,100,6,6,J. Allen · D. Garland · E. Mobley · M. Strus · D. Wade
13,2023-11-19,,,Box Score,,Denver Nuggets,W,,121,109,7,6,J. Allen · D. Garland · E. Mobley · M. Strus · D. Wade
14,2023-11-21,,,Box Score,@,Philadelphia 76ers,W,OT,122,119,8,6,J. Allen · D. Garland · E. Mobley · M. Strus · D. Wade
15,2023-11-22,,,Box Score,,Miami Heat,L,,96,129,8,7,J. Allen · D. Garland · E. Mobley · C. Porter · M. Strus
16,2023-11-25,,,Box Score,,Los Angeles Lakers,L,,115,121,8,8,J. Allen · D. Garland · D. Mitchell · E. Mobley · M. Strus
17,2023-11-26,,,Box Score,,Toronto Raptors,W,,105,102,9,8,J. Allen · D. Garland · D. Mitchell · E. Mobley · M. Strus
18,2023-11-28,,,Box Score,,Atlanta Hawks,W,,128,105,10,8,J. Allen · D. Garland · D. Mitchell · E. Mobley · M. Strus
19,2023-11-30,,,Box Score,,Portland Trail Blazers,L,,95,103,10,9,J. Allen · D. Garland · D. Mitchell · E. Mobley · M. Strus
20,2023-12-02,,,Box Score,@,Detroit Pistons,W,,110,101,11,9,J. Allen · D. Garland · D. Mitchell · E. Mobley · M. Strus
21,2023-12-06,,,Box Score,,Orlando Magic,W,,121,111,12,9,J. Allen · D. Garland · D. Mitchell · E. Mobley · M. Strus
22,2023-12-08,,,Box Score,@,Miami Heat,W,,111,99,13,9,J. Allen · D. Garland · D. Mitchell · M. Strus · D. Wade
23,2023-12-11,,,Box Score,@,Orlando Magic,L,,94,104,13,10,J. Allen · D. Garland · D. Mitchell · M. Strus · D. Wade
24,2023-12-12,,,Box Score,@,Boston Celtics,L,,113,120,13,11,J. Allen · D. Garland · D. Mitchell · M. Strus · D. Wade
25,2023-12-14,,,Box Score,@,Boston Celtics,L,,107,116,13,12,J. Allen · D. Garland · D. Mitchell · M. Strus · D. Wade
26,2023-12-16,,,Box Score,,Atlanta Hawks,W,,127,119,14,12,J. Allen · D. Mitchell · I. Okoro · M. Strus · D. Wade
27,2023-12-18,,,Box Score,,Houston Rockets,W,OT,135,130,15,12,J. Allen · D. Mitchell · I. Okoro · M. Strus · D. Wade
28,2023-12-20,,,Box Score,,Utah Jazz,W,,124,116,16,12,J. Allen · I. Okoro · C. Porter · M. Strus · D. Wade
29,2023-12-21,,,Box Score,,New Orleans Pelicans,L,,104,123,16,13,J. Allen · I. Okoro · C. Porter · M. Strus · D. Wade
30,2023-12-23,,,Box Score,@,Chicago Bulls,W,,109,95,17,13,J. Allen · I. Okoro · C. Porter · M. Strus · D. Wade
31,2023-12-27,,,Box Score,@,Dallas Mavericks,W,,113,110,18,13,J. Allen · I. Okoro · C. Porter · M. Strus · D. Wade
32,2023-12-29,,,Box Score,,Milwaukee Bucks,L,,111,119,18,14,J. Allen · D. Mitchell · I. Okoro · M. Strus · D. Wade
33,2024-01-01,,,Box Score,@,Toronto Raptors,L,,121,124,18,15,J. Allen · D. Mitchell · I. Okoro · M. Strus · D. Wade
34,2024-01-03,,,Box Score,,Washington Wizards,W,,140,101,19,15,J. Allen · D. Mitchell · I. Okoro · M. Strus · D. Wade
35,2024-01-05,,,Box Score,,Washington Wizards,W,,114,90,20,15,J. Allen · D. Mitchell · I. Okoro · M. Strus · D. Wade
36,2024-01-07,,,Box Score,,San Antonio Spurs,W,,117,115,21,15,J. Allen · D. Mitchell · I. Okoro · M. Strus · D. Wade
37,2024-01-11,,,Box Score,,Brooklyn Nets,W,,111,102,22,15,J. Allen · D. Mitchell · I. Okoro · M. Strus · D. Wade
38,2024-01-15,,,Box Score,,Chicago Bulls,W,,109,91,23,15,J. Allen · D. Mitchell · I. Okoro · M. Strus · D. Wade
