G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,@,San Antonio Spurs,W,,126,119,1,0,L. Dončić · K. Irving · D. Jones · M. Kleber · G. Williams
2,2023-10-27,,,Box Score,,Brooklyn Nets,W,,125,120,2,0,L. Dončić · K. Irving · D. Jones · D. Lively · G. Williams
3,2023-10-30,,,Box Score,@,Memphis Grizzlies,W,,125,110,3,0,L. Dončić · J. Green · D. Jones · D. Lively · G. Williams
4,2023-11-01,,,Box Score,,Chicago Bulls,W,,114,105,4,0,L. Dončić · J. Green · D. Jones · D. Lively · G. Williams
5,2023-11-03,,,Box Score,@,Denver Nuggets,L,,114,125,4,1,L. Dončić · K. Irving · D. Jones · D. Lively · G. Williams
6,2023-11-05,,,Box Score,,Charlotte Hornets,W,,124,118,5,1,L. Dončić · K. Irving · D. Jones · D. Lively · G. Williams
7,2023-11-06,,,Box Score,@,Orlando Magic,W,,117,102,6,1,L. Dončić · K. Irving · D. Jones · D. Lively · G. Williams
8,2023-11-08,,,Box Score,,Toronto Raptors,L,,116,127,6,2,L. Dončić · K. Irving · D. Jones · D. Powell · G. Williams
9,2023-11-10,,,Box Score,,Los Angeles Clippers,W,,144,126,7,2,L. Dončić · K. Irving · D. Jones · D. Lively · G. Williams
10,2023-11-12,,,Box Score,@,New Orleans Pelicans,W,,136,124,8,2,L. Dončić · K. Irving · D. Jones · D. Lively · G. Williams
11,2023-11-14,,,Box Score,@,New Orleans Pelicans,L,,110,131,8,3,L. Dončić · K. Irving · D. Jones · D. Lively · G. Williams
12,2023-11-15,,,Box Score,@,Washington Wizards,W,,130,117,9,3,L. Dončić · J. Green · D. Jones · D. Lively · G. Williams
13,2023-11-18,,,Box Score,@,Milwaukee Bucks,L,,125,132,9,4,L. Dončić · K. Irving · D. Jones · D. Lively · G. Williams
14,2023-11-19,,,Box Score,,Sacramento Kings,L,,113,129,9,5,L. Dončić · K. Irving · D. Jones · D. Lively · G. Williams
15,2023-11-22,,,Box Score,@,Los Angeles Lakers,W,,104,101,10,5,L. Dončić · K. Irving · D. Jones · D. Lively · G. Williams
16,2023-11-25,,,Box Score,@,Los Angeles Clippers,L,,88,107,10,6,L. Dončić · R. Holmes · K. Irving · D. Jones · G. Williams
17,2023-11-28,,,Box Score,,Houston Rockets,W,,121,115,11,6,L. Dončić · J. Green · K. Irving · D. Lively · G. Williams
18,2023-12-01,,,Box Score,,Memphis Grizzlies,L,,94,108,11,7,J. Green · K. Irving · D. Jones · D. Lively · G. Williams
19,2023-12-02,,,Box Score,,Oklahoma City Thunder,L,,120,126,11,8,S. Curry · L. Dončić · D. Jones · D. Lively · G. Williams
20,2023-12-06,,,Box Score,,Utah Jazz,W,,147,97,12,8,L. Dončić · D. Exum · K. Irving · D. Jones · D. Lively
21,2023-12-08,,,Box Score,@,Portland Trail Blazers,W,,125,112,13,8,L. Dončić · D. Exum · K. Irving · D. Jones · D. Lively
22,2023-12-11,,,Box Score,@,Memphis Grizzlies,W,,120,113,14,8,S. Curry · L. Dončić · D. Exum · D. Jones · D. Lively
23,2023-12-12,,,Box Score,,Los Angeles Lakers,W,,127,125,15,8,S. Curry · L. Dončić · D. Exum · D. Lively · G. Williams
24,2023-12-14,,,Box Score,,Minnesota Timberwolves,L,,101,119,15,9,L. Dončić · D. Exum · D. Jones · D. Lively · G. Williams
25,2023-12-16,,,Box Score,@,Portland Trail Blazers,W,,131,120,16,9,L. Dončić · D. Exum · D. Jones · D. Lively · G. Williams
26,2023-12-18,,,Box Score,@,Denver Nuggets,L,,104,130,16,10,L. Dončić · D. Exum · D. Jones · D. Powell · G. Williams
27,2023-12-20,,,Box Score,,Los Angeles Clippers,L,,111,120,16,11,L. Dončić · D. Exum · D. Jones · D. Powell · G. Williams
28,2023-12-22,,,Box Score,@,Houston Rockets,L,,96,122,16,12,T. Hardaway · J. Hardy · D. Jones · M. Morris · G. Williams
29,2023-12-23,,,Box Score,,San Antonio Spurs,W,,144,119,17,12,L. Dončić · D. Exum · T. Hardaway · D. Jones · G. Williams
