G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,@,Miami Heat,L,,102,103,0,1,C. Cunningham · J. Duren · K. Hayes · I. Stewart · A. Thompson
2,2023-10-27,,,Box Score,@,Charlotte Hornets,W,,111,99,1,1,C. Cunningham · J. Duren · K. Hayes · I. Stewart · A. Thompson
3,2023-10-28,,,Box Score,,Chicago Bulls,W,,118,102,2,1,C. Cunningham · J. Duren · K. Hayes · I. Stewart · A. Thompson
4,2023-10-30,,,Box Score,@,Oklahoma City Thunder,L,,112,124,2,2,C. Cunningham · J. Duren · K. Hayes · I. Stewart · A. Thompson
5,2023-11-01,,,Box Score,,Portland Trail Blazers,L,,101,110,2,3,M. Bagley · C. Cunningham · K. Hayes · I. Stewart · A. Thompson
6,2023-11-02,,,Box Score,@,New Orleans Pelicans,L,,116,125,2,4,C. Cunningham · J. Duren · K. Hayes · I. Stewart · A. Thompson
7,2023-11-05,,,Box Score,,Phoenix Suns,L,,106,120,2,5,C. Cunningham · J. Duren · K. Hayes · I. Stewart · A. Thompson
8,2023-11-06,,,Box Score,,Golden State Warriors,L,,109,120,2,6,M. Bagley · C. Cunningham · K. Hayes · I. Stewart · A. Thompson
9,2023-11-08,,,Box Score,@,Milwaukee Bucks,L,,118,120,2,7,C. Cunningham · J. Duren · K. Hayes · I. Stewart · A. Thompson
10,2023-11-10,,,Box Score,,Philadelphia 76ers,L,,106,114,2,8,C. Cunningham · J. Duren · K. Hayes · I. Stewart · A. Thompson
11,2023-11-12,,,Box Score,@,Chicago Bulls,L,,108,119,2,9,M. Bagley · C. Cunningham · K. Hayes · I. Stewart · A. Thompson
12,2023-11-14,,,Box Score,,Atlanta Hawks,L,,120,126,2,10,M. Bagley · C. Cunningham · K. Hayes · I. Stewart · A. Thompson
13,2023-11-17,,,Box Score,@,Cleveland Cavaliers,L,,100,108,2,11,C. Cunningham · K. Hayes · K. Knox · I. Stewart · A. Thompson
14,2023-11-19,,,Box Score,@,Toronto Raptors,L,,113,142,2,12,C. Cunningham · J. Ivey · K. Knox · I. Stewart · A. Thompson
15,2023-11-20,,,Box Score,,Denver Nuggets,L,,103,107,2,13,M. Bagley · C. Cunningham · J. Ivey · I. Stewart · A. Thompson
16,2023-11-24,,,Box Score,@,Indiana Pacers,L,,113,136,2,14,M. Bagley · C. Cunningham · J. Ivey · I. Stewart · A. Thompson
17,2023-11-27,,,Box Score,,Washington Wizards,L,,107,126,2,15,C. Cunningham · J. Duren · J. Ivey · I. Stewart · A. Thompson
18,2023-11-29,,,Box Score,,Los Angeles Lakers,L,,107,133,2,16,C. Cunningham · J. Duren · J. Ivey · I. Stewart · A. Thompson
19,2023-11-30,,,Box Score,@,New York Knicks,L,,112,118,2,17,C. Cunningham · J. Duren · K. Hayes · I. Livers · I. Stewart
20,2023-12-02,,,Box Score,,Cleveland Cavaliers,L,,101,110,2,18,C. Cunningham · J. Duren · K. Hayes · J. Ivey · I. Stewart
21,2023-12-06,,,Box Score,,Memphis Grizzlies,L,,102,116,2,19,B. Bogdanović · C. Cunningham · J. Duren · K. Hayes · I. Stewart
22,2023-12-08,,,Box Score,@,Orlando Magic,L,,91,123,2,20,M. Bagley · B. Bogdanović · C. Cunningham · K. Hayes · I. Stewart
23,2023-12-11,,,Box Score,,Indiana Pacers,L,,123,131,2,21,B. Bogdanović · C. Cunningham · K. Hayes · I. Stewart · A. Thompson
24,2023-12-13,,,Box Score,,Philadelphia 76ers,L,,111,129,2,22,B. Bogdanović · C. Cunningham · K. Hayes · I. Stewart · A. Thompson
25,2023-12-15,,,Box Score,@,Philadelphia 76ers,L,,92,124,2,23,B. Bogdanović · C. Cunningham · K. Hayes · I. Stewart · A. Thompson
26,2023-12-16,,,Box Score,@,Milwaukee Bucks,L,,114,146,2,24,M. Bagley · B. Bogdanović · C. Cunningham · K. Hayes · A. Thompson
27,2023-12-18,,,Box Score,@,Atlanta Hawks,L,,124,130,2,25,M. Bagley · B. Bogdanović · C. Cunningham · J. Ivey · A. Thompson
28,2023-12-21,,,Box Score,,Utah Jazz,L,,111,119,2,26,M. Bagley · B. Bogdanović · C. Cunningham · J. Ivey · I. Stewart
29,2023-12-23,,,Box Score,@,Brooklyn Nets,L,,115,126,2,27,B. Bogdanović · C. Cunningham · J. Ivey · I. Stewart · A. Thompson
30,2023-12-26,,,Box Score,,Brooklyn Nets,L,,112,118,2,28,B. Bogdanović · C. Cunningham · J. Duren · J. Ivey · I. Stewart
