G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,,Washington Wizards,W,,143,120,1,0,B. Brown · T. Haliburton · B. Mathurin · O. Toppin · M. Turner
2,2023-10-28,,,Box Score,@,Cleveland Cavaliers,W,,125,113,2,0,B. Brown · T. Haliburton · B. Mathurin · O. Toppin · M. Turner
3,2023-10-30,,,Box Score,,Chicago Bulls,L,,105,112,2,1,B. Brown · T. Haliburton · B. Mathurin · O. Toppin · M. Turner
4,2023-11-01,,,Box Score,@,Boston Celtics,L,,104,155,2,2,B. Brown · B. Mathurin · A. Nembhard · O. Toppin · M. Turner
5,2023-11-03,,,Box Score,,Cleveland Cavaliers,W,,121,116,3,2,B. Brown · T. Haliburton · B. Mathurin · O. Toppin · M. Turner
6,2023-11-04,,,Box Score,,Charlotte Hornets,L,,124,125,3,3,B. Brown · T. Haliburton · B. Mathurin · O. Toppin · M. Turner
7,2023-11-06,,,Box Score,,San Antonio Spurs,W,,152,111,4,3,B. Brown · T. Haliburton · B. Mathurin · O. Toppin · M. Turner
8,2023-11-08,,,Box Score,,Utah Jazz,W,,134,118,5,3,B. Brown · T. Haliburton · B. Mathurin · O. Toppin · M. Turner
9,2023-11-09,,,Box Score,,Milwaukee Bucks,W,,126,124,6,3,B. Brown · T. Haliburton · B. Mathurin · O. Toppin · M. Turner
10,2023-11-12,,,Box Score,@,Philadelphia 76ers,L,,126,137,6,4,B. Brown · T. Haliburton · B. Mathurin · O. Toppin · M. Turner
11,2023-11-14,,,Box Score,@,Philadelphia 76ers,W,,132,126,7,4,B. Brown · T. Haliburton · B. Mathurin · O. Toppin · M. Turner
12,2023-11-19,,,Box Score,,Orlando Magic,L,,116,128,7,5,B. Brown · T. Haliburton · B. Mathurin · O. Toppin · M. Turner
13,2023-11-21,,,Box Score,@,Atlanta Hawks,W,,157,152,8,5,B. Brown · T. Haliburton · B. Hield · A. Nesmith · M. Turner
14,2023-11-22,,,Box Score,,Toronto Raptors,L,,131,132,8,6,B. Brown · T. Haliburton · B. Hield · O. Toppin · M. Turner
15,2023-11-24,,,Box Score,,Detroit Pistons,W,,136,113,9,6,B. Brown · T. Haliburton · B. Hield · O. Toppin · M. Turner
16,2023-11-27,,,Box Score,,Portland Trail Blazers,L,,110,114,9,7,B. Brown · T. Haliburton · B. Hield · O. Toppin · M. Turner
17,2023-11-30,,,Box Score,@,Miami Heat,L,,132,142,9,8,B. Brown · T. Haliburton · B. Hield · O. Toppin · M. Turner
18,2023-12-02,,,Box Score,@,Miami Heat,W,,144,129,10,8,B. Brown · B. Hield · A. Nembhard · O. Toppin · M. Turner
19,2023-12-04,,,Box Score,,Boston Celtics,W,,122,112,11,8,B. Brown · T. Haliburton · B. Hield · O. Toppin · M. Turner
20,2023-12-07,,,Box Score,@,Milwaukee Bucks,W,,128,119,12,8,B. Brown · T. Haliburton · B. Hield · O. Toppin · M. Turner
21,2023-12-11,,,Box Score,@,Detroit Pistons,W,,131,123,13,8,B. Brown · T. Haliburton · B. Hield · O. Toppin · M. Turner
22,2023-12-13,,,Box Score,@,Milwaukee Bucks,L,,126,140,13,9,B. Brown · T. Haliburton · B. Hield · O. Toppin · M. Turner
23,2023-12-15,,,Box Score,@,Washington Wizards,L,,123,137,13,10,B. Brown · T. Haliburton · B. Hield · O. Toppin · M. Turner
24,2023-12-16,,,Box Score,@,Minnesota Timberwolves,L,,109,127,13,11,B. Brown · B. Hield · T. McConnell · O. Toppin · M. Turner
