G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-24,,,Box Score,@,Denver Nuggets,L,,107,119,0,1,A. Davis · L. James · T. Prince · A. Reaves · D. Russell
2,2023-10-26,,,Box Score,,Phoenix Suns,W,,100,95,1,1,A. Davis · L. James · T. Prince · A. Reaves · D. Russell
3,2023-10-29,,,Box Score,@,Sacramento Kings,L,OT,127,132,1,2,A. Davis · L. James · T. Prince · A. Reaves · D. Russell
4,2023-10-30,,,Box Score,,Orlando Magic,W,,106,103,2,2,A. Davis · L. James · T. Prince · A. Reaves · D. Russell
5,2023-11-01,,,Box Score,,Los Angeles Clippers,W,OT,130,125,3,2,A. Davis · L. James · A. Reaves · C. Reddish · D. Russell
6,2023-11-04,,,Box Score,@,Orlando Magic,L,,101,120,3,3,A. Davis · L. James · A. Reaves · C. Reddish · D. Russell
7,2023-11-06,,,Box Score,@,Miami Heat,L,,107,108,3,4,A. Davis · L. James · T. Prince · A. Reaves · D. Russell
8,2023-11-08,,,Box Score,@,Houston Rockets,L,,94,128,3,5,L. James · T. Prince · A. Reaves · D. Russell · C. Wood
9,2023-11-10,,,Box Score,@,Phoenix Suns,W,,122,119,4,5,A. Davis · L. James · T. Prince · C. Reddish · D. Russell
10,2023-11-12,,,Box Score,,Portland Trail Blazers,W,,116,110,5,5,A. Davis · R. Hachimura · T. Prince · C. Reddish · D. Russell
11,2023-11-14,,,Box Score,,Memphis Grizzlies,W,,134,107,6,5,A. Davis · L. James · T. Prince · C. Reddish · D. Russell
12,2023-11-15,,,Box Score,,Sacramento Kings,L,,110,125,6,6,A. Davis · L. James · T. Prince · C. Reddish · D. Russell
13,2023-11-17,,,Box Score,@,Portland Trail Blazers,W,,107,95,7,6,A. Davis · L. James · T. Prince · C. Reddish · D. Russell
14,2023-11-19,,,Box Score,,Houston Rockets,W,,105,104,8,6,A. Davis · L. James · T. Prince · C. Reddish · D. Russell
15,2023-11-21,,,Box Score,,Utah Jazz,W,,131,99,9,6,A. Davis · L. James · T. Prince · C. Reddish · D. Russell
16,2023-11-22,,,Box Score,,Dallas Mavericks,L,,101,104,9,7,M. Christie · A. Davis · L. James · T. Prince · D. Russell
17,2023-11-25,,,Box Score,@,Cleveland Cavaliers,W,,121,115,10,7,M. Christie · A. Davis · L. James · T. Prince · D. Russell
18,2023-11-27,,,Box Score,@,Philadelphia 76ers,L,,94,138,10,8,M. Christie · A. Davis · L. James · T. Prince · D. Russell
19,2023-11-29,,,Box Score,@,Detroit Pistons,W,,133,107,11,8,M. Christie · A. Davis · L. James · T. Prince · D. Russell
20,2023-11-30,,,Box Score,@,Oklahoma City Thunder,L,,110,133,11,9,M. Christie · A. Davis · L. James · T. Prince · D. Russell
21,2023-12-02,,,Box Score,,Houston Rockets,W,,107,97,12,9,A. Davis · L. James · T. Prince · C. Reddish · D. Russell
22,2023-12-05,,,Box Score,,Phoenix Suns,W,,106,103,13,9,A. Davis · L. James · T. Prince · C. Reddish · D. Russell
23,2023-12-07,,,Box Score,,New Orleans Pelicans,W,,133,89,14,9,A. Davis · L. James · T. Prince · C. Reddish · D. Russell
24,2023-12-12,,,Box Score,@,Dallas Mavericks,L,,125,127,14,10,A. Davis · L. James · T. Prince · C. Reddish · D. Russell
25,2023-12-13,,,Box Score,@,San Antonio Spurs,W,,122,119,15,10,A. Davis · R. Hachimura · T. Prince · C. Reddish · D. Russell
26,2023-12-15,,,Box Score,@,San Antonio Spurs,L,,115,129,15,11,M. Christie · J. Hayes · L. James · T. Prince · A. Reaves
27,2023-12-18,,,Box Score,,New York Knicks,L,,109,114,15,12,A. Davis · L. James · T. Prince · C. Reddish · D. Russell
28,2023-12-20,,,Box Score,@,Chicago Bulls,L,,108,124,15,13,A. Davis · L. James · T. Prince · C. Reddish · D. Russell
29,2023-12-21,,,Box Score,@,Minnesota Timberwolves,L,,111,118,15,14,A. Davis · R. Hachimura · T. Prince · C. Reddish · D. Russell
30,2023-12-23,,,Box Score,@,Oklahoma City Thunder,W,,129,120,16,14,A. Davis · L. James · T. Prince · C. Reddish · J. Vanderbilt
31,2023-12-25,,,Box Score,,Boston Celtics,L,,115,126,16,15,A. Davis · L. James · T. Prince · C. Reddish · J. Vanderbilt
32,2023-12-28,,,Box Score,,Charlotte Hornets,W,,133,112,17,15,A. Davis · R. Hachimura · L. James · T. Prince · J. Vanderbilt
33,2023-12-30,,,Box Score,@,Minnesota Timberwolves,L,,106,108,17,16,A. Davis · L. James · T. Prince · C. Reddish · J. Vanderbilt
34,2023-12-31,,,Box Score,@,New Orleans Pelicans,L,,109,129,17,17,A. Davis · R. Hachimura · L. James · T. Prince · J. Vanderbilt
35,2024-01-03,,,Box Score,,Miami Heat,L,,96,110,17,18,A. Davis · L. James · T. Prince · A. Reaves · C. Reddish
36,2024-01-05,,,Box Score,,Memphis Grizzlies,L,,113,127,17,19,A. Davis · L. James · T. Prince · A. Reaves · C. Reddish
37,2024-01-07,,,Box Score,,Los Angeles Clippers,W,,106,103,18,19,A. Davis · L. James · T. Prince · A. Reaves · C. Reddish
38,2024-01-09,,,Box Score,,Toronto Raptors,W,,132,131,19,19,A. Davis · L. James · T. Prince · A. Reaves · C. Reddish
39,2024-01-11,,,Box Score,,Phoenix Suns,L,,109,127,19,20,A. Davis · L. James · T. Prince · A. Reaves · C. Reddish
40,2024-01-13,,,Box Score,@,Utah Jazz,L,,125,132,19,21,A. Davis · T. Prince · A. Reaves · C. Reddish · D. Russell
41,2024-01-15,,,Box Score,,Oklahoma City Thunder,W,,112,105,20,21,A. Davis · L. James · T. Prince · A. Reaves · D. Russell
42,2024-01-17,,,Box Score,,Dallas Mavericks,W,,127,110,21,21,A. Davis · L. James · T. Prince · A. Reaves · D. Russell
43,2024-01-19,,,Box Score,,Brooklyn Nets,L,,112,130,21,22,A. Davis · L. James · T. Prince · A. Reaves · D. Russell
