G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,,New Orleans Pelicans,L,,104,111,0,1,D. Bane · J. Jackson · M. Smart · X. Tillman · Z. Williams
2,2023-10-27,,,Box Score,,Denver Nuggets,L,,104,108,0,2,D. Bane · J. Jackson · M. Smart · X. Tillman · Z. Williams
3,2023-10-28,,,Box Score,@,Washington Wizards,L,,106,113,0,3,D. Bane · J. Jackson · M. Smart · X. Tillman · Z. Williams
4,2023-10-30,,,Box Score,,Dallas Mavericks,L,,110,125,0,4,D. Bane · J. Jackson · M. Smart · X. Tillman · Z. Williams
5,2023-11-01,,,Box Score,@,Utah Jazz,L,,109,133,0,5,D. Bane · J. Jackson · M. Smart · X. Tillman · Z. Williams
6,2023-11-03,,,Box Score,@,Portland Trail Blazers,L,OT,113,115,0,6,D. Bane · J. Jackson · D. Roddy · M. Smart · Z. Williams
7,2023-11-05,,,Box Score,@,Portland Trail Blazers,W,,112,100,1,6,D. Bane · B. Biyombo · J. Jackson · M. Smart · Z. Williams
8,2023-11-08,,,Box Score,,Miami Heat,L,,102,108,1,7,D. Bane · B. Biyombo · J. Jackson · M. Smart · Z. Williams
9,2023-11-10,,,Box Score,,Utah Jazz,L,,121,127,1,8,D. Bane · B. Biyombo · J. Gilyard · J. Jackson · M. Smart
10,2023-11-12,,,Box Score,@,Los Angeles Clippers,W,,105,101,2,8,D. Bane · B. Biyombo · J. Gilyard · J. Jackson · M. Smart
11,2023-11-14,,,Box Score,@,Los Angeles Lakers,L,,107,134,2,9,D. Bane · B. Biyombo · J. Gilyard · J. Jackson · M. Smart
12,2023-11-18,,,Box Score,@,San Antonio Spurs,W,,120,108,3,9,D. Bane · B. Biyombo · J. Gilyard · J. Jackson · J. Konchar
13,2023-11-19,,,Box Score,,Boston Celtics,L,,100,102,3,10,S. Aldama · D. Bane · B. Biyombo · J. Jackson · J. Konchar
14,2023-11-22,,,Box Score,@,Houston Rockets,L,,91,111,3,11,S. Aldama · D. Bane · B. Biyombo · J. Gilyard · J. Jackson
15,2023-11-24,,,Box Score,,Phoenix Suns,L,,89,110,3,12,S. Aldama · D. Bane · B. Biyombo · J. Gilyard · J. Jackson
16,2023-11-26,,,Box Score,,Minnesota Timberwolves,L,,97,119,3,13,S. Aldama · D. Bane · B. Biyombo · J. Gilyard · J. Jackson
17,2023-11-29,,,Box Score,,Utah Jazz,W,,105,91,4,13,D. Bane · B. Biyombo · J. Jackson · D. Roddy · D. Rose
