G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,,Detroit Pistons,W,,103,102,1,0,B. Adebayo · J. Butler · T. Herro · K. Love · K. Lowry
2,2023-10-27,,,Box Score,@,Boston Celtics,L,,111,119,1,1,B. Adebayo · J. Butler · T. Herro · K. Love · K. Lowry
3,2023-10-28,,,Box Score,@,Minnesota Timberwolves,L,,90,106,1,2,B. Adebayo · T. Herro · J. Jaquez · N. Jović · K. Lowry
4,2023-10-30,,,Box Score,@,Milwaukee Bucks,L,,114,122,1,3,T. Bryant · J. Butler · T. Herro · K. Love · K. Lowry
5,2023-11-01,,,Box Score,,Brooklyn Nets,L,,105,109,1,4,B. Adebayo · J. Butler · T. Herro · J. Jaquez · K. Lowry
6,2023-11-03,,,Box Score,,Washington Wizards,W,,121,114,2,4,B. Adebayo · J. Butler · T. Herro · H. Highsmith · K. Lowry
7,2023-11-06,,,Box Score,,Los Angeles Lakers,W,,108,107,3,4,B. Adebayo · J. Butler · T. Herro · H. Highsmith · K. Lowry
8,2023-11-08,,,Box Score,@,Memphis Grizzlies,W,,108,102,4,4,B. Adebayo · J. Butler · T. Herro · H. Highsmith · K. Lowry
9,2023-11-11,,,Box Score,@,Atlanta Hawks,W,,117,109,5,4,B. Adebayo · H. Highsmith · J. Jaquez · K. Lowry · D. Robinson
10,2023-11-12,,,Box Score,@,San Antonio Spurs,W,,118,113,6,4,B. Adebayo · J. Butler · H. Highsmith · J. Richardson · D. Robinson
11,2023-11-14,,,Box Score,@,Charlotte Hornets,W,,111,105,7,4,B. Adebayo · J. Butler · H. Highsmith · K. Lowry · D. Robinson
12,2023-11-16,,,Box Score,,Brooklyn Nets,W,,122,115,8,4,B. Adebayo · J. Butler · H. Highsmith · K. Lowry · D. Robinson
13,2023-11-18,,,Box Score,@,Chicago Bulls,L,,97,102,8,5,B. Adebayo · J. Butler · H. Highsmith · K. Lowry · D. Robinson
14,2023-11-20,,,Box Score,@,Chicago Bulls,W,,118,100,9,5,B. Adebayo · J. Butler · H. Highsmith · K. Lowry · D. Robinson
15,2023-11-22,,,Box Score,@,Cleveland Cavaliers,W,,129,96,10,5,T. Bryant · J. Butler · H. Highsmith · K. Lowry · D. Robinson
16,2023-11-24,,,Box Score,@,New York Knicks,L,,98,100,10,6,B. Adebayo · J. Butler · H. Highsmith · K. Lowry · J. Richardson
17,2023-11-25,,,Box Score,@,Brooklyn Nets,L,,97,112,10,7,T. Bryant · H. Highsmith · J. Jaquez · K. Lowry · J. Richardson
18,2023-11-28,,,Box Score,,Milwaukee Bucks,L,,124,131,10,8,B. Adebayo · K. Love · K. Lowry · J. Richardson · D. Robinson
