G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-26,,,Box Score,,Philadelphia 76ers,W,,118,117,1,0,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
2,2023-10-29,,,Box Score,,Atlanta Hawks,L,,110,127,1,1,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
3,2023-10-30,,,Box Score,,Miami Heat,W,,122,114,2,1,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
4,2023-11-01,,,Box Score,@,Toronto Raptors,L,,111,130,2,2,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
5,2023-11-03,,,Box Score,,New York Knicks,W,,110,105,3,2,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
6,2023-11-06,,,Box Score,@,Brooklyn Nets,W,,129,125,4,2,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
7,2023-11-08,,,Box Score,,Detroit Pistons,W,,120,118,5,2,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
8,2023-11-09,,,Box Score,@,Indiana Pacers,L,,124,126,5,3,G. Antetokounmpo · M. Beasley · B. Lopez · K. Middleton · C. Payne
9,2023-11-11,,,Box Score,@,Orlando Magic,L,,97,112,5,4,G. Antetokounmpo · M. Beasley · B. Lopez · K. Middleton · C. Payne
10,2023-11-13,,,Box Score,,Chicago Bulls,W,,118,109,6,4,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
11,2023-11-15,,,Box Score,@,Toronto Raptors,W,,128,112,7,4,M. Beasley · A. Jackson · D. Lillard · B. Lopez · K. Middleton
12,2023-11-17,,,Box Score,@,Charlotte Hornets,W,,130,99,8,4,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
13,2023-11-18,,,Box Score,,Dallas Mavericks,W,,132,125,9,4,G. Antetokounmpo · M. Beasley · A. Jackson · D. Lillard · B. Lopez
14,2023-11-20,,,Box Score,@,Washington Wizards,W,,142,129,10,4,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
