G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,@,Toronto Raptors,L,,94,97,0,1,N. Alexander-Walker · M. Conley · A. Edwards · R. Gobert · K. Towns
2,2023-10-28,,,Box Score,,Miami Heat,W,,106,90,1,1,N. Alexander-Walker · M. Conley · A. Edwards · R. Gobert · K. Towns
3,2023-10-30,,,Box Score,@,Atlanta Hawks,L,,113,127,1,2,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
4,2023-11-01,,,Box Score,,Denver Nuggets,W,,110,89,2,2,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
5,2023-11-04,,,Box Score,,Utah Jazz,W,,123,95,3,2,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
6,2023-11-06,,,Box Score,,Boston Celtics,W,OT,114,109,4,2,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
7,2023-11-08,,,Box Score,,New Orleans Pelicans,W,,122,101,5,2,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
8,2023-11-10,,,Box Score,@,San Antonio Spurs,W,,117,110,6,2,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
9,2023-11-12,,,Box Score,@,Golden State Warriors,W,,116,110,7,2,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
10,2023-11-14,,,Box Score,@,Golden State Warriors,W,,104,101,8,2,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
11,2023-11-15,,,Box Score,@,Phoenix Suns,L,,115,133,8,3,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
12,2023-11-18,,,Box Score,@,New Orleans Pelicans,W,,121,120,9,3,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
13,2023-11-20,,,Box Score,,New York Knicks,W,,117,100,10,3,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
14,2023-11-22,,,Box Score,,Philadelphia 76ers,W,,112,99,11,3,N. Alexander-Walker · M. Conley · A. Edwards · R. Gobert · K. Towns
15,2023-11-24,,,Box Score,,Sacramento Kings,L,,111,124,11,4,N. Alexander-Walker · M. Conley · A. Edwards · R. Gobert · K. Towns
16,2023-11-26,,,Box Score,@,Memphis Grizzlies,W,,119,97,12,4,N. Alexander-Walker · M. Conley · A. Edwards · R. Gobert · K. Towns
17,2023-11-28,,,Box Score,,Oklahoma City Thunder,W,,106,103,13,4,N. Alexander-Walker · M. Conley · A. Edwards · R. Gobert · K. Towns
18,2023-11-30,,,Box Score,,Utah Jazz,W,,101,90,14,4,N. Alexander-Walker · T. Brown · M. Conley · R. Gobert · K. Towns
19,2023-12-02,,,Box Score,@,Charlotte Hornets,W,,123,117,15,4,N. Alexander-Walker · T. Brown · M. Conley · R. Gobert · K. Towns
20,2023-12-06,,,Box Score,,San Antonio Spurs,W,,102,94,16,4,N. Alexander-Walker · M. Conley · A. Edwards · R. Gobert · K. Towns
21,2023-12-08,,,Box Score,@,Memphis Grizzlies,W,,127,103,17,4,N. Alexander-Walker · M. Conley · A. Edwards · R. Gobert · K. Towns
22,2023-12-11,,,Box Score,@,New Orleans Pelicans,L,,107,121,17,5,N. Alexander-Walker · T. Brown · M. Conley · R. Gobert · K. Towns
23,2023-12-14,,,Box Score,@,Dallas Mavericks,W,,119,101,18,5,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
24,2023-12-16,,,Box Score,,Indiana Pacers,W,,127,109,19,5,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
25,2023-12-18,,,Box Score,@,Miami Heat,W,,112,108,20,5,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
26,2023-12-20,,,Box Score,@,Philadelphia 76ers,L,,113,127,20,6,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
27,2023-12-21,,,Box Score,,Los Angeles Lakers,W,,118,111,21,6,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
28,2023-12-23,,,Box Score,@,Sacramento Kings,W,,110,98,22,6,K. Anderson · M. Conley · A. Edwards · R. Gobert · J. McDaniels
29,2023-12-26,,,Box Score,@,Oklahoma City Thunder,L,,106,129,22,7,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
30,2023-12-28,,,Box Score,,Dallas Mavericks,W,,118,110,23,7,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
31,2023-12-30,,,Box Score,,Los Angeles Lakers,W,,108,106,24,7,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
32,2024-01-01,,,Box Score,@,New York Knicks,L,,106,112,24,8,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
33,2024-01-03,,,Box Score,,New Orleans Pelicans,L,,106,117,24,9,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
34,2024-01-05,,,Box Score,@,Houston Rockets,W,,122,95,25,9,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
35,2024-01-07,,,Box Score,@,Dallas Mavericks,L,,108,115,25,10,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
36,2024-01-09,,,Box Score,@,Orlando Magic,W,,113,92,26,10,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
37,2024-01-10,,,Box Score,@,Boston Celtics,L,OT,120,127,26,11,N. Alexander-Walker · K. Anderson · A. Edwards · J. McDaniels · K. Towns
38,2024-01-12,,,Box Score,,Portland Trail Blazers,W,,116,93,27,11,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
39,2024-01-14,,,Box Score,,Los Angeles Clippers,W,,109,105,28,11,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
40,2024-01-17,,,Box Score,@,Detroit Pistons,W,,124,117,29,11,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
41,2024-01-18,,,Box Score,,Memphis Grizzlies,W,,118,103,30,11,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
42,2024-01-20,,,Box Score,,Oklahoma City Thunder,L,,97,102,30,12,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
43,2024-01-22,,,Box Score,,Charlotte Hornets,L,,125,128,30,13,N. Alexander-Walker · A. Edwards · R. Gobert · J. McDaniels · K. Towns
44,2024-01-24,,,Box Score,@,Washington Wizards,W,,118,107,31,13,N. Alexander-Walker · A. Edwards · R. Gobert · J. McDaniels · K. Towns
45,2024-01-25,,,Box Score,@,Brooklyn Nets,W,,96,94,32,13,M. Conley · A. Edwards · R. Gobert · J. McDaniels · K. Towns
46,2024-01-27,,,Box Score,@,San Antonio Spurs,L,,112,113,32,14,N. Alexander-Walker · A. Edwards · R. Gobert · J. McDaniels · K. Towns
47,2024-01-29,,,Box Score,@,Oklahoma City Thunder,W,,107,101,33,14,N. Alexander-Walker · A. Edwards · R. Gobert · J. McDaniels · K. Towns
