G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,@,Memphis Grizzlies,W,,111,104,1,0,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
2,2023-10-28,,,Box Score,,New York Knicks,W,,96,87,2,0,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
3,2023-10-30,,,Box Score,,Golden State Warriors,L,,102,130,2,1,J. Hawkins · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
4,2023-11-01,,,Box Score,@,Oklahoma City Thunder,W,,110,106,3,1,J. Hawkins · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
5,2023-11-02,,,Box Score,,Detroit Pistons,W,,125,116,4,1,J. Hawkins · H. Jones · C. McCollum · M. Ryan · J. Valančiūnas
6,2023-11-04,,,Box Score,,Atlanta Hawks,L,,105,123,4,2,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
7,2023-11-06,,,Box Score,@,Denver Nuggets,L,,116,134,4,3,J. Hawkins · B. Ingram · H. Jones · J. Valančiūnas · Z. Williamson
8,2023-11-08,,,Box Score,@,Minnesota Timberwolves,L,,101,122,4,4,D. Daniels · J. Hawkins · B. Ingram · J. Robinson-Earl · J. Valančiūnas
9,2023-11-10,,,Box Score,@,Houston Rockets,L,,101,104,4,5,D. Daniels · J. Hawkins · B. Ingram · J. Valančiūnas · Z. Williamson
10,2023-11-12,,,Box Score,,Dallas Mavericks,L,,124,136,4,6,D. Daniels · J. Hawkins · B. Ingram · J. Valančiūnas · Z. Williamson
11,2023-11-14,,,Box Score,,Dallas Mavericks,W,,131,110,5,6,D. Daniels · B. Ingram · H. Jones · J. Valančiūnas · Z. Williamson
12,2023-11-17,,,Box Score,,Denver Nuggets,W,,115,110,6,6,D. Daniels · B. Ingram · H. Jones · J. Valančiūnas · Z. Williamson
13,2023-11-18,,,Box Score,,Minnesota Timberwolves,L,,120,121,6,7,D. Daniels · J. Hawkins · B. Ingram · H. Jones · J. Valančiūnas
14,2023-11-20,,,Box Score,,Sacramento Kings,W,,129,93,7,7,D. Daniels · B. Ingram · H. Jones · J. Valančiūnas · Z. Williamson
15,2023-11-22,,,Box Score,,Sacramento Kings,W,,117,112,8,7,D. Daniels · B. Ingram · H. Jones · J. Valančiūnas · Z. Williamson
16,2023-11-24,,,Box Score,@,Los Angeles Clippers,W,,116,106,9,7,D. Daniels · B. Ingram · H. Jones · J. Valančiūnas · Z. Williamson
17,2023-11-25,,,Box Score,@,Utah Jazz,L,,100,105,9,8,D. Daniels · J. Hawkins · B. Ingram · H. Jones · J. Valančiūnas
18,2023-11-27,,,Box Score,@,Utah Jazz,L,,112,114,9,9,D. Daniels · B. Ingram · H. Jones · J. Valančiūnas · Z. Williamson
19,2023-11-29,,,Box Score,,Philadelphia 76ers,W,,124,114,10,9,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
20,2023-12-01,,,Box Score,,San Antonio Spurs,W,,121,106,11,9,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
21,2023-12-02,,,Box Score,@,Chicago Bulls,L,,118,124,11,10,D. Daniels · B. Ingram · H. Jones · J. Valančiūnas · Z. Williamson
22,2023-12-04,,,Box Score,@,Sacramento Kings,W,,127,117,12,10,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
23,2023-12-07,,,Box Score,@,Los Angeles Lakers,L,,89,133,12,11,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
24,2023-12-11,,,Box Score,,Minnesota Timberwolves,W,,121,107,13,11,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
25,2023-12-13,,,Box Score,@,Washington Wizards,W,,142,122,14,11,D. Daniels · B. Ingram · H. Jones · C. McCollum · J. Valančiūnas
26,2023-12-15,,,Box Score,@,Charlotte Hornets,W,,112,107,15,11,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
27,2023-12-17,,,Box Score,@,San Antonio Spurs,W,,146,110,16,11,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
28,2023-12-19,,,Box Score,,Memphis Grizzlies,L,,113,115,16,12,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
29,2023-12-21,,,Box Score,@,Cleveland Cavaliers,W,,123,104,17,12,B. Ingram · H. Jones · C. McCollum · T. Murphy · J. Valančiūnas
30,2023-12-23,,,Box Score,,Houston Rockets,L,,104,106,17,13,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
31,2023-12-26,,,Box Score,,Memphis Grizzlies,L,OT,115,116,17,14,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
32,2023-12-28,,,Box Score,,Utah Jazz,W,,112,105,18,14,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
33,2023-12-31,,,Box Score,,Los Angeles Lakers,W,,129,109,19,14,B. Ingram · H. Jones · C. McCollum · J. Valančiūnas · Z. Williamson
