G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,,Boston Celtics,L,,104,108,0,1,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
2,2023-10-27,,,Box Score,@,Atlanta Hawks,W,,126,120,1,1,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
3,2023-10-28,,,Box Score,@,New Orleans Pelicans,L,,87,96,1,2,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
4,2023-10-31,,,Box Score,@,Cleveland Cavaliers,W,,109,91,2,2,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
5,2023-11-01,,,Box Score,,Cleveland Cavaliers,L,,89,95,2,3,J. Brunson · Q. Grimes · J. Hart · J. Randle · M. Robinson
6,2023-11-03,,,Box Score,@,Milwaukee Bucks,L,,105,110,2,4,J. Brunson · Q. Grimes · J. Hart · J. Randle · M. Robinson
7,2023-11-06,,,Box Score,,Los Angeles Clippers,W,,111,97,3,4,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
8,2023-11-08,,,Box Score,,San Antonio Spurs,W,,126,105,4,4,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
9,2023-11-12,,,Box Score,,Charlotte Hornets,W,,129,107,5,4,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
10,2023-11-13,,,Box Score,@,Boston Celtics,L,,98,114,5,5,J. Brunson · Q. Grimes · J. Hart · J. Randle · M. Robinson
11,2023-11-15,,,Box Score,@,Atlanta Hawks,W,,116,114,6,5,J. Brunson · Q. Grimes · J. Hart · J. Randle · M. Robinson
12,2023-11-17,,,Box Score,@,Washington Wizards,W,,120,99,7,5,J. Brunson · D. DiVincenzo · J. Hart · J. Randle · M. Robinson
13,2023-11-18,,,Box Score,@,Charlotte Hornets,W,,122,108,8,5,R. Barrett · J. Brunson · D. DiVincenzo · J. Randle · M. Robinson
14,2023-11-20,,,Box Score,@,Minnesota Timberwolves,L,,100,117,8,6,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
15,2023-11-24,,,Box Score,,Miami Heat,W,,100,98,9,6,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
16,2023-11-26,,,Box Score,,Phoenix Suns,L,,113,116,9,7,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
17,2023-11-28,,,Box Score,,Charlotte Hornets,W,,115,91,10,7,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
18,2023-11-30,,,Box Score,,Detroit Pistons,W,,118,112,11,7,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
19,2023-12-01,,,Box Score,@,Toronto Raptors,W,,119,106,12,7,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
20,2023-12-05,,,Box Score,@,Milwaukee Bucks,L,,122,146,12,8,R. Barrett · J. Brunson · Q. Grimes · J. Randle · M. Robinson
21,2023-12-08,,,Box Score,@,Boston Celtics,L,,123,133,12,9,R. Barrett · J. Brunson · D. DiVincenzo · J. Randle · M. Robinson
22,2023-12-11,,,Box Score,,Toronto Raptors,W,,136,130,13,9,R. Barrett · J. Brunson · D. DiVincenzo · J. Randle · J. Sims
23,2023-12-13,,,Box Score,@,Utah Jazz,L,,113,117,13,10,R. Barrett · J. Brunson · D. DiVincenzo · J. Randle · J. Sims
24,2023-12-15,,,Box Score,@,Phoenix Suns,W,,139,122,14,10,R. Barrett · J. Brunson · D. DiVincenzo · J. Randle · J. Sims
25,2023-12-16,,,Box Score,@,Los Angeles Clippers,L,,122,144,14,11,R. Barrett · J. Brunson · D. DiVincenzo · J. Randle · J. Sims
26,2023-12-18,,,Box Score,@,Los Angeles Lakers,W,,114,109,15,11,R. Barrett · J. Brunson · D. DiVincenzo · J. Randle · J. Sims
27,2023-12-20,,,Box Score,@,Brooklyn Nets,W,,121,102,16,11,R. Barrett · J. Brunson · D. DiVincenzo · I. Hartenstein · J. Randle
28,2023-12-23,,,Box Score,,Milwaukee Bucks,L,,111,130,16,12,R. Barrett · J. Brunson · D. DiVincenzo · I. Hartenstein · J. Randle
29,2023-12-25,,,Box Score,,Milwaukee Bucks,W,,129,122,17,12,R. Barrett · J. Brunson · D. DiVincenzo · I. Hartenstein · J. Randle
30,2023-12-27,,,Box Score,@,Oklahoma City Thunder,L,,120,129,17,13,R. Barrett · J. Brunson · D. DiVincenzo · I. Hartenstein · J. Randle
31,2023-12-29,,,Box Score,@,Orlando Magic,L,,108,117,17,14,R. Barrett · J. Brunson · D. DiVincenzo · I. Hartenstein · J. Randle
32,2023-12-30,,,Box Score,@,Indiana Pacers,L,,126,140,17,15,J. Brunson · D. DiVincenzo · J. Hart · I. Hartenstein · J. Randle
33,2024-01-01,,,Box Score,,Minnesota Timberwolves,W,,112,106,18,15,O. Anunoby · J. Brunson · D. DiVincenzo · I. Hartenstein · J. Randle
34,2024-01-03,,,Box Score,,Chicago Bulls,W,,116,100,19,15,O. Anunoby · J. Brunson · D. DiVincenzo · I. Hartenstein · J. Randle
