G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,@,Chicago Bulls,W,,124,104,1,0,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
2,2023-10-27,,,Box Score,@,Cleveland Cavaliers,W,,108,105,2,0,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
3,2023-10-29,,,Box Score,,Denver Nuggets,L,,95,128,2,1,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
4,2023-10-30,,,Box Score,,Detroit Pistons,W,,124,112,3,1,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
5,2023-11-01,,,Box Score,,New Orleans Pelicans,L,,106,110,3,2,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
6,2023-11-03,,,Box Score,,Golden State Warriors,L,,139,141,3,3,L. Dort · J. Giddey · C. Holmgren · C. Wallace · J. Williams
7,2023-11-06,,,Box Score,,Atlanta Hawks,W,,126,117,4,3,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
8,2023-11-08,,,Box Score,,Cleveland Cavaliers,W,,128,120,5,3,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
9,2023-11-10,,,Box Score,@,Sacramento Kings,L,,98,105,5,4,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
10,2023-11-12,,,Box Score,@,Phoenix Suns,W,,111,99,6,4,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
11,2023-11-14,,,Box Score,,San Antonio Spurs,W,,123,87,7,4,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
12,2023-11-16,,,Box Score,@,Golden State Warriors,W,,128,109,8,4,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
13,2023-11-18,,,Box Score,@,Golden State Warriors,W,OT,130,123,9,4,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
14,2023-11-19,,,Box Score,@,Portland Trail Blazers,W,,134,91,10,4,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · C. Wallace
15,2023-11-22,,,Box Score,,Chicago Bulls,W,,116,102,11,4,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · C. Wallace
16,2023-11-25,,,Box Score,,Philadelphia 76ers,L,,123,127,11,5,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · C. Wallace
17,2023-11-28,,,Box Score,@,Minnesota Timberwolves,L,,103,106,11,6,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
18,2023-11-30,,,Box Score,,Los Angeles Lakers,W,,133,110,12,6,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
19,2023-12-02,,,Box Score,@,Dallas Mavericks,W,,126,120,13,6,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
20,2023-12-06,,,Box Score,@,Houston Rockets,L,,101,110,13,7,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
