G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,,Houston Rockets,W,,116,86,1,0,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
2,2023-10-27,,,Box Score,@,Portland Trail Blazers,W,,102,97,2,0,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
3,2023-10-30,,,Box Score,@,Los Angeles Lakers,L,,103,106,2,1,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
4,2023-10-31,,,Box Score,@,Los Angeles Clippers,L,,102,118,2,2,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
5,2023-11-02,,,Box Score,@,Utah Jazz,W,,115,113,3,2,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
6,2023-11-04,,,Box Score,,Los Angeles Lakers,W,,120,101,4,2,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
7,2023-11-06,,,Box Score,,Dallas Mavericks,L,,102,117,4,3,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
8,2023-11-09,,,Box Score,,Atlanta Hawks,L,,119,120,4,4,P. Banchero · G. Bitadze · M. Fultz · J. Suggs · F. Wagner
9,2023-11-11,,,Box Score,,Milwaukee Bucks,W,,112,97,5,4,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
10,2023-11-14,,,Box Score,@,Brooklyn Nets,L,,104,124,5,5,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
11,2023-11-15,,,Box Score,@,Chicago Bulls,W,,96,94,6,5,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
12,2023-11-17,,,Box Score,@,Chicago Bulls,W,,103,97,7,5,P. Banchero · G. Bitadze · A. Black · G. Harris · F. Wagner
13,2023-11-19,,,Box Score,@,Indiana Pacers,W,,128,116,8,5,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
14,2023-11-21,,,Box Score,,Toronto Raptors,W,,126,107,9,5,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
15,2023-11-22,,,Box Score,,Denver Nuggets,W,,124,119,10,5,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
16,2023-11-24,,,Box Score,,Boston Celtics,W,,113,96,11,5,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
17,2023-11-26,,,Box Score,,Charlotte Hornets,W,,130,117,12,5,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
18,2023-11-29,,,Box Score,,Washington Wizards,W,,139,120,13,5,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
19,2023-12-01,,,Box Score,,Washington Wizards,W,,130,125,14,5,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
20,2023-12-02,,,Box Score,@,Brooklyn Nets,L,,101,129,14,6,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
21,2023-12-06,,,Box Score,@,Cleveland Cavaliers,L,,111,121,14,7,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
22,2023-12-08,,,Box Score,,Detroit Pistons,W,,123,91,15,7,P. Banchero · G. Bitadze · A. Black · G. Harris · F. Wagner
23,2023-12-11,,,Box Score,,Cleveland Cavaliers,W,,104,94,16,7,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
24,2023-12-15,,,Box Score,@,Boston Celtics,L,,111,128,16,8,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
25,2023-12-17,,,Box Score,@,Boston Celtics,L,,97,114,16,9,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
26,2023-12-20,,,Box Score,,Miami Heat,L,,106,115,16,10,P. Banchero · A. Black · W. Carter · J. Suggs · F. Wagner
27,2023-12-21,,,Box Score,@,Milwaukee Bucks,L,,114,118,16,11,P. Banchero · A. Black · W. Carter · G. Harris · F. Wagner
28,2023-12-23,,,Box Score,@,Indiana Pacers,W,,117,110,17,11,P. Banchero · A. Black · W. Carter · G. Harris · F. Wagner
29,2023-12-26,,,Box Score,@,Washington Wizards,W,,127,119,18,11,P. Banchero · A. Black · W. Carter · J. Suggs · F. Wagner
30,2023-12-27,,,Box Score,,Philadelphia 76ers,L,,92,112,18,12,P. Banchero · A. Black · W. Carter · J. Suggs · F. Wagner
31,2023-12-29,,,Box Score,,New York Knicks,W,,117,108,19,12,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
32,2023-12-31,,,Box Score,@,Phoenix Suns,L,,107,112,19,13,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
33,2024-01-02,,,Box Score,@,Golden State Warriors,L,,115,121,19,14,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
34,2024-01-03,,,Box Score,@,Sacramento Kings,L,2OT,135,138,19,15,P. Banchero · G. Bitadze · G. Harris · J. Suggs · F. Wagner
35,2024-01-05,,,Box Score,@,Denver Nuggets,W,,122,120,20,15,P. Banchero · A. Black · C. Okeke · J. Suggs · M. Wagner
36,2024-01-07,,,Box Score,,Atlanta Hawks,W,OT,117,110,21,15,P. Banchero · G. Bitadze · C. Houstan · C. Okeke · J. Suggs
37,2024-01-09,,,Box Score,,Minnesota Timberwolves,L,,92,113,21,16,P. Banchero · G. Bitadze · C. Houstan · C. Okeke · J. Suggs
38,2024-01-12,,,Box Score,@,Miami Heat,L,,96,99,21,17,P. Banchero · G. Bitadze · C. Houstan · C. Okeke · J. Suggs
39,2024-01-13,,,Box Score,@,Oklahoma City Thunder,L,,100,112,21,18,P. Banchero · G. Bitadze · C. Houstan · C. Okeke · J. Suggs
40,2024-01-15,,,Box Score,@,New York Knicks,W,,98,94,22,18,P. Banchero · G. Bitadze · C. Houstan · C. Okeke · J. Suggs
41,2024-01-17,,,Box Score,@,Atlanta Hawks,L,,104,106,22,19,P. Banchero · G. Bitadze · C. Houstan · C. Okeke · J. Suggs
42,2024-01-19,,,Box Score,,Philadelphia 76ers,L,,109,124,22,20,P. Banchero · G. Bitadze · C. Houstan · C. Okeke · J. Suggs
43,2024-01-21,,,Box Score,,Miami Heat,W,,105,87,23,20,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
