G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-26,,,Box Score,@,Milwaukee Bucks,L,,117,118,0,1,J. Embiid · T. Harris · T. Maxey · D. Melton · P. Tucker
2,2023-10-28,,,Box Score,@,Toronto Raptors,W,,114,107,1,1,J. Embiid · T. Harris · T. Maxey · D. Melton · P. Tucker
3,2023-10-29,,,Box Score,,Portland Trail Blazers,W,,126,98,2,1,J. Embiid · T. Harris · T. Maxey · D. Melton · P. Tucker
4,2023-11-02,,,Box Score,,Toronto Raptors,W,,114,99,3,1,J. Embiid · T. Harris · T. Maxey · D. Melton · K. Oubre
5,2023-11-04,,,Box Score,,Phoenix Suns,W,,112,100,4,1,J. Embiid · T. Harris · T. Maxey · D. Melton · K. Oubre
6,2023-11-06,,,Box Score,,Washington Wizards,W,,146,128,5,1,J. Embiid · T. Harris · T. Maxey · D. Melton · K. Oubre
7,2023-11-08,,,Box Score,,Boston Celtics,W,,106,103,6,1,J. Embiid · T. Harris · T. Maxey · D. Melton · K. Oubre
8,2023-11-10,,,Box Score,@,Detroit Pistons,W,,114,106,7,1,J. Embiid · T. Harris · T. Maxey · D. Melton · K. Oubre
9,2023-11-12,,,Box Score,,Indiana Pacers,W,,137,126,8,1,N. Batum · J. Embiid · T. Harris · T. Maxey · D. Melton
10,2023-11-14,,,Box Score,,Indiana Pacers,L,,126,132,8,2,R. Covington · J. Embiid · T. Harris · T. Maxey · D. Melton
11,2023-11-15,,,Box Score,,Boston Celtics,L,,107,117,8,3,R. Covington · J. Embiid · T. Harris · T. Maxey · D. Melton
12,2023-11-17,,,Box Score,@,Atlanta Hawks,W,,126,116,9,3,R. Covington · J. Embiid · T. Harris · T. Maxey · D. Melton
13,2023-11-19,,,Box Score,@,Brooklyn Nets,W,,121,99,10,3,N. Batum · J. Embiid · T. Harris · T. Maxey · D. Melton
14,2023-11-21,,,Box Score,,Cleveland Cavaliers,L,OT,119,122,10,4,N. Batum · J. Embiid · T. Harris · T. Maxey · D. Melton
15,2023-11-22,,,Box Score,@,Minnesota Timberwolves,L,,99,112,10,5,N. Batum · T. Harris · T. Maxey · D. Melton · M. Morris
16,2023-11-25,,,Box Score,@,Oklahoma City Thunder,W,,127,123,11,5,N. Batum · J. Embiid · T. Harris · T. Maxey · D. Melton
17,2023-11-27,,,Box Score,,Los Angeles Lakers,W,,138,94,12,5,N. Batum · J. Embiid · T. Harris · T. Maxey · D. Melton
18,2023-11-29,,,Box Score,@,New Orleans Pelicans,L,,114,124,12,6,N. Batum · T. Harris · T. Maxey · D. Melton · M. Morris
19,2023-12-01,,,Box Score,@,Boston Celtics,L,,119,125,12,7,P. Beverley · T. Harris · D. Melton · M. Morris · P. Reed
20,2023-12-06,,,Box Score,@,Washington Wizards,W,,131,126,13,7,N. Batum · J. Embiid · T. Harris · T. Maxey · D. Melton
21,2023-12-08,,,Box Score,,Atlanta Hawks,W,,125,114,14,7,N. Batum · J. Embiid · T. Harris · T. Maxey · D. Melton
22,2023-12-11,,,Box Score,,Washington Wizards,W,,146,101,15,7,N. Batum · J. Embiid · T. Harris · T. Maxey · D. Melton
23,2023-12-13,,,Box Score,@,Detroit Pistons,W,,129,111,16,7,N. Batum · J. Embiid · T. Harris · T. Maxey · D. Melton
24,2023-12-15,,,Box Score,,Detroit Pistons,W,,124,92,17,7,N. Batum · J. Embiid · T. Harris · T. Maxey · D. Melton
25,2023-12-16,,,Box Score,@,Charlotte Hornets,W,,135,82,18,7,N. Batum · J. Embiid · T. Harris · T. Maxey · D. Melton
26,2023-12-18,,,Box Score,,Chicago Bulls,L,,104,108,18,8,N. Batum · J. Embiid · T. Harris · T. Maxey · D. Melton
27,2023-12-20,,,Box Score,,Minnesota Timberwolves,W,,127,113,19,8,J. Embiid · T. Harris · T. Maxey · D. Melton · K. Oubre
28,2023-12-22,,,Box Score,,Toronto Raptors,W,,121,111,20,8,J. Embiid · T. Harris · T. Maxey · M. Morris · K. Oubre
