G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-24,,,Box Score,@,Golden State Warriors,W,,108,104,1,0,G. Allen · D. Booker · K. Durant · J. Nurkić · J. Okogie
2,2023-10-26,,,Box Score,@,Los Angeles Lakers,L,,95,100,1,1,G. Allen · K. Durant · E. Gordon · J. Nurkić · J. Okogie
3,2023-10-28,,,Box Score,,Utah Jazz,W,,126,104,2,1,G. Allen · K. Durant · E. Gordon · J. Nurkić · J. Okogie
4,2023-10-31,,,Box Score,,San Antonio Spurs,L,,114,115,2,2,G. Allen · K. Durant · E. Gordon · J. Nurkić · J. Okogie
5,2023-11-02,,,Box Score,,San Antonio Spurs,L,,121,132,2,3,G. Allen · D. Booker · K. Durant · J. Nurkić · J. Okogie
6,2023-11-04,,,Box Score,@,Philadelphia 76ers,L,,100,112,2,4,G. Allen · K. Bates-Diop · K. Durant · E. Gordon · J. Nurkić
7,2023-11-05,,,Box Score,@,Detroit Pistons,W,,120,106,3,4,G. Allen · K. Bates-Diop · K. Durant · E. Gordon · J. Nurkić
8,2023-11-08,,,Box Score,@,Chicago Bulls,W,OT,116,115,4,4,G. Allen · K. Bates-Diop · B. Beal · K. Durant · J. Nurkić
9,2023-11-10,,,Box Score,,Los Angeles Lakers,L,,119,122,4,5,G. Allen · K. Bates-Diop · B. Beal · K. Durant · J. Nurkić
10,2023-11-12,,,Box Score,,Oklahoma City Thunder,L,,99,111,4,6,G. Allen · B. Beal · K. Durant · J. Nurkić · J. Okogie
11,2023-11-15,,,Box Score,,Minnesota Timberwolves,W,,133,115,5,6,G. Allen · D. Booker · K. Durant · E. Gordon · J. Nurkić
12,2023-11-17,,,Box Score,@,Utah Jazz,W,,131,128,6,6,G. Allen · D. Booker · K. Durant · E. Gordon · J. Nurkić
13,2023-11-19,,,Box Score,@,Utah Jazz,W,2OT,140,137,7,6,G. Allen · D. Booker · K. Durant · E. Gordon · J. Nurkić
14,2023-11-21,,,Box Score,,Portland Trail Blazers,W,,120,107,8,6,G. Allen · D. Booker · K. Durant · E. Gordon · J. Nurkić
15,2023-11-22,,,Box Score,,Golden State Warriors,W,,123,115,9,6,G. Allen · D. Booker · K. Durant · E. Gordon · J. Nurkić
16,2023-11-24,,,Box Score,@,Memphis Grizzlies,W,,110,89,10,6,G. Allen · K. Bates-Diop · D. Booker · E. Gordon · J. Nurkić
17,2023-11-26,,,Box Score,@,New York Knicks,W,,116,113,11,6,K. Bates-Diop · D. Booker · E. Gordon · J. Nurkić · J. Okogie
18,2023-11-29,,,Box Score,@,Toronto Raptors,L,,105,112,11,7,D. Booker · K. Durant · E. Gordon · J. Nurkić · J. Okogie
19,2023-12-01,,,Box Score,,Denver Nuggets,L,,111,119,11,8,G. Allen · K. Bates-Diop · K. Durant · E. Gordon · J. Nurkić
20,2023-12-02,,,Box Score,,Memphis Grizzlies,W,,116,109,12,8,G. Allen · D. Booker · K. Durant · J. Nurkić · J. Okogie
21,2023-12-05,,,Box Score,@,Los Angeles Lakers,L,,103,106,12,9,G. Allen · D. Booker · K. Durant · E. Gordon · J. Nurkić
22,2023-12-08,,,Box Score,,Sacramento Kings,L,,106,114,12,10,K. Bates-Diop · D. Booker · E. Gordon · J. Nurkić · J. Okogie
23,2023-12-12,,,Box Score,,Golden State Warriors,W,,119,116,13,10,B. Beal · D. Booker · C. Metu · J. Nurkić · J. Okogie
24,2023-12-13,,,Box Score,,Brooklyn Nets,L,,112,116,13,11,B. Beal · D. Booker · K. Durant · C. Metu · J. Nurkić
