G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,@,Los Angeles Clippers,L,,111,123,0,1,D. Ayton · J. Grant · S. Henderson · A. Simons · M. Thybulle
2,2023-10-27,,,Box Score,,Orlando Magic,L,,97,102,0,2,D. Ayton · J. Grant · S. Henderson · S. Sharpe · M. Thybulle
3,2023-10-29,,,Box Score,@,Philadelphia 76ers,L,,98,126,0,3,D. Ayton · J. Grant · S. Henderson · S. Sharpe · M. Thybulle
4,2023-10-30,,,Box Score,@,Toronto Raptors,W,,99,91,1,3,D. Ayton · J. Grant · S. Henderson · S. Sharpe · M. Thybulle
5,2023-11-01,,,Box Score,@,Detroit Pistons,W,,110,101,2,3,D. Ayton · J. Grant · S. Henderson · S. Sharpe · M. Thybulle
6,2023-11-03,,,Box Score,,Memphis Grizzlies,W,OT,115,113,3,3,D. Ayton · M. Brogdon · J. Grant · S. Sharpe · M. Thybulle
7,2023-11-05,,,Box Score,,Memphis Grizzlies,L,,100,112,3,4,D. Ayton · M. Brogdon · J. Grant · S. Sharpe · M. Thybulle
8,2023-11-08,,,Box Score,@,Sacramento Kings,L,OT,118,121,3,5,D. Ayton · M. Brogdon · J. Grant · S. Sharpe · M. Thybulle
9,2023-11-12,,,Box Score,@,Los Angeles Lakers,L,,110,116,3,6,D. Ayton · J. Grant · S. Mays · S. Sharpe · M. Thybulle
10,2023-11-14,,,Box Score,@,Utah Jazz,L,,99,115,3,7,D. Ayton · T. Camara · J. Grant · S. Mays · S. Sharpe
11,2023-11-15,,,Box Score,,Cleveland Cavaliers,L,,95,109,3,8,D. Ayton · T. Camara · J. Grant · S. Mays · S. Sharpe
12,2023-11-17,,,Box Score,,Los Angeles Lakers,L,,95,107,3,9,D. Ayton · T. Camara · J. Grant · S. Mays · S. Sharpe
13,2023-11-19,,,Box Score,,Oklahoma City Thunder,L,,91,134,3,10,D. Ayton · T. Camara · J. Grant · S. Mays · S. Sharpe
14,2023-11-21,,,Box Score,@,Phoenix Suns,L,,107,120,3,11,D. Ayton · M. Brogdon · T. Camara · J. Grant · S. Sharpe
15,2023-11-22,,,Box Score,,Utah Jazz,W,,121,105,4,11,M. Brogdon · T. Camara · J. Grant · D. Reath · S. Sharpe
16,2023-11-26,,,Box Score,@,Milwaukee Bucks,L,,102,108,4,12,D. Ayton · M. Brogdon · T. Camara · J. Grant · S. Sharpe
17,2023-11-27,,,Box Score,@,Indiana Pacers,W,,114,110,5,12,D. Ayton · M. Brogdon · T. Camara · J. Grant · S. Sharpe
18,2023-11-30,,,Box Score,@,Cleveland Cavaliers,W,,103,95,6,12,D. Ayton · M. Brogdon · T. Camara · J. Grant · S. Sharpe
19,2023-12-02,,,Box Score,@,Utah Jazz,L,OT,113,118,6,13,D. Ayton · M. Brogdon · T. Camara · J. Grant · S. Sharpe
20,2023-12-06,,,Box Score,@,Golden State Warriors,L,,106,110,6,14,M. Brogdon · T. Camara · D. Reath · S. Sharpe · A. Simons
21,2023-12-08,,,Box Score,,Dallas Mavericks,L,,112,125,6,15,T. Camara · D. Reath · S. Sharpe · A. Simons · M. Thybulle
22,2023-12-11,,,Box Score,@,Los Angeles Clippers,L,,127,132,6,16,T. Camara · D. Reath · S. Sharpe · A. Simons · M. Thybulle
23,2023-12-14,,,Box Score,,Utah Jazz,L,,114,122,6,17,D. Ayton · T. Camara · S. Sharpe · A. Simons · M. Thybulle
24,2023-12-16,,,Box Score,,Dallas Mavericks,L,,120,131,6,18,D. Ayton · T. Camara · J. Grant · S. Sharpe · A. Simons
25,2023-12-17,,,Box Score,,Golden State Warriors,L,,114,118,6,19,D. Ayton · T. Camara · J. Grant · S. Sharpe · A. Simons
26,2023-12-19,,,Box Score,,Phoenix Suns,W,,109,104,7,19,D. Ayton · T. Camara · J. Grant · S. Sharpe · A. Simons
27,2023-12-21,,,Box Score,,Washington Wizards,L,,117,118,7,20,D. Ayton · M. Brogdon · T. Camara · J. Grant · A. Simons
28,2023-12-23,,,Box Score,@,Golden State Warriors,L,,106,126,7,21,D. Ayton · M. Brogdon · T. Camara · J. Grant · A. Simons
29,2023-12-26,,,Box Score,,Sacramento Kings,W,,130,113,8,21,M. Brogdon · M. Brown · T. Camara · J. Grant · A. Simons
30,2023-12-28,,,Box Score,,San Antonio Spurs,L,,105,118,8,22,M. Brogdon · M. Brown · T. Camara · J. Grant · S. Henderson
31,2023-12-29,,,Box Score,,San Antonio Spurs,W,,134,128,9,22,M. Brogdon · M. Brown · T. Camara · J. Grant · S. Henderson
32,2024-01-01,,,Box Score,@,Phoenix Suns,L,,88,109,9,23,M. Brogdon · M. Brown · J. Grant · S. Henderson · M. Thybulle
33,2024-01-03,,,Box Score,@,Dallas Mavericks,L,,97,126,9,24,I. Badji · T. Camara · J. Grant · S. Henderson · A. Simons
34,2024-01-05,,,Box Score,@,Dallas Mavericks,L,,103,139,9,25,T. Camara · J. Grant · S. Henderson · D. Reath · A. Simons
35,2024-01-07,,,Box Score,@,Brooklyn Nets,W,OT,134,127,10,25,T. Camara · J. Grant · S. Henderson · D. Reath · A. Simons
36,2024-01-09,,,Box Score,@,New York Knicks,L,,84,112,10,26,T. Camara · J. Grant · S. Henderson · D. Reath · A. Simons
37,2024-01-11,,,Box Score,@,Oklahoma City Thunder,L,,77,139,10,27,T. Camara · J. Grant · S. Henderson · D. Reath · A. Simons
38,2024-01-12,,,Box Score,@,Minnesota Timberwolves,L,,93,116,10,28,T. Camara · J. Grant · S. Henderson · D. Reath · A. Simons
39,2024-01-14,,,Box Score,,Phoenix Suns,L,,116,127,10,29,T. Camara · S. Henderson · D. Reath · A. Simons · J. Walker
40,2024-01-17,,,Box Score,,Brooklyn Nets,W,,105,103,11,29,M. Brogdon · J. Grant · D. Reath · A. Simons · J. Walker
41,2024-01-19,,,Box Score,,Indiana Pacers,W,,118,115,12,29,D. Ayton · M. Brogdon · J. Grant · M. Thybulle · J. Walker
42,2024-01-21,,,Box Score,@,Los Angeles Lakers,L,,110,134,12,30,D. Ayton · M. Brogdon · J. Grant · A. Simons · J. Walker
43,2024-01-23,,,Box Score,@,Oklahoma City Thunder,L,,109,111,12,31,D. Ayton · M. Brogdon · J. Grant · A. Simons · J. Walker
44,2024-01-24,,,Box Score,@,Houston Rockets,W,OT,137,131,13,31,D. Ayton · M. Brogdon · J. Grant · A. Simons · J. Walker
45,2024-01-26,,,Box Score,@,San Antonio Spurs,L,,100,116,13,32,D. Ayton · J. Grant · A. Simons · M. Thybulle · J. Walker
46,2024-01-28,,,Box Score,,Chicago Bulls,L,,96,104,13,33,D. Ayton · M. Brogdon · J. Grant · A. Simons · J. Walker
47,2024-01-29,,,Box Score,,Philadelphia 76ers,W,,130,104,14,33,D. Ayton · M. Brogdon · J. Grant · A. Simons · J. Walker
48,2024-01-31,,,Box Score,,Milwaukee Bucks,W,,119,116,15,33,D. Ayton · M. Brogdon · J. Grant · A. Simons · J. Walker
49,2024-02-02,,,Box Score,@,Denver Nuggets,L,,108,120,15,34,D. Ayton · M. Brogdon · T. Camara · A. Simons · J. Walker
50,2024-02-04,,,Box Score,@,Denver Nuggets,L,,103,112,15,35,D. Ayton · K. Murray · A. Simons · M. Thybulle · J. Walker
51,2024-02-08,,,Box Score,,Detroit Pistons,L,OT,122,128,15,36,T. Camara · J. Grant · A. Simons · M. Thybulle · J. Walker
52,2024-02-10,,,Box Score,,New Orleans Pelicans,L,,84,93,15,37,D. Ayton · J. Grant · A. Hagans · M. Thybulle · J. Walker
53,2024-02-13,,,Box Score,,Minnesota Timberwolves,L,,109,121,15,38,D. Ayton · T. Camara · J. Grant · A. Simons · M. Thybulle
54,2024-02-15,,,Box Score,,Minnesota Timberwolves,L,,91,128,15,39,D. Ayton · T. Camara · J. Grant · S. Henderson · A. Simons
55,2024-02-23,,,Box Score,,Denver Nuggets,L,,112,127,15,40,D. Ayton · T. Camara · J. Grant · K. Murray · A. Simons
56,2024-02-25,,,Box Score,,Charlotte Hornets,L,,80,93,15,41,D. Ayton · T. Camara · J. Grant · K. Murray · A. Simons
57,2024-02-27,,,Box Score,,Miami Heat,L,,96,106,15,42,D. Ayton · T. Camara · J. Grant · K. Murray · A. Simons
58,2024-03-01,,,Box Score,@,Memphis Grizzlies,W,,122,92,16,42,T. Camara · J. Grant · K. Murray · D. Reath · A. Simons
59,2024-03-02,,,Box Score,@,Memphis Grizzlies,W,OT,107,100,17,42,T. Camara · J. Grant · K. Murray · D. Reath · A. Simons
60,2024-03-04,,,Box Score,@,Minnesota Timberwolves,L,,114,119,17,43,D. Banton · K. Murray · D. Reath · A. Simons · J. Walker
61,2024-03-06,,,Box Score,,Oklahoma City Thunder,L,,120,128,17,44,D. Banton · J. Grant · K. Murray · D. Reath · A. Simons
62,2024-03-08,,,Box Score,,Houston Rockets,L,,107,123,17,45,D. Banton · T. Camara · K. Murray · D. Reath · A. Simons
63,2024-03-09,,,Box Score,,Toronto Raptors,W,OT,128,118,18,45,D. Ayton · D. Banton · T. Camara · K. Murray · A. Simons
64,2024-03-11,,,Box Score,,Boston Celtics,L,,99,121,18,46,D. Ayton · J. Grant · S. Henderson · K. Murray · A. Simons
65,2024-03-13,,,Box Score,,Atlanta Hawks,W,,106,102,19,46,D. Ayton · D. Banton · T. Camara · K. Murray · A. Simons
66,2024-03-14,,,Box Score,,New York Knicks,L,,93,105,19,47,D. Ayton · D. Banton · T. Camara · S. Henderson · K. Murray
67,2024-03-16,,,Box Score,@,New Orleans Pelicans,L,,107,126,19,48,D. Ayton · D. Banton · T. Camara · K. Murray · A. Simons
68,2024-03-18,,,Box Score,@,Chicago Bulls,L,,107,110,19,49,D. Ayton · T. Camara · S. Henderson · K. Murray · A. Simons
69,2024-03-20,,,Box Score,,Los Angeles Clippers,L,,103,116,19,50,D. Ayton · T. Camara · S. Henderson · K. Murray · A. Simons
70,2024-03-22,,,Box Score,,Los Angeles Clippers,L,,117,125,19,51,T. Camara · S. Henderson · K. Murray · D. Reath · A. Simons
71,2024-03-23,,,Box Score,,Denver Nuggets,L,,111,114,19,52,T. Camara · S. Henderson · K. Murray · D. Reath · R. Rupert
72,2024-03-25,,,Box Score,@,Houston Rockets,L,,92,110,19,53,T. Camara · S. Henderson · K. Murray · D. Reath · R. Rupert
73,2024-03-27,,,Box Score,@,Atlanta Hawks,L,,106,120,19,54,T. Camara · S. Henderson · K. Murray · D. Reath · R. Rupert
74,2024-03-29,,,Box Score,@,Miami Heat,L,,82,142,19,55,D. Ayton · S. Henderson · K. Murray · R. Rupert · J. Walker
75,2024-04-01,,,Box Score,@,Orlando Magic,L,,103,104,19,56,D. Ayton · S. Henderson · K. Murray · R. Rupert · J. Walker
76,2024-04-03,,,Box Score,@,Charlotte Hornets,W,,89,86,20,56,D. Ayton · S. Henderson · K. Murray · R. Rupert · J. Walker
77,2024-04-05,,,Box Score,@,Washington Wizards,W,,108,102,21,56,D. Ayton · S. Henderson · K. Murray · R. Rupert · J. Walker
78,2024-04-07,,,Box Score,@,Boston Celtics,L,,107,124,21,57,D. Ayton · S. Henderson · K. Murray · R. Rupert · J. Walker
79,2024-04-09,,,Box Score,,New Orleans Pelicans,L,,100,110,21,58,D. Ayton · S. Henderson · K. Murray · R. Rupert · J. Walker
80,2024-04-11,,,Box Score,,Golden State Warriors,L,,92,100,21,59,D. Ayton · S. Henderson · K. Murray · R. Rupert · J. Walker
81,2024-04-12,,,Box Score,,Houston Rockets,L,,107,116,21,60,D. Ayton · S. Henderson · K. Murray · R. Rupert · J. Walker
82,2024-04-14,,,Box Score,@,Sacramento Kings,L,,82,121,21,61,D. Banton · M. Brown · J. Minaya · K. Murray · R. Rupert
