G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,@,Utah Jazz,W,,130,114,1,0,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
2,2023-10-27,,,Box Score,,Golden State Warriors,L,,114,122,1,1,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
3,2023-10-29,,,Box Score,,Los Angeles Lakers,W,OT,132,127,2,1,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
4,2023-11-01,,,Box Score,@,Golden State Warriors,L,,101,102,2,2,H. Barnes · K. Huerter · D. Mitchell · K. Murray · D. Sabonis
5,2023-11-04,,,Box Score,@,Houston Rockets,L,,89,107,2,3,H. Barnes · K. Huerter · D. Mitchell · K. Murray · D. Sabonis
6,2023-11-06,,,Box Score,@,Houston Rockets,L,,97,122,2,4,H. Barnes · K. Huerter · D. Mitchell · K. Murray · D. Sabonis
7,2023-11-08,,,Box Score,,Portland Trail Blazers,W,OT,121,118,3,4,H. Barnes · K. Ellis · K. Huerter · K. Murray · D. Sabonis
8,2023-11-10,,,Box Score,,Oklahoma City Thunder,W,,105,98,4,4,H. Barnes · K. Ellis · K. Huerter · K. Murray · D. Sabonis
9,2023-11-13,,,Box Score,,Cleveland Cavaliers,W,,132,120,5,4,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
10,2023-11-15,,,Box Score,@,Los Angeles Lakers,W,,125,110,6,4,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
11,2023-11-17,,,Box Score,@,San Antonio Spurs,W,,129,120,7,4,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
12,2023-11-19,,,Box Score,@,Dallas Mavericks,W,,129,113,8,4,H. Barnes · C. Duarte · D. Fox · K. Murray · D. Sabonis
13,2023-11-20,,,Box Score,@,New Orleans Pelicans,L,,93,129,8,5,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
14,2023-11-22,,,Box Score,@,New Orleans Pelicans,L,,112,117,8,6,H. Barnes · C. Duarte · D. Fox · K. Huerter · D. Sabonis
15,2023-11-24,,,Box Score,@,Minnesota Timberwolves,W,,124,111,9,6,H. Barnes · C. Duarte · D. Fox · K. Huerter · D. Sabonis
16,2023-11-28,,,Box Score,,Golden State Warriors,W,,124,123,10,6,H. Barnes · C. Duarte · D. Fox · K. Huerter · D. Sabonis
17,2023-11-29,,,Box Score,,Los Angeles Clippers,L,,117,131,10,7,H. Barnes · C. Duarte · D. Fox · K. Huerter · D. Sabonis
18,2023-12-02,,,Box Score,,Denver Nuggets,W,,123,117,11,7,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
19,2023-12-04,,,Box Score,,New Orleans Pelicans,L,,117,127,11,8,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
20,2023-12-08,,,Box Score,@,Phoenix Suns,W,,114,106,12,8,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
21,2023-12-11,,,Box Score,,Brooklyn Nets,W,,131,118,13,8,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
22,2023-12-12,,,Box Score,@,Los Angeles Clippers,L,,99,119,13,9,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
23,2023-12-14,,,Box Score,,Oklahoma City Thunder,W,,128,123,14,9,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
24,2023-12-16,,,Box Score,,Utah Jazz,W,,125,104,15,9,H. Barnes · K. Ellis · K. Huerter · K. Murray · D. Sabonis
25,2023-12-18,,,Box Score,,Washington Wizards,W,,143,131,16,9,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
26,2023-12-20,,,Box Score,,Boston Celtics,L,,119,144,16,10,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
27,2023-12-22,,,Box Score,,Phoenix Suns,W,,120,105,17,10,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
28,2023-12-23,,,Box Score,,Minnesota Timberwolves,L,,98,110,17,11,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
29,2023-12-26,,,Box Score,@,Portland Trail Blazers,L,,113,130,17,12,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
30,2023-12-29,,,Box Score,@,Atlanta Hawks,W,,117,110,18,12,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
31,2023-12-31,,,Box Score,@,Memphis Grizzlies,W,,123,92,19,12,H. Barnes · C. Duarte · D. Fox · K. Murray · D. Sabonis
32,2024-01-02,,,Box Score,,Charlotte Hornets,L,,104,111,19,13,H. Barnes · C. Duarte · D. Fox · K. Murray · D. Sabonis
33,2024-01-03,,,Box Score,,Orlando Magic,W,2OT,138,135,20,13,H. Barnes · C. Duarte · D. Fox · K. Murray · D. Sabonis
34,2024-01-05,,,Box Score,,Toronto Raptors,W,,135,130,21,13,H. Barnes · C. Duarte · D. Fox · K. Murray · D. Sabonis
35,2024-01-07,,,Box Score,,New Orleans Pelicans,L,,100,133,21,14,H. Barnes · C. Duarte · D. Fox · K. Murray · D. Sabonis
36,2024-01-09,,,Box Score,@,Detroit Pistons,W,,131,110,22,14,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
37,2024-01-10,,,Box Score,@,Charlotte Hornets,W,,123,98,23,14,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
38,2024-01-12,,,Box Score,@,Philadelphia 76ers,L,,93,112,23,15,H. Barnes · C. Duarte · D. Fox · K. Murray · D. Sabonis
39,2024-01-14,,,Box Score,@,Milwaukee Bucks,L,OT,142,143,23,16,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
40,2024-01-16,,,Box Score,@,Phoenix Suns,L,,117,119,23,17,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
41,2024-01-18,,,Box Score,,Indiana Pacers,L,,121,126,23,18,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
42,2024-01-22,,,Box Score,,Atlanta Hawks,W,,122,107,24,18,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
43,2024-01-25,,,Box Score,@,Golden State Warriors,W,,134,133,25,18,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
44,2024-01-27,,,Box Score,@,Dallas Mavericks,W,,120,115,26,18,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
45,2024-01-29,,,Box Score,@,Memphis Grizzlies,W,,103,94,27,18,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
46,2024-01-31,,,Box Score,@,Miami Heat,L,,106,115,27,19,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
47,2024-02-02,,,Box Score,@,Indiana Pacers,W,,133,122,28,19,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
48,2024-02-03,,,Box Score,@,Chicago Bulls,W,,123,115,29,19,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
49,2024-02-05,,,Box Score,@,Cleveland Cavaliers,L,,110,136,29,20,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
50,2024-02-07,,,Box Score,,Detroit Pistons,L,,120,133,29,21,H. Barnes · D. Fox · K. Huerter · K. Murray · D. Sabonis
