G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,,Dallas Mavericks,L,,119,126,0,1,Z. Collins · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
2,2023-10-27,,,Box Score,,Houston Rockets,W,OT,126,122,1,1,Z. Collins · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
3,2023-10-29,,,Box Score,@,Los Angeles Clippers,L,,83,123,1,2,Z. Collins · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
4,2023-10-31,,,Box Score,@,Phoenix Suns,W,,115,114,2,2,Z. Collins · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
5,2023-11-02,,,Box Score,@,Phoenix Suns,W,,132,121,3,2,Z. Collins · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
6,2023-11-05,,,Box Score,,Toronto Raptors,L,OT,116,123,3,3,M. Branham · Z. Collins · K. Johnson · J. Sochan · V. Wembanyama
7,2023-11-06,,,Box Score,@,Indiana Pacers,L,,111,152,3,4,M. Branham · Z. Collins · K. Johnson · J. Sochan · V. Wembanyama
8,2023-11-08,,,Box Score,@,New York Knicks,L,,105,126,3,5,M. Branham · Z. Collins · K. Johnson · J. Sochan · V. Wembanyama
9,2023-11-10,,,Box Score,,Minnesota Timberwolves,L,,110,117,3,6,Z. Collins · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
10,2023-11-12,,,Box Score,,Miami Heat,L,,113,118,3,7,Z. Collins · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
11,2023-11-14,,,Box Score,@,Oklahoma City Thunder,L,,87,123,3,8,J. Champagnie · Z. Collins · J. Sochan · D. Vassell · V. Wembanyama
12,2023-11-17,,,Box Score,,Sacramento Kings,L,,120,129,3,9,J. Champagnie · Z. Collins · K. Johnson · J. Sochan · V. Wembanyama
13,2023-11-18,,,Box Score,,Memphis Grizzlies,L,,108,120,3,10,J. Champagnie · Z. Collins · K. Johnson · J. Sochan · V. Wembanyama
14,2023-11-20,,,Box Score,,Los Angeles Clippers,L,,99,124,3,11,J. Champagnie · Z. Collins · K. Johnson · J. Sochan · V. Wembanyama
15,2023-11-22,,,Box Score,,Los Angeles Clippers,L,,102,109,3,12,M. Branham · Z. Collins · K. Johnson · J. Sochan · V. Wembanyama
16,2023-11-24,,,Box Score,@,Golden State Warriors,L,,112,118,3,13,M. Branham · Z. Collins · K. Johnson · J. Sochan · V. Wembanyama
17,2023-11-26,,,Box Score,@,Denver Nuggets,L,,120,132,3,14,M. Branham · Z. Collins · K. Johnson · J. Sochan · V. Wembanyama
18,2023-11-30,,,Box Score,,Atlanta Hawks,L,,135,137,3,15,M. Branham · Z. Collins · K. Johnson · J. Sochan · V. Wembanyama
19,2023-12-01,,,Box Score,@,New Orleans Pelicans,L,,106,121,3,16,M. Branham · J. Champagnie · Z. Collins · K. Johnson · J. Sochan
20,2023-12-06,,,Box Score,@,Minnesota Timberwolves,L,,94,102,3,17,Z. Collins · K. Johnson · C. Osman · D. Vassell · V. Wembanyama
21,2023-12-08,,,Box Score,,Chicago Bulls,L,,112,121,3,18,M. Branham · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
22,2023-12-11,,,Box Score,@,Houston Rockets,L,,82,93,3,19,M. Branham · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
23,2023-12-13,,,Box Score,,Los Angeles Lakers,L,,119,122,3,20,M. Branham · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
24,2023-12-15,,,Box Score,,Los Angeles Lakers,W,,129,115,4,20,M. Branham · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
25,2023-12-17,,,Box Score,,New Orleans Pelicans,L,,110,146,4,21,M. Branham · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
26,2023-12-19,,,Box Score,@,Milwaukee Bucks,L,,119,132,4,22,M. Branham · Z. Collins · K. Johnson · J. Sochan · D. Vassell
27,2023-12-21,,,Box Score,@,Chicago Bulls,L,,95,114,4,23,M. Branham · K. Johnson · J. Sochan · D. Vassell · V. Wembanyama
28,2023-12-23,,,Box Score,@,Dallas Mavericks,L,,119,144,4,24,M. Branham · J. Champagnie · Z. Collins · J. Sochan · D. Vassell
29,2023-12-26,,,Box Score,,Utah Jazz,L,,118,130,4,25,M. Branham · J. Champagnie · J. Sochan · D. Vassell · V. Wembanyama
30,2023-12-28,,,Box Score,@,Portland Trail Blazers,W,,118,105,5,25,M. Branham · J. Champagnie · J. Sochan · D. Vassell · V. Wembanyama
31,2023-12-29,,,Box Score,@,Portland Trail Blazers,L,,128,134,5,26,M. Branham · J. Champagnie · Z. Collins · J. Sochan · D. Vassell
32,2023-12-31,,,Box Score,,Boston Celtics,L,,101,134,5,27,M. Branham · J. Champagnie · J. Sochan · D. Vassell · V. Wembanyama
33,2024-01-02,,,Box Score,@,Memphis Grizzlies,L,,98,106,5,28,M. Branham · J. Champagnie · J. Sochan · D. Vassell · V. Wembanyama
34,2024-01-04,,,Box Score,,Milwaukee Bucks,L,,121,125,5,29,J. Champagnie · T. Jones · J. Sochan · D. Vassell · V. Wembanyama
35,2024-01-07,,,Box Score,@,Cleveland Cavaliers,L,,115,117,5,30,J. Champagnie · T. Jones · J. Sochan · D. Vassell · V. Wembanyama
36,2024-01-10,,,Box Score,@,Detroit Pistons,W,,130,108,6,30,J. Champagnie · T. Jones · J. Sochan · D. Vassell · V. Wembanyama
37,2024-01-12,,,Box Score,,Charlotte Hornets,W,,135,99,7,30,J. Champagnie · T. Jones · J. Sochan · D. Vassell · V. Wembanyama
