G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,,Minnesota Timberwolves,W,,97,94,1,0,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
2,2023-10-27,,,Box Score,@,Chicago Bulls,L,OT,103,104,1,1,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
3,2023-10-28,,,Box Score,,Philadelphia 76ers,L,,107,114,1,2,S. Barnes · J. Poeltl · D. Schröder · P. Siakam · G. Trent
4,2023-10-30,,,Box Score,,Portland Trail Blazers,L,,91,99,1,3,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
5,2023-11-01,,,Box Score,,Milwaukee Bucks,W,,130,111,2,3,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
6,2023-11-02,,,Box Score,@,Philadelphia 76ers,L,,99,114,2,4,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
7,2023-11-05,,,Box Score,@,San Antonio Spurs,W,OT,123,116,3,4,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
8,2023-11-08,,,Box Score,@,Dallas Mavericks,W,,127,116,4,4,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
9,2023-11-11,,,Box Score,@,Boston Celtics,L,,94,117,4,5,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
10,2023-11-13,,,Box Score,,Washington Wizards,W,,111,107,5,5,S. Barnes · J. Poeltl · O. Porter · D. Schröder · P. Siakam
11,2023-11-15,,,Box Score,,Milwaukee Bucks,L,,112,128,5,6,S. Barnes · G. Dick · J. Poeltl · D. Schröder · P. Siakam
12,2023-11-17,,,Box Score,,Boston Celtics,L,,105,108,5,7,S. Barnes · J. Poeltl · D. Schröder · P. Siakam · G. Trent
13,2023-11-19,,,Box Score,,Detroit Pistons,W,,142,113,6,7,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
14,2023-11-21,,,Box Score,@,Orlando Magic,L,,107,126,6,8,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
15,2023-11-22,,,Box Score,@,Indiana Pacers,W,,132,131,7,8,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
16,2023-11-24,,,Box Score,,Chicago Bulls,W,,121,108,8,8,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
17,2023-11-26,,,Box Score,@,Cleveland Cavaliers,L,,102,105,8,9,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
18,2023-11-28,,,Box Score,@,Brooklyn Nets,L,,103,115,8,10,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
19,2023-11-29,,,Box Score,,Phoenix Suns,W,,112,105,9,10,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
20,2023-12-01,,,Box Score,,New York Knicks,L,,106,119,9,11,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
21,2023-12-06,,,Box Score,,Miami Heat,L,,103,112,9,12,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
22,2023-12-08,,,Box Score,@,Charlotte Hornets,L,,116,119,9,13,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
23,2023-12-11,,,Box Score,@,New York Knicks,L,,130,136,9,14,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
24,2023-12-13,,,Box Score,,Atlanta Hawks,W,,135,128,10,14,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
25,2023-12-15,,,Box Score,,Atlanta Hawks,L,,104,125,10,15,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
26,2023-12-18,,,Box Score,,Charlotte Hornets,W,,114,99,11,15,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
27,2023-12-20,,,Box Score,,Denver Nuggets,L,,104,113,11,16,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
28,2023-12-22,,,Box Score,@,Philadelphia 76ers,L,,111,121,11,17,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
29,2023-12-23,,,Box Score,,Utah Jazz,L,,119,126,11,18,O. Anunoby · S. Barnes · J. Poeltl · D. Schröder · P. Siakam
30,2023-12-27,,,Box Score,@,Washington Wizards,W,,132,102,12,18,O. Anunoby · S. Barnes · J. Poeltl · P. Siakam · G. Trent
31,2023-12-29,,,Box Score,@,Boston Celtics,L,,118,120,12,19,O. Anunoby · S. Barnes · J. Poeltl · P. Siakam · G. Trent
32,2023-12-30,,,Box Score,@,Detroit Pistons,L,,127,129,12,20,S. Barnes · J. Poeltl · D. Schröder · P. Siakam · G. Trent
33,2024-01-01,,,Box Score,,Cleveland Cavaliers,W,,124,121,13,20,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · P. Siakam
34,2024-01-03,,,Box Score,@,Memphis Grizzlies,W,,116,111,14,20,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · P. Siakam
35,2024-01-05,,,Box Score,@,Sacramento Kings,L,,130,135,14,21,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · P. Siakam
36,2024-01-07,,,Box Score,@,Golden State Warriors,W,,133,118,15,21,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · P. Siakam
37,2024-01-09,,,Box Score,@,Los Angeles Lakers,L,,131,132,15,22,S. Barnes · R. Barrett · I. Quickley · P. Siakam · T. Young
38,2024-01-10,,,Box Score,@,Los Angeles Clippers,L,,120,126,15,23,S. Barnes · R. Barrett · I. Quickley · D. Schröder · T. Young
39,2024-01-12,,,Box Score,@,Utah Jazz,L,,113,145,15,24,S. Barnes · R. Barrett · I. Quickley · P. Siakam · T. Young
40,2024-01-15,,,Box Score,,Boston Celtics,L,,96,105,15,25,S. Barnes · R. Barrett · J. Porter · I. Quickley · P. Siakam
41,2024-01-17,,,Box Score,,Miami Heat,W,,121,97,16,25,S. Barnes · R. Barrett · J. Porter · I. Quickley · G. Trent
42,2024-01-18,,,Box Score,,Chicago Bulls,L,,110,116,16,26,S. Barnes · R. Barrett · J. Porter · I. Quickley · G. Trent
43,2024-01-20,,,Box Score,@,New York Knicks,L,,100,126,16,27,S. Barnes · R. Barrett · J. Porter · I. Quickley · G. Trent
44,2024-01-22,,,Box Score,,Memphis Grizzlies,L,,100,108,16,28,S. Barnes · R. Barrett · J. Porter · I. Quickley · G. Trent
45,2024-01-26,,,Box Score,,Los Angeles Clippers,L,,107,127,16,29,S. Barnes · R. Barrett · B. Brown · G. Trent · T. Young
46,2024-01-28,,,Box Score,@,Atlanta Hawks,L,,125,126,16,30,S. Barnes · B. Brown · D. Schröder · G. Trent · T. Young
47,2024-01-30,,,Box Score,@,Chicago Bulls,W,,118,107,17,30,S. Barnes · B. Brown · D. Schröder · G. Trent · T. Young
48,2024-02-02,,,Box Score,@,Houston Rockets,L,,106,135,17,31,S. Barnes · B. Brown · J. Poeltl · I. Quickley · G. Trent
49,2024-02-04,,,Box Score,@,Oklahoma City Thunder,L,2OT,127,135,17,32,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · G. Trent
50,2024-02-05,,,Box Score,@,New Orleans Pelicans,L,,100,138,17,33,S. Barnes · B. Brown · J. Poeltl · I. Quickley · G. Trent
51,2024-02-07,,,Box Score,@,Charlotte Hornets,W,,123,117,18,33,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · G. Trent
52,2024-02-09,,,Box Score,,Houston Rockets,W,,107,104,19,33,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · G. Trent
53,2024-02-10,,,Box Score,,Cleveland Cavaliers,L,,95,119,19,34,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · G. Trent
54,2024-02-12,,,Box Score,,San Antonio Spurs,L,,99,122,19,35,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · G. Trent
55,2024-02-14,,,Box Score,,Indiana Pacers,L,,125,127,19,36,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · G. Trent
56,2024-02-22,,,Box Score,,Brooklyn Nets,W,,121,93,20,36,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · G. Trent
57,2024-02-23,,,Box Score,@,Atlanta Hawks,W,,123,121,21,36,S. Barnes · J. Nwora · J. Poeltl · I. Quickley · G. Trent
58,2024-02-26,,,Box Score,@,Indiana Pacers,W,,130,122,22,36,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · G. Trent
59,2024-02-28,,,Box Score,,Dallas Mavericks,L,,125,136,22,37,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · G. Trent
60,2024-03-01,,,Box Score,,Golden State Warriors,L,,105,120,22,38,S. Barnes · R. Barrett · J. Poeltl · I. Quickley · G. Trent
61,2024-03-03,,,Box Score,,Charlotte Hornets,W,,111,106,23,38,O. Agbaji · R. Barrett · J. Poeltl · I. Quickley · G. Trent
62,2024-03-05,,,Box Score,,New Orleans Pelicans,L,,98,139,23,39,O. Agbaji · R. Barrett · K. Olynyk · I. Quickley · G. Trent
63,2024-03-07,,,Box Score,@,Phoenix Suns,L,,113,120,23,40,O. Agbaji · R. Barrett · K. Olynyk · I. Quickley · G. Trent
64,2024-03-09,,,Box Score,@,Portland Trail Blazers,L,OT,118,128,23,41,O. Agbaji · G. Dick · K. Olynyk · I. Quickley · G. Trent
65,2024-03-11,,,Box Score,@,Denver Nuggets,L,,119,125,23,42,O. Agbaji · R. Barrett · B. Brown · G. Dick · K. Olynyk
66,2024-03-13,,,Box Score,@,Detroit Pistons,L,,104,113,23,43,O. Agbaji · B. Brown · G. Dick · K. Olynyk · I. Quickley
67,2024-03-15,,,Box Score,,Orlando Magic,L,,103,113,23,44,O. Agbaji · G. Dick · K. Olynyk · I. Quickley · G. Trent
68,2024-03-17,,,Box Score,@,Orlando Magic,L,,96,111,23,45,O. Agbaji · G. Dick · K. Olynyk · I. Quickley · G. Trent
69,2024-03-20,,,Box Score,,Sacramento Kings,L,,89,123,23,46,O. Agbaji · B. Brown · G. Dick · K. Olynyk · G. Trent
70,2024-03-22,,,Box Score,,Oklahoma City Thunder,L,,103,123,23,47,O. Agbaji · B. Brown · G. Dick · J. Freeman-Liberty · K. Olynyk
71,2024-03-23,,,Box Score,@,Washington Wizards,L,,109,112,23,48,O. Agbaji · G. Dick · K. Olynyk · J. Ramsey · G. Trent
72,2024-03-25,,,Box Score,,Brooklyn Nets,L,,88,96,23,49,O. Agbaji · G. Dick · J. Freeman-Liberty · K. Olynyk · G. Trent
73,2024-03-27,,,Box Score,,New York Knicks,L,,101,145,23,50,O. Agbaji · G. Dick · J. Freeman-Liberty · K. Olynyk · G. Trent
74,2024-03-31,,,Box Score,,Philadelphia 76ers,L,,120,135,23,51,B. Brown · G. Dick · J. Freeman-Liberty · K. Olynyk · G. Trent
75,2024-04-02,,,Box Score,,Los Angeles Lakers,L,,111,128,23,52,R. Barrett · B. Brown · G. Dick · K. Olynyk · I. Quickley
76,2024-04-03,,,Box Score,@,Minnesota Timberwolves,L,,85,133,23,53,G. Dick · J. McDaniels · I. Quickley · G. Temple · M. Williams
77,2024-04-05,,,Box Score,@,Milwaukee Bucks,W,,117,111,24,53,O. Agbaji · R. Barrett · K. Olynyk · I. Quickley · G. Trent
78,2024-04-07,,,Box Score,,Washington Wizards,W,,130,122,25,53,O. Agbaji · R. Barrett · K. Olynyk · I. Quickley · G. Trent
79,2024-04-09,,,Box Score,,Indiana Pacers,L,,123,140,25,54,O. Agbaji · R. Barrett · J. Freeman-Liberty · K. Olynyk · G. Trent
80,2024-04-10,,,Box Score,@,Brooklyn Nets,L,,102,106,25,55,O. Agbaji · G. Dick · I. Quickley · G. Temple · M. Williams
81,2024-04-12,,,Box Score,@,Miami Heat,L,,103,125,25,56,R. Barrett · G. Dick · K. Olynyk · I. Quickley · G. Trent
82,2024-04-14,,,Box Score,@,Miami Heat,L,,103,118,25,57,O. Agbaji · G. Dick · J. Freeman-Liberty · K. Olynyk · G. Trent
