G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,,Sacramento Kings,L,,114,130,0,1,J. Clarkson · J. Collins · T. Horton-Tucker · W. Kessler · L. Markkanen
2,2023-10-27,,,Box Score,,Los Angeles Clippers,W,,120,118,1,1,J. Clarkson · J. Collins · T. Horton-Tucker · W. Kessler · L. Markkanen
3,2023-10-28,,,Box Score,@,Phoenix Suns,L,,104,126,1,2,J. Clarkson · J. Collins · T. Horton-Tucker · W. Kessler · L. Markkanen
4,2023-10-30,,,Box Score,@,Denver Nuggets,L,,102,110,1,3,J. Clarkson · J. Collins · T. Horton-Tucker · W. Kessler · L. Markkanen
5,2023-11-01,,,Box Score,,Memphis Grizzlies,W,,133,109,2,3,J. Clarkson · J. Collins · T. Horton-Tucker · W. Kessler · L. Markkanen
6,2023-11-02,,,Box Score,,Orlando Magic,L,,113,115,2,4,J. Clarkson · J. Collins · T. Horton-Tucker · W. Kessler · L. Markkanen
7,2023-11-04,,,Box Score,@,Minnesota Timberwolves,L,,95,123,2,5,J. Clarkson · J. Collins · T. Horton-Tucker · W. Kessler · L. Markkanen
8,2023-11-06,,,Box Score,@,Chicago Bulls,L,,113,130,2,6,J. Clarkson · J. Collins · T. Horton-Tucker · W. Kessler · L. Markkanen
9,2023-11-08,,,Box Score,@,Indiana Pacers,L,,118,134,2,7,O. Agbaji · J. Clarkson · J. Collins · K. George · L. Markkanen
10,2023-11-10,,,Box Score,@,Memphis Grizzlies,W,,127,121,3,7,O. Agbaji · J. Clarkson · J. Collins · K. George · L. Markkanen
11,2023-11-14,,,Box Score,,Portland Trail Blazers,W,,115,99,4,7,O. Agbaji · J. Clarkson · J. Collins · K. George · L. Markkanen
12,2023-11-17,,,Box Score,,Phoenix Suns,L,,128,131,4,8,O. Agbaji · J. Clarkson · J. Collins · K. George · L. Markkanen
13,2023-11-19,,,Box Score,,Phoenix Suns,L,2OT,137,140,4,9,O. Agbaji · J. Clarkson · J. Collins · K. George · L. Markkanen
14,2023-11-21,,,Box Score,@,Los Angeles Lakers,L,,99,131,4,10,O. Agbaji · J. Clarkson · J. Collins · K. George · L. Markkanen
15,2023-11-22,,,Box Score,@,Portland Trail Blazers,L,,105,121,4,11,J. Clarkson · J. Collins · K. George · L. Markkanen · K. Olynyk
16,2023-11-25,,,Box Score,,New Orleans Pelicans,W,,105,100,5,11,J. Collins · K. Dunn · S. Fontecchio · K. George · O. Yurtseven
17,2023-11-27,,,Box Score,,New Orleans Pelicans,W,,114,112,6,11,J. Clarkson · J. Collins · S. Fontecchio · K. George · O. Yurtseven
18,2023-11-29,,,Box Score,@,Memphis Grizzlies,L,,91,105,6,12,J. Clarkson · J. Collins · S. Fontecchio · K. George · O. Yurtseven
19,2023-11-30,,,Box Score,@,Minnesota Timberwolves,L,,90,101,6,13,O. Agbaji · J. Collins · S. Fontecchio · K. George · O. Yurtseven
20,2023-12-02,,,Box Score,,Portland Trail Blazers,W,OT,118,113,7,13,O. Agbaji · J. Collins · S. Fontecchio · K. George · O. Yurtseven
21,2023-12-06,,,Box Score,@,Dallas Mavericks,L,,97,147,7,14,O. Agbaji · J. Collins · S. Fontecchio · K. George · O. Yurtseven
22,2023-12-08,,,Box Score,,Los Angeles Clippers,L,,103,117,7,15,J. Clarkson · J. Collins · S. Fontecchio · K. George · W. Kessler
23,2023-12-11,,,Box Score,@,Oklahoma City Thunder,L,,120,134,7,16,O. Agbaji · J. Clarkson · S. Fontecchio · K. George · K. Olynyk
24,2023-12-13,,,Box Score,,New York Knicks,W,,117,113,8,16,S. Fontecchio · K. George · L. Markkanen · K. Olynyk · C. Sexton
25,2023-12-14,,,Box Score,@,Portland Trail Blazers,W,,122,114,9,16,S. Fontecchio · T. Horton-Tucker · W. Kessler · K. Olynyk · C. Sexton
26,2023-12-16,,,Box Score,@,Sacramento Kings,L,,104,125,9,17,K. Dunn · S. Fontecchio · L. Markkanen · K. Olynyk · C. Sexton
27,2023-12-18,,,Box Score,,Brooklyn Nets,W,,125,108,10,17,S. Fontecchio · T. Horton-Tucker · W. Kessler · L. Markkanen · C. Sexton
28,2023-12-20,,,Box Score,@,Cleveland Cavaliers,L,,116,124,10,18,S. Fontecchio · T. Horton-Tucker · W. Kessler · L. Markkanen · C. Sexton
29,2023-12-21,,,Box Score,@,Detroit Pistons,W,,119,111,11,18,J. Collins · K. Dunn · S. Fontecchio · K. Olynyk · C. Sexton
30,2023-12-23,,,Box Score,@,Toronto Raptors,W,,126,119,12,18,J. Collins · K. Dunn · L. Markkanen · K. Olynyk · C. Sexton
31,2023-12-26,,,Box Score,@,San Antonio Spurs,W,,130,118,13,18,J. Collins · K. Dunn · L. Markkanen · K. Olynyk · C. Sexton
32,2023-12-28,,,Box Score,@,New Orleans Pelicans,L,,105,112,13,19,J. Collins · K. Dunn · W. Kessler · L. Markkanen · C. Sexton
33,2023-12-30,,,Box Score,,Miami Heat,W,,117,109,14,19,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
34,2024-01-01,,,Box Score,,Dallas Mavericks,W,,127,90,15,19,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
35,2024-01-03,,,Box Score,,Detroit Pistons,W,OT,154,148,16,19,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
