G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
1,2023-10-25,,,Box Score,@,Indiana Pacers,L,,120,143,0,1,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
2,2023-10-28,,,Box Score,,Memphis Grizzlies,W,,113,106,1,1,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
3,2023-10-30,,,Box Score,,Boston Celtics,L,,107,126,1,2,D. Avdija · B. Coulibaly · T. Jones · K. Kuzma · J. Poole
4,2023-11-01,,,Box Score,@,Atlanta Hawks,L,,121,130,1,3,D. Avdija · T. Jones · K. Kuzma · M. Muscala · J. Poole
5,2023-11-03,,,Box Score,@,Miami Heat,L,,114,121,1,4,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
6,2023-11-06,,,Box Score,@,Philadelphia 76ers,L,,128,146,1,5,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
7,2023-11-08,,,Box Score,@,Charlotte Hornets,W,,132,116,2,5,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
8,2023-11-10,,,Box Score,,Charlotte Hornets,L,,117,124,2,6,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
9,2023-11-12,,,Box Score,@,Brooklyn Nets,L,,94,102,2,7,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
10,2023-11-13,,,Box Score,@,Toronto Raptors,L,,107,111,2,8,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
11,2023-11-15,,,Box Score,,Dallas Mavericks,L,,117,130,2,9,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
12,2023-11-17,,,Box Score,,New York Knicks,L,,99,120,2,10,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
13,2023-11-20,,,Box Score,,Milwaukee Bucks,L,,129,142,2,11,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
