Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Tue Dec 22 2020,7:00p,Golden State Warriors,99,Brooklyn Nets,125,Box Score,,0,2:14,Barclays Center,
Tue Dec 22 2020,10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,Box Score,,0,2:28,STAPLES Center,
Wed Dec 23 2020,7:00p,Charlotte Hornets,114,Cleveland Cavaliers,121,Box Score,,300,2:11,Rocket Mortgage Fieldhouse,
Wed Dec 23 2020,7:00p,New York Knicks,107,Indiana Pacers,121,Box Score,,0,2:12,Bankers Life Fieldhouse,
Wed Dec 23 2020,7:00p,Miami Heat,107,Orlando Magic,113,Box Score,,3396,2:11,Amway Center,
Wed Dec 23 2020,7:00p,Washington Wizards,107,Philadelphia 76ers,113,Box Score,,0,2:25,Wells Fargo Center,
Wed Dec 23 2020,7:30p,New Orleans Pelicans,113,Toronto Raptors,99,Box Score,,3800,2:09,Amalie Arena,
Wed Dec 23 2020,7:30p,Milwaukee Bucks,121,Boston Celtics,122,Box Score,,0,2:20,TD Garden,
Wed Dec 23 2020,8:00p,Atlanta Hawks,124,Chicago Bulls,104,Box Score,,0,2:13,United Center,
Wed Dec 23 2020,8:00p,San Antonio Spurs,131,Memphis Grizzlies,119,Box Score,,0,2:08,FedEx Forum,
Wed Dec 23 2020,8:00p,Detroit Pistons,101,Minnesota Timberwolves,111,Box Score,,0,2:09,Target Center,
Wed Dec 23 2020,9:00p,Sacramento Kings,124,Denver Nuggets,122,Box Score,OT,0,2:36,Ball Arena,
Wed Dec 23 2020,10:00p,Utah Jazz,120,Portland Trail Blazers,100,Box Score,,0,2:03,Moda Center,
Wed Dec 23 2020,10:30p,Dallas Mavericks,102,Phoenix Suns,106,Box Score,,0,2:25,Phoenix Suns Arena,
Fri Dec 25 2020,12:00p,New Orleans Pelicans,98,Miami Heat,111,Box Score,,0,2:28,AmericanAirlines Arena,
Fri Dec 25 2020,2:30p,Golden State Warriors,99,Milwaukee Bucks,138,Box Score,,0,2:17,Fiserv Forum,
Fri Dec 25 2020,5:00p,Brooklyn Nets,123,Boston Celtics,95,Box Score,,0,2:19,TD Garden,
Fri Dec 25 2020,8:00p,Dallas Mavericks,115,Los Angeles Lakers,138,Box Score,,0,2:26,STAPLES Center,
Fri Dec 25 2020,10:30p,Los Angeles Clippers,121,Denver Nuggets,108,Box Score,,0,2:30,Ball Arena,
Sat Dec 26 2020,5:00p,Atlanta Hawks,122,Memphis Grizzlies,112,Box Score,,0,2:17,FedEx Forum,
Sat Dec 26 2020,7:00p,Oklahoma City Thunder,109,Charlotte Hornets,107,Box Score,,0,2:22,Spectrum Center,
Sat Dec 26 2020,7:00p,Cleveland Cavaliers,128,Detroit Pistons,119,Box Score,2OT,0,2:49,Little Caesars Arena,
Sat Dec 26 2020,7:00p,Orlando Magic,130,Washington Wizards,120,Box Score,,0,2:15,Capital One Arena,
Sat Dec 26 2020,7:30p,Philadelphia 76ers,109,New York Knicks,89,Box Score,,0,2:14,Madison Square Garden (IV),
Sat Dec 26 2020,8:00p,Indiana Pacers,125,Chicago Bulls,106,Box Score,,0,2:09,United Center,
Sat Dec 26 2020,8:30p,Toronto Raptors,114,San Antonio Spurs,119,Box Score,,0,2:11,AT&T Center,
Sat Dec 26 2020,9:00p,Minnesota Timberwolves,116,Utah Jazz,111,Box Score,,1932,2:28,Vivint Smart Home Arena,
Sat Dec 26 2020,10:00p,Houston Rockets,126,Portland Trail Blazers,128,Box Score,OT,0,2:37,Moda Center,
Sat Dec 26 2020,10:00p,Phoenix Suns,103,Sacramento Kings,106,Box Score,,0,2:13,Golden 1 Center,
Sun Dec 27 2020,3:30p,Dallas Mavericks,124,Los Angeles Clippers,73,Box Score,,0,2:04,STAPLES Center,
Sun Dec 27 2020,7:00p,San Antonio Spurs,95,New Orleans Pelicans,98,Box Score,,750,2:10,Smoothie King Center,
Sun Dec 27 2020,7:00p,Orlando Magic,120,Washington Wizards,113,Box Score,,0,2:11,Capital One Arena,
Sun Dec 27 2020,7:00p,Brooklyn Nets,104,Charlotte Hornets,106,Box Score,,0,2:11,Spectrum Center,
Sun Dec 27 2020,7:30p,Philadelphia 76ers,94,Cleveland Cavaliers,118,Box Score,,300,2:09,Rocket Mortgage Fieldhouse,
Sun Dec 27 2020,7:30p,Milwaukee Bucks,110,New York Knicks,130,Box Score,,0,2:19,Madison Square Garden (IV),
Sun Dec 27 2020,8:00p,Boston Celtics,107,Indiana Pacers,108,Box Score,,0,2:10,Bankers Life Fieldhouse,
Sun Dec 27 2020,8:00p,Golden State Warriors,129,Chicago Bulls,128,Box Score,,0,2:22,United Center,
Sun Dec 27 2020,9:00p,Phoenix Suns,116,Sacramento Kings,100,Box Score,,0,2:04,Golden 1 Center,
Sun Dec 27 2020,10:00p,Minnesota Timberwolves,91,Los Angeles Lakers,127,Box Score,,0,2:10,STAPLES Center,
Mon Dec 28 2020,7:30p,Memphis Grizzlies,116,Brooklyn Nets,111,Box Score,OT,0,2:23,Barclays Center,
Mon Dec 28 2020,7:30p,Detroit Pistons,120,Atlanta Hawks,128,Box Score,,0,2:16,State Farm Arena,
Mon Dec 28 2020,8:00p,Utah Jazz,110,Oklahoma City Thunder,109,Box Score,,0,2:03,Chesapeake Energy Arena,
Mon Dec 28 2020,9:00p,Houston Rockets,111,Denver Nuggets,124,Box Score,,0,2:16,Ball Arena,
Mon Dec 28 2020,10:00p,Portland Trail Blazers,115,Los Angeles Lakers,107,Box Score,,0,2:14,STAPLES Center,
Tue Dec 29 2020,7:00p,New York Knicks,95,Cleveland Cavaliers,86,Box Score,,300,2:04,Rocket Mortgage Fieldhouse,
Tue Dec 29 2020,7:00p,Golden State Warriors,116,Detroit Pistons,106,Box Score,,0,2:31,Little Caesars Arena,
Tue Dec 29 2020,7:00p,Boston Celtics,116,Indiana Pacers,111,Box Score,,0,2:12,Bankers Life Fieldhouse,
Tue Dec 29 2020,7:00p,Chicago Bulls,115,Washington Wizards,107,Box Score,,0,2:23,Capital One Arena,
Tue Dec 29 2020,7:00p,Toronto Raptors,93,Philadelphia 76ers,100,Box Score,,0,2:27,Wells Fargo Center,
Tue Dec 29 2020,7:30p,Milwaukee Bucks,144,Miami Heat,97,Box Score,,0,2:09,AmericanAirlines Arena,
Tue Dec 29 2020,8:00p,Orlando Magic,118,Oklahoma City Thunder,107,Box Score,,0,2:05,Chesapeake Energy Arena,
Tue Dec 29 2020,10:00p,New Orleans Pelicans,86,Phoenix Suns,111,Box Score,,0,2:09,Phoenix Suns Arena,
Tue Dec 29 2020,10:00p,Denver Nuggets,115,Sacramento Kings,125,Box Score,,0,2:14,Golden 1 Center,
Tue Dec 29 2020,10:00p,Minnesota Timberwolves,101,Los Angeles Clippers,124,Box Score,,0,2:08,STAPLES Center,
Wed Dec 30 2020,7:30p,Milwaukee Bucks,108,Miami Heat,119,Box Score,,0,2:11,AmericanAirlines Arena,
Wed Dec 30 2020,7:30p,Atlanta Hawks,141,Brooklyn Nets,145,Box Score,,0,2:09,Barclays Center,
Wed Dec 30 2020,7:30p,Memphis Grizzlies,107,Boston Celtics,126,Box Score,,0,2:03,TD Garden,
Wed Dec 30 2020,8:30p,Charlotte Hornets,118,Dallas Mavericks,99,Box Score,,0,2:20,American Airlines Center,
Wed Dec 30 2020,8:30p,Los Angeles Lakers,121,San Antonio Spurs,107,Box Score,,0,2:07,AT&T Center,
Wed Dec 30 2020,10:00p,Portland Trail Blazers,105,Los Angeles Clippers,128,Box Score,,0,2:06,STAPLES Center,
Thu Dec 31 2020,3:00p,Cleveland Cavaliers,99,Indiana Pacers,119,Box Score,,0,2:16,Bankers Life Fieldhouse,
Thu Dec 31 2020,5:00p,Chicago Bulls,133,Washington Wizards,130,Box Score,,0,2:27,Capital One Arena,
Thu Dec 31 2020,6:30p,Philadelphia 76ers,116,Orlando Magic,92,Box Score,,3247,2:02,Amway Center,
Thu Dec 31 2020,7:00p,Sacramento Kings,119,Houston Rockets,122,Box Score,,3247,2:23,Toyota Center,
Thu Dec 31 2020,7:30p,New York Knicks,83,Toronto Raptors,100,Box Score,,3449,2:09,Amalie Arena,
Thu Dec 31 2020,8:00p,New Orleans Pelicans,113,Oklahoma City Thunder,80,Box Score,,0,2:04,Chesapeake Energy Arena,
Thu Dec 31 2020,9:00p,Phoenix Suns,106,Utah Jazz,95,Box Score,,1932,2:07,Vivint Smart Home Arena,
