Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Mon Feb 1 2021,7:30p,Los Angeles Lakers,107,Atlanta Hawks,99,Box Score,,1341,2:19,State Farm Arena,
Mon Feb 1 2021,7:30p,Charlotte Hornets,129,Miami Heat,121,Box Score,OT,0,2:34,AmericanAirlines Arena,
Mon Feb 1 2021,8:00p,New York Knicks,102,Chicago Bulls,110,Box Score,,0,2:12,United Center,
Mon Feb 1 2021,8:00p,Minnesota Timberwolves,98,Cleveland Cavaliers,100,Box Score,,0,2:14,Rocket Mortgage Fieldhouse,
Mon Feb 1 2021,8:00p,Portland Trail Blazers,106,Milwaukee Bucks,134,Box Score,,0,1:59,Fiserv Forum,
Mon Feb 1 2021,8:00p,Sacramento Kings,118,New Orleans Pelicans,109,Box Score,,1440,2:17,Smoothie King Center,
Mon Feb 1 2021,8:00p,Houston Rockets,136,Oklahoma City Thunder,106,Box Score,,0,1:59,Chesapeake Energy Arena,
Mon Feb 1 2021,8:30p,Phoenix Suns,109,Dallas Mavericks,108,Box Score,,0,2:13,American Airlines Center,
Mon Feb 1 2021,8:30p,Memphis Grizzlies,133,San Antonio Spurs,102,Box Score,,0,2:02,AT&T Center,
Tue Feb 2 2021,7:00p,Toronto Raptors,123,Orlando Magic,108,Box Score,,3211,2:06,Amway Center,
Tue Feb 2 2021,7:30p,Los Angeles Clippers,120,Brooklyn Nets,124,Box Score,,0,2:21,Barclays Center,
Tue Feb 2 2021,8:00p,Memphis Grizzlies,116,Indiana Pacers,134,Box Score,,0,2:16,Bankers Life Fieldhouse,
Tue Feb 2 2021,8:00p,Portland Trail Blazers,132,Washington Wizards,121,Box Score,,0,2:11,Capital One Arena,
Tue Feb 2 2021,10:00p,Boston Celtics,111,Golden State Warriors,107,Box Score,,0,2:28,Chase Center,
Tue Feb 2 2021,10:00p,Detroit Pistons,105,Utah Jazz,117,Box Score,,3902,2:16,Vivint Smart Home Arena,
Wed Feb 3 2021,7:00p,Philadelphia 76ers,118,Charlotte Hornets,111,Box Score,,0,2:17,Spectrum Center,
Wed Feb 3 2021,7:00p,Indiana Pacers,110,Milwaukee Bucks,130,Box Score,,0,2:03,Fiserv Forum,
Wed Feb 3 2021,7:30p,Dallas Mavericks,122,Atlanta Hawks,116,Box Score,,1259,2:18,State Farm Arena,
Wed Feb 3 2021,8:00p,New York Knicks,107,Chicago Bulls,103,Box Score,,0,2:03,United Center,
Wed Feb 3 2021,8:00p,Los Angeles Clippers,121,Cleveland Cavaliers,99,Box Score,,1944,2:01,Rocket Mortgage Fieldhouse,
Wed Feb 3 2021,8:00p,Washington Wizards,103,Miami Heat,100,Box Score,,0,2:10,AmericanAirlines Arena,
Wed Feb 3 2021,8:00p,Houston Rockets,87,Oklahoma City Thunder,104,Box Score,,0,2:03,Chesapeake Energy Arena,
Wed Feb 3 2021,8:30p,Minnesota Timberwolves,108,San Antonio Spurs,111,Box Score,,0,2:08,AT&T Center,
Wed Feb 3 2021,9:30p,Phoenix Suns,101,New Orleans Pelicans,123,Box Score,,1440,2:14,Smoothie King Center,
Wed Feb 3 2021,10:00p,Boston Celtics,111,Sacramento Kings,116,Box Score,,0,2:19,Golden 1 Center,
Thu Feb 4 2021,7:30p,Utah Jazz,112,Atlanta Hawks,91,Box Score,,1261,2:03,State Farm Arena,
Thu Feb 4 2021,7:30p,Golden State Warriors,147,Dallas Mavericks,116,Box Score,,0,2:20,American Airlines Center,
Thu Feb 4 2021,8:00p,Portland Trail Blazers,121,Philadelphia 76ers,105,Box Score,,0,2:12,Wells Fargo Center,
Thu Feb 4 2021,9:00p,Houston Rockets,115,Memphis Grizzlies,103,Box Score,,1762,2:12,FedEx Forum,
Thu Feb 4 2021,10:00p,Denver Nuggets,93,Los Angeles Lakers,114,Box Score,,0,2:19,STAPLES Center,
Fri Feb 5 2021,7:00p,New Orleans Pelicans,114,Indiana Pacers,113,Box Score,,0,2:30,Bankers Life Fieldhouse,
Fri Feb 5 2021,7:00p,Chicago Bulls,119,Orlando Magic,123,Box Score,,3535,2:18,Amway Center,
Fri Feb 5 2021,7:30p,Toronto Raptors,123,Brooklyn Nets,117,Box Score,,0,2:26,Barclays Center,
Fri Feb 5 2021,7:30p,Milwaukee Bucks,123,Cleveland Cavaliers,105,Box Score,,2720,2:10,Rocket Mortgage Fieldhouse,
