Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Fri Jan 1 2021,7:00p,Memphis Grizzlies,108,Charlotte Hornets,93,Box Score,,0,2:04,Spectrum Center,
Fri Jan 1 2021,7:00p,Miami Heat,83,Dallas Mavericks,93,Box Score,,0,2:12,American Airlines Center,
Fri Jan 1 2021,7:00p,Boston Celtics,93,Detroit Pistons,96,Box Score,,0,2:04,Little Caesars Arena,
Fri Jan 1 2021,7:30p,Atlanta Hawks,114,Brooklyn Nets,96,Box Score,,0,2:00,Barclays Center,
Fri Jan 1 2021,8:00p,Chicago Bulls,96,Milwaukee Bucks,126,Box Score,,0,2:09,Fiserv Forum,
Fri Jan 1 2021,8:00p,Washington Wizards,130,Minnesota Timberwolves,109,Box Score,,0,2:08,Target Center,
Fri Jan 1 2021,8:00p,Los Angeles Lakers,109,San Antonio Spurs,103,Box Score,,0,2:14,AT&T Center,
Fri Jan 1 2021,9:00p,Phoenix Suns,106,Denver Nuggets,103,Box Score,,0,2:21,Ball Arena,
Fri Jan 1 2021,9:00p,Los Angeles Clippers,100,Utah Jazz,106,Box Score,,1932,2:10,Vivint Smart Home Arena,
Fri Jan 1 2021,10:30p,Portland Trail Blazers,123,Golden State Warriors,98,Box Score,,0,2:15,Chase Center,
Sat Jan 2 2021,5:00p,Sacramento Kings,94,Houston Rockets,102,Box Score,,3065,2:15,Toyota Center,
Sat Jan 2 2021,7:00p,New York Knicks,106,Indiana Pacers,102,Box Score,,0,2:11,Bankers Life Fieldhouse,
Sat Jan 2 2021,7:00p,Oklahoma City Thunder,108,Orlando Magic,99,Box Score,,3339,2:02,Amway Center,
Sat Jan 2 2021,7:00p,Charlotte Hornets,112,Philadelphia 76ers,127,Box Score,,0,2:15,Wells Fargo Center,
Sat Jan 2 2021,7:30p,Cleveland Cavaliers,96,Atlanta Hawks,91,Box Score,,0,2:14,State Farm Arena,
Sat Jan 2 2021,7:30p,Toronto Raptors,116,New Orleans Pelicans,120,Box Score,,750,2:19,Smoothie King Center,
Sun Jan 3 2021,3:00p,Boston Celtics,122,Detroit Pistons,120,Box Score,,0,2:16,Little Caesars Arena,
Sun Jan 3 2021,6:00p,Washington Wizards,123,Brooklyn Nets,122,Box Score,,0,2:18,Barclays Center,
Sun Jan 3 2021,6:00p,Los Angeles Lakers,108,Memphis Grizzlies,94,Box Score,,0,2:07,FedEx Forum,
Sun Jan 3 2021,7:00p,Denver Nuggets,124,Minnesota Timberwolves,109,Box Score,,0,2:02,Target Center,
Sun Jan 3 2021,7:00p,Utah Jazz,130,San Antonio Spurs,109,Box Score,,0,2:00,AT&T Center,
Sun Jan 3 2021,8:00p,Dallas Mavericks,108,Chicago Bulls,118,Box Score,,0,2:26,United Center,
Sun Jan 3 2021,8:00p,Los Angeles Clippers,112,Phoenix Suns,107,Box Score,,0,2:13,Phoenix Suns Arena,
Sun Jan 3 2021,8:30p,Portland Trail Blazers,122,Golden State Warriors,137,Box Score,,0,2:22,Chase Center,
