Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Mon Mar 1 2021,7:00p,Dallas Mavericks,130,Orlando Magic,124,Box Score,,3766,2:05,Amway Center,
Mon Mar 1 2021,7:00p,Indiana Pacers,114,Philadelphia 76ers,130,Box Score,,0,2:06,Wells Fargo Center,
Mon Mar 1 2021,8:00p,Denver Nuggets,118,Chicago Bulls,112,Box Score,,0,2:10,United Center,
Mon Mar 1 2021,8:00p,Utah Jazz,124,New Orleans Pelicans,129,Box Score,,2700,2:17,Smoothie King Center,
Mon Mar 1 2021,8:30p,Brooklyn Nets,124,San Antonio Spurs,113,Box Score,OT,0,2:15,AT&T Center,
Mon Mar 1 2021,9:00p,Cleveland Cavaliers,101,Houston Rockets,90,Box Score,,3046,2:11,Toyota Center,
Mon Mar 1 2021,10:30p,Charlotte Hornets,111,Portland Trail Blazers,123,Box Score,,0,1:59,Moda Center,
Tue Mar 2 2021,7:00p,Memphis Grizzlies,125,Washington Wizards,111,Box Score,,0,2:12,Capital One Arena,
Tue Mar 2 2021,7:30p,Los Angeles Clippers,112,Boston Celtics,117,Box Score,,0,2:22,TD Garden,
Tue Mar 2 2021,7:30p,Atlanta Hawks,94,Miami Heat,80,Box Score,,0,2:11,AmericanAirlines Arena,
Tue Mar 2 2021,8:30p,New York Knicks,93,San Antonio Spurs,119,Box Score,,0,2:03,AT&T Center,
Tue Mar 2 2021,9:00p,Denver Nuggets,128,Milwaukee Bucks,97,Box Score,,1800,2:09,Fiserv Forum,
Tue Mar 2 2021,10:00p,Phoenix Suns,114,Los Angeles Lakers,104,Box Score,,0,2:26,STAPLES Center,
Wed Mar 3 2021,7:00p,Indiana Pacers,114,Cleveland Cavaliers,111,Box Score,,2720,2:15,Rocket Mortgage Fieldhouse,
Wed Mar 3 2021,7:00p,Utah Jazz,123,Philadelphia 76ers,131,Box Score,OT,0,2:34,Wells Fargo Center,
Wed Mar 3 2021,7:00p,Detroit Pistons,129,Toronto Raptors,105,Box Score,,0,2:18,Amalie Arena,
Wed Mar 3 2021,7:30p,Brooklyn Nets,132,Houston Rockets,114,Box Score,,3615,2:16,Toyota Center,
Wed Mar 3 2021,8:00p,Charlotte Hornets,135,Minnesota Timberwolves,102,Box Score,,0,2:07,Target Center,
Wed Mar 3 2021,8:00p,Chicago Bulls,128,New Orleans Pelicans,124,Box Score,,2700,2:19,Smoothie King Center,
Wed Mar 3 2021,8:00p,Atlanta Hawks,115,Orlando Magic,112,Box Score,,3969,2:18,Amway Center,
